Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,2,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,9,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Myenty Abena,SUR,DF,Ferencváros,27,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Matthis Abline,FRA,FW,Rennes,19,2003,4,2,141,1.6,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,5,3,7,0.64,0.00,0.64,0.64,0.64,0.37,0.00,0.37,0.37,0.37
Abner,BRA,DF,Betis,22,2000,2,2,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,4,3,293,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,9,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Tammy Abraham,ENG,FW,Roma,24,1997,14,10,868,9.6,1,4,5,1,0,0,3,0,3.7,3.7,1.4,5.1,14,15,52,0.10,0.41,0.52,0.10,0.52,0.40,0.15,0.55,0.40,0.55
Malik Abubakari,GHA,FW,HJK,22,2000,6,5,440,4.9,0,1,1,0,0,0,1,0,0.9,0.9,0.2,1.1,2,2,20,0.00,0.20,0.20,0.00,0.20,0.17,0.04,0.22,0.17,0.22
Marcos Acuña,ARG,DF,Sevilla,30,1991,8,8,712,7.9,0,0,0,0,0,0,4,1,0.2,0.2,0.4,0.6,12,32,27,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
Junior Adamu,AUT,FW,RB Salzburg,21,2001,2,1,104,1.2,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,0,0,6,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.68,0.68,0.68
Antonio Adán,ESP,GK,Sporting CP,35,1987,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
