Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,6,0,0,3,1,6.8,0.31,+1.8,+0.30,20,80,25.0,200,26,34.5,33.7,45,24.4,30.4,68,5,7.4,4,0.67,11.8
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,3,0,1,0,0,1.7,0.29,-1.3,-0.91,9,27,33.3,34,4,52.9,42.3,10,90.0,65.9,17,1,5.9,0,0.00,9.5
Noah Atubolu,GER,GK,Freiburg,20,2002,1.0,1,0,0,0,0,1.0,0.20,0.0,+0.01,4,20,20.0,34,7,35.3,37.2,10,80.0,61.3,15,0,0.0,1,1.00,18.0
Altay Bayındır,TUR,GK,Fenerbahçe,24,1998,8.0,9,1,0,0,0,6.7,0.26,-2.3,-0.29,29,86,33.7,189,40,37.6,36.5,35,42.9,44.6,69,5,7.2,13,1.63,19.0
Walter Benítez,ARG,GK,PSV Eindhoven,29,1993,7.0,6,0,0,1,0,7.6,0.27,+1.6,+0.22,32,101,31.7,139,19,47.5,37.5,58,60.3,45.6,72,3,4.2,1,0.14,12.5
Justin Bijlow,NED,GK,Feyenoord,24,1998,8.3,13,0,0,0,0,12.9,0.33,-0.1,-0.01,31,92,33.7,268,48,23.9,30.0,66,42.4,37.3,116,8,6.9,5,0.63,11.3
Milan Borjan,CAN,GK,Red Star,34,1987,6.0,11,1,1,2,1,6.5,0.20,-3.5,-0.58,30,88,34.1,162,23,43.2,36.5,43,41.9,34.5,65,4,6.2,5,0.83,16.1
Yassine Bounou,MAR,GK,Sevilla,31,1991,6.7,5,0,0,1,0,6.7,0.28,+1.7,+0.28,47,115,40.9,155,14,49.7,41.1,42,90.5,61.0,80,2,2.5,5,0.83,15.6
Denys Boyko,UKR,GK,Dynamo Kyiv,34,1988,2.0,3,0,1,0,0,2.7,0.27,-0.3,-0.15,12,28,42.9,60,11,31.7,33.0,20,45.0,40.2,25,1,4.0,0,0.00,9.7
Claudio Bravo,CHI,GK,Betis,39,1983,6.0,8,1,1,3,0,7.6,0.24,-0.4,-0.07,29,100,29.0,143,31,53.8,41.6,34,67.6,47.8,82,5,6.1,4,0.67,12.0
Yanick Brecher,SUI,GK,Zürich,29,1993,6.0,16,0,0,2,1,12.6,0.39,-2.4,-0.40,36,95,37.9,195,23,35.9,33.5,59,42.4,39.0,87,2,2.3,4,0.67,12.9
Heorhiy Bushchan,UKR,GK,Dynamo Kyiv,28,1994,2.0,4,0,0,2,0,3.8,0.39,-0.2,-0.09,15,47,31.9,68,14,52.9,43.9,14,78.6,53.4,24,3,12.5,4,2.00,13.7
Uğurcan Çakır,TUR,GK,Trabzonspor,26,1996,5.0,6,1,0,1,0,6.2,0.28,+0.2,+0.04,33,113,29.2,149,14,55.0,42.2,50,62.0,53.6,70,3,4.3,3,0.60,10.0
Dumitru Celeadnic,MDA,GK,Sheriff Tiraspol,30,1992,1.0,3,0,0,0,0,1.8,0.22,-1.2,-1.21,4,23,17.4,14,1,78.6,55.1,15,80.0,51.9,12,0,0.0,0,0.00,
Johan Dahlin,SWE,GK,Malmö,35,1986,2.0,5,0,0,0,0,5.0,0.29,0.0,+0.02,14,39,35.9,49,14,57.1,43.1,18,61.1,47.1,36,0,0.0,1,0.50,13.0
Ismael Diawara,MLI,GK,Malmö,27,1994,4.0,6,2,0,1,0,8.5,0.25,+2.5,+0.63,27,63,42.9,101,28,34.7,35.7,38,73.7,49.6,69,5,7.2,3,0.75,15.3
Dénes Dibusz,HUN,GK,Ferencváros,31,1990,8.0,13,1,0,0,0,12.9,0.28,-0.1,-0.02,33,86,38.4,196,44,32.1,33.3,62,37.1,33.9,133,0,0.0,4,0.50,12.4
Marko Dmitrović,SRB,GK,Sevilla,30,1992,3.0,3,1,0,0,0,3.6,0.20,+0.6,+0.18,22,92,23.9,110,11,64.5,45.6,22,95.5,61.7,44,3,6.8,1,0.33,11.3
Joel Drommel,NED,GK,PSV Eindhoven,25,1996,1.0,1,0,0,0,0,0.9,0.29,-0.1,-0.12,6,11,54.5,32,3,34.4,33.2,9,0.0,13.7,19,0,0.0,0,0.00,4.0
Fabiano,BRA,GK,AC Omonia,34,1988,2.5,6,0,0,1,0,4.6,0.33,-1.4,-0.57,7,47,14.9,43,5,67.4,47.4,28,64.3,47.4,32,2,6.3,2,0.80,11.4
Mark Flekken,NED,GK,Freiburg,29,1993,7.0,5,1,0,0,0,7.5,0.23,+2.5,+0.36,37,104,35.6,235,25,29.4,33.3,49,71.4,56.2,62,2,3.2,6,0.86,15.5
David de Gea,ESP,GK,Manchester Utd,31,1990,12.0,12,2,0,2,2,11.9,0.27,+1.9,+0.16,29,94,30.9,310,48,24.2,30.1,52,36.5,37.8,119,5,4.2,14,1.17,17.1
Lennart Grill,GER,GK,Union Berlin,23,1999,0.5,0,0,0,0,0,0.1,0.14,+0.1,+0.27,2,10,20.0,7,0,85.7,56.6,4,100.0,69.3,11,0,0.0,0,0.00,9.0
Nikita Haikin,RUS,GK,Bodø/Glimt,27,1995,6.0,10,0,0,1,1,11.5,0.38,+2.5,+0.42,25,77,32.5,216,30,23.6,29.5,49,53.1,42.5,72,2,2.8,10,1.67,16.2
Conor Hazard,NIR,GK,HJK,24,1998,6.0,13,1,0,1,1,11.4,0.26,-0.6,-0.09,28,93,30.1,176,32,37.5,35.7,64,42.2,38.3,71,4,5.6,0,0.00,7.9
Lukáš Hrádecký,FIN,GK,Leverkusen,32,1989,8.3,8,1,0,0,1,6.5,0.24,-0.5,-0.07,15,54,27.8,179,35,24.0,29.3,55,20.0,26.9,82,5,6.1,10,1.25,18.5
Philipp Köhn,SUI,GK,RB Salzburg,24,1998,2.0,2,0,0,0,0,3.3,0.36,+1.3,+0.64,9,21,42.9,39,10,35.9,33.3,13,53.8,36.2,38,3,7.9,1,0.50,7.4
Maksym Koval,UKR,GK,Sheriff Tiraspol,29,1992,5.0,7,1,0,1,0,8.9,0.38,+1.9,+0.38,32,112,28.6,118,18,66.1,48.3,50,68.0,55.0,78,2,2.6,0,0.00,10.8
Alban Lafont,FRA,GK,Nantes,23,1999,8.0,15,2,0,1,1,14.7,0.27,+0.7,+0.08,43,117,36.8,170,34,42.4,36.4,62,72.6,53.7,96,0,0.0,5,0.63,12.3
Jonas Lössl,DEN,GK,Midtjylland,33,1989,8.0,13,1,0,3,1,11.8,0.29,-0.2,-0.02,40,130,30.8,224,27,40.2,38.5,71,56.3,46.8,104,3,2.9,5,0.63,14.3
Shakhruddin Magomedaliyev,AZE,GK,Qarabağ,28,1994,6.0,5,2,0,0,0,5.7,0.16,+0.7,+0.12,33,74,44.6,184,28,26.1,31.3,44,59.1,48.9,70,2,2.9,5,0.83,14.1
Steve Mandanda,FRA,GK,Rennes,37,1985,6.9,8,2,0,0,1,6.3,0.29,-0.7,-0.11,36,98,36.7,194,21,35.6,34.2,40,72.5,51.1,70,4,5.7,2,0.30,10.8
Matheus,BRA,GK,Braga,30,1992,6.0,7,1,0,1,0,9.0,0.35,+2.0,+0.33,15,67,22.4,179,45,27.9,31.0,44,38.6,35.7,95,9,9.5,8,1.33,14.6
Anthony Moris,LUX,GK,Union SG,32,1990,10.0,15,0,1,0,0,13.5,0.29,-1.5,-0.15,65,164,39.6,298,39,44.0,37.6,60,55.0,47.8,141,12,8.5,7,0.70,12.3
Ruslan Neshcheret,UKR,GK,Dynamo Kyiv,20,2002,2.0,4,0,0,1,0,3.1,0.44,-0.9,-0.44,7,27,25.9,56,11,28.6,32.5,23,47.8,40.7,24,0,0.0,1,0.50,13.3
Alexander Nübel,GER,GK,Monaco,25,1996,8.3,13,1,1,2,1,12.4,0.29,+0.4,+0.05,45,99,45.5,205,41,32.2,31.5,67,49.3,41.3,68,5,7.4,12,1.50,16.9
Sergio Padt,NED,GK,Ludogorets,32,1990,6.0,9,2,0,0,0,7.8,0.19,-1.2,-0.21,20,55,36.4,197,30,19.3,28.8,45,37.8,36.8,64,3,4.7,2,0.33,14.3
Alexandros Paschalakis,GRE,GK,Olympiacos,33,1989,2.0,1,0,0,1,0,2.0,0.24,+1.0,+0.48,8,46,17.4,57,11,56.1,43.0,30,46.7,38.4,47,6,12.8,6,3.00,14.7
Rui Patrício,POR,GK,Roma,34,1988,14.7,9,0,0,0,1,7.0,0.17,-1.0,-0.07,98,216,45.4,282,49,49.6,39.4,118,64.4,48.2,172,14,8.1,5,0.36,11.0
Mattia Perin,ITA,GK,Juventus,29,1992,0.5,0,0,0,0,0,1.3,0.65,+1.3,+2.41,2,6,33.3,16,6,25.0,27.0,4,50.0,45.8,10,0,0.0,0,0.00,
Kenan Pirić,BIH,GK,AÉK Lárnaka,28,1994,6.0,10,1,0,1,1,9.1,0.24,+0.1,+0.01,35,101,34.7,148,24,52.0,40.5,55,43.6,38.5,91,3,3.3,4,0.67,12.5
Ivan Provedel,ITA,GK,Lazio,28,1994,6.0,11,2,0,0,0,9.9,0.25,-1.1,-0.18,35,66,53.0,201,31,25.9,31.6,47,29.8,32.1,48,3,6.3,16,2.67,18.9
Aaron Ramsdale,ENG,GK,Arsenal,24,1998,3.3,3,0,0,1,0,2.9,0.32,-0.1,-0.04,18,55,32.7,86,13,45.3,38.2,19,84.2,65.0,25,2,8.0,7,2.33,17.5
Álex Remiro,ESP,GK,Real Sociedad,27,1995,8.0,4,0,0,1,0,5.7,0.48,+1.7,+0.21,41,85,48.2,229,29,31.4,32.0,29,44.8,40.1,58,1,1.7,10,1.25,19.4
Gerónimo Rulli,ARG,GK,Ajax,30,1992,2.0,3,1,0,1,0,3.3,0.26,+0.3,+0.16,3,13,23.1,47,9,17.0,28.5,10,50.0,41.8,28,2,7.1,0,0.00,7.9
Frederik Rønnow,DEN,GK,Union Berlin,29,1992,9.5,9,0,0,0,0,8.8,0.32,-0.2,-0.02,52,148,35.1,283,36,39.2,34.0,53,69.8,50.7,95,11,11.6,14,1.47,18.0
Jörg Siebenhandl,AUT,GK,Sturm Graz,32,1990,6.0,10,1,0,1,0,7.9,0.29,-2.1,-0.35,27,63,42.9,150,24,32.7,34.3,47,29.8,34.4,56,0,0.0,7,1.17,15.1
Rui Silva,POR,GK,Betis,28,1994,2.0,1,0,0,0,0,1.4,0.20,+0.4,+0.21,8,13,61.5,42,9,14.3,25.2,19,36.8,35.5,12,1,8.3,0,0.00,12.7
