Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,62,74,83.8,1000,328,30,34,88.2,23,28,82.1,5,7,71.4,0,0.0,0.1,0.0,0,4,3,0,6
Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,89,94,94.7,1892,463,17,17,100.0,62,67,92.5,10,10,100.0,0,0.0,0.0,0.0,0,2,0,0,3
Matthis Abline,FRA,FW,Rennes,19,2003,1.6,18,23,78.3,266,28,14,15,93.3,1,1,100.0,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,3
Abner,BRA,DF,Betis,22,2000,1.3,29,41,70.7,436,183,17,19,89.5,10,14,71.4,1,5,20.0,0,0.1,0.1,-0.1,1,1,0,0,1
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,168,213,78.9,3100,1528,69,77,89.6,82,98,83.7,16,33,48.5,0,0.0,0.0,0.0,0,11,0,0,9
Tammy Abraham,ENG,FW,Roma,24,1997,9.6,117,199,58.8,1721,335,66,108,61.1,29,49,59.2,9,16,56.3,4,1.4,1.7,+2.6,7,7,4,0,15
Malik Abubakari,GHA,FW,HJK,22,2000,4.9,58,74,78.4,824,30,31,40,77.5,20,24,83.3,3,4,75.0,1,0.2,0.1,+0.8,2,1,0,0,2
Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,289,409,70.7,5105,1859,135,154,87.7,120,166,72.3,30,72,41.7,0,0.4,0.5,-0.4,8,23,9,5,32
Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,7,11,63.6,75,5,5,7,71.4,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,175,246,71.1,4411,2660,34,34,100.0,99,103,96.1,42,108,38.9,0,0.1,0.0,-0.1,1,2,1,0,0
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,104,145,71.7,1600,429,63,77,81.8,34,46,73.9,5,8,62.5,2,0.7,0.3,+1.3,4,6,6,2,12
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,110,145,75.9,1631,358,61,73,83.6,40,52,76.9,4,9,44.4,0,0.7,0.2,-0.7,10,7,3,1,9
David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,173,232,74.6,3890,1781,44,54,81.5,100,121,82.6,28,53,52.8,0,0.3,0.0,-0.3,2,15,0,0,15
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,76,88,86.4,1178,300,43,44,97.7,31,36,86.1,2,4,50.0,0,0.2,0.2,-0.2,1,5,1,1,11
Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,55,77,71.4,752,181,34,43,79.1,14,18,77.8,3,7,42.9,1,1.2,0.9,-0.2,11,0,4,2,7
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,30,41,73.2,323,43,20,25,80.0,6,9,66.7,0,1,0.0,0,0.2,0.2,-0.2,5,1,1,0,2
Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,109,125,87.2,2134,693,32,40,80.0,65,71,91.5,10,12,83.3,0,0.1,0.0,-0.1,2,3,0,0,1
Maghnes Akliouche,FRA,"FW,MF",Monaco,20,2002,0.5,14,21,66.7,222,69,10,12,83.3,1,4,25.0,3,4,75.0,0,0.1,0.1,-0.1,2,1,3,2,2
Paul Akouokou,CIV,MF,Betis,24,1997,4.0,200,216,92.6,3482,754,83,85,97.6,93,100,93.0,17,19,89.5,0,0.0,0.1,0.0,0,21,0,0,6
Jordi Alba,ESP,DF,Barcelona,33,1989,0.7,37,50,74.0,570,170,21,23,91.3,9,12,75.0,3,5,60.0,0,0.1,0.1,-0.1,1,4,1,1,6
Luis Alberto,ESP,MF,Lazio,29,1992,3.4,250,302,82.8,3844,1235,134,145,92.4,90,111,81.1,17,31,54.8,1,0.9,1.5,+0.1,6,45,9,0,42
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,24,44,54.5,869,679,1,1,100.0,13,14,92.9,10,29,34.5,0,0.0,0.0,0.0,0,1,0,0,0
Mohamed Ali Cho,FRA,"MF,FW",Real Sociedad,18,2004,1.3,23,34,67.6,313,34,14,21,66.7,7,10,70.0,1,1,100.0,0,0.0,0.1,0.0,0,0,1,0,1
Ezgjan Alioski,MKD,DF,Fenerbahçe,30,1992,3.5,201,241,83.4,3045,1064,118,128,92.2,70,80,87.5,10,23,43.5,1,0.7,0.6,+0.3,4,20,7,2,26
Fidan Aliti,KVX,DF,Zürich,28,1993,3.5,104,147,70.7,1862,862,39,48,81.3,51,64,79.7,11,28,39.3,0,0.4,0.1,-0.4,4,12,2,1,15
Richard Almeida,AZE,MF,Qarabağ,33,1989,3.4,226,263,85.9,4104,1075,91,97,93.8,92,108,85.2,33,39,84.6,0,0.1,0.1,-0.1,2,28,3,0,26
Marcos Alonso,ESP,DF,Barcelona,31,1990,0.8,51,56,91.1,846,287,17,17,100.0,26,29,89.7,4,6,66.7,0,0.0,0.0,0.0,0,5,0,0,6
Omri Altman,ISR,"FW,MF",AÉK Lárnaka,28,1994,4.2,67,94,71.3,997,194,37,45,82.2,19,25,76.0,5,10,50.0,0,0.1,0.1,-0.1,2,7,2,0,11
Edson Álvarez,MEX,MF,Ajax,24,1997,2.0,146,163,89.6,2629,783,55,59,93.2,80,88,90.9,10,13,76.9,0,0.0,0.0,0.0,0,14,0,0,14
Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,3.0,160,189,84.7,2554,560,82,90,91.1,72,77,93.5,4,12,33.3,0,0.0,0.2,0.0,1,9,4,0,16
Isak Amundsen,NOR,DF,Bodø/Glimt,22,1999,0.4,35,39,89.7,668,143,8,9,88.9,24,25,96.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Felipe Anderson,BRA,FW,Lazio,29,1993,4.9,152,201,75.6,2146,603,88,106,83.0,52,67,77.6,4,6,66.7,2,1.5,1.3,+0.5,15,15,7,0,22
Joel Andersson,SWE,DF,Midtjylland,25,1996,4.2,134,205,65.4,3050,1353,34,42,81.0,70,95,73.7,27,58,46.6,0,0.0,0.1,0.0,1,14,4,2,17
Leandro Andrade,CPV,"FW,MF",Qarabağ,22,1999,0.8,16,21,76.2,235,73,10,12,83.3,5,5,100.0,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,3
Valdemar Andreasen,DEN,FW,Midtjylland,17,2005,1.3,18,32,56.3,266,21,10,14,71.4,7,11,63.6,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0
Henry Andreou,CYP,MF,AÉK Lárnaka,21,2001,0.0,1,1,100.0,2,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Robert Andrich,GER,MF,Leverkusen,27,1994,6.3,293,346,84.7,4580,1187,161,178,90.4,92,106,86.8,25,33,75.8,0,0.4,0.3,-0.4,4,18,0,0,19
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,28,1994,1.0,47,60,78.3,895,291,20,20,100.0,19,25,76.0,7,12,58.3,0,0.0,0.0,0.0,0,8,0,0,8
Thanasis Androutsos,GRE,DF,Olympiacos,25,1997,1.0,52,59,88.1,877,318,26,29,89.7,21,21,100.0,5,9,55.6,0,0.2,0.2,-0.2,2,2,4,2,7
Ángel,ESP,DF,AÉK Lárnaka,29,1993,4.9,192,232,82.8,3499,999,73,81,90.1,80,95,84.2,30,40,75.0,0,0.2,0.5,-0.2,4,10,2,1,18
Karim Ansarifard,IRN,FW,AC Omonia,32,1990,2.2,33,46,71.7,418,15,23,29,79.3,10,14,71.4,0,1,0.0,0,0.1,0.0,-0.1,1,3,0,0,1
Marcos Antônio,BRA,MF,Lazio,22,2000,1.6,114,121,94.2,1813,528,68,70,97.1,36,39,92.3,9,11,81.8,0,0.0,0.0,0.0,0,8,1,0,14
Antony,BRA,FW,Manchester Utd,22,2000,7.0,213,272,78.3,2947,716,126,144,87.5,63,81,77.8,11,17,64.7,0,1.5,1.5,-1.5,12,13,15,6,28
Dennis Appiah,FRA,"DF,FW",Nantes,30,1992,3.2,116,159,73.0,1794,678,62,77,80.5,49,59,83.1,4,15,26.7,0,0.1,0.1,-0.1,3,5,2,1,9
Youssef El-Arabi,MAR,"FW,MF",Olympiacos,35,1987,1.8,46,67,68.7,671,161,25,31,80.6,17,25,68.0,2,6,33.3,0,0.1,0.1,-0.1,3,5,4,0,9
Paulus Arajuuri,FIN,DF,HJK,34,1988,0.5,10,11,90.9,159,90,6,6,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Aritz Arambarri,ESP,DF,Real Sociedad,24,1998,0.7,32,38,84.2,540,131,15,18,83.3,16,17,94.1,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Willian Arão,BRA,MF,Fenerbahçe,29,1992,3.5,126,147,85.7,2317,866,50,53,94.3,57,66,86.4,15,23,65.2,0,0.5,0.4,-0.5,3,20,5,0,21
Ronald Araújo,URU,DF,Barcelona,23,1999,1.9,69,86,80.2,1386,665,26,33,78.8,26,30,86.7,13,17,76.5,0,0.0,0.0,0.0,1,11,1,0,4
Arthur,BRA,"DF,MF",Sporting CP,24,1998,2.0,77,98,78.6,1174,228,46,49,93.9,27,36,75.0,3,9,33.3,0,0.4,0.5,-0.4,5,1,4,0,7
Emam Ashour,EGY,"FW,MF",Midtjylland,24,1998,0.8,15,24,62.5,203,78,9,11,81.8,5,9,55.6,0,2,0.0,0,0.1,0.0,-0.1,1,1,1,0,5
Lorenz Assignon,TOG,DF,Rennes,22,2000,3.3,119,158,75.3,1738,616,63,70,90.0,45,60,75.0,4,15,26.7,1,0.3,0.9,+0.7,2,5,5,1,12
Iyayi Atiemwen,NGA,FW,Sheriff Tiraspol,26,1996,3.6,77,95,81.1,1136,347,45,52,86.5,23,32,71.9,6,8,75.0,0,0.1,0.1,-0.1,4,7,1,0,14
Noah Atubolu,GER,GK,Freiburg,20,2002,1.0,25,44,56.8,771,528,4,4,100.0,11,12,91.7,10,28,35.7,0,0.0,0.0,0.0,0,0,0,0,0
Donis Avdijaj,KVX,"MF,FW",Zürich,25,1996,0.9,19,24,79.2,218,67,11,12,91.7,2,5,40.0,1,1,100.0,0,0.1,0.0,-0.1,2,3,0,0,2
