Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,36,"2,372",66,69.4,26.4,28,78,8,8,22,2,0.86,35,58,-23,-0.87,-0.27,33.3,49.8,-16.6,-0.63,-0.35
Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,7,173,25,5.7,1.9,0,,0,7,25,6,1.14,4,0,+4,+2.08,+2.02,5.4,1.4,+4.0,+2.06,+1.92
James Abankwah,IRL,DF,Udinese,Serie A,18,2004,2,63,32,1.8,0.7,1,58,0,1,5,33,0.00,0,0,0,0.00,+0.03,0.4,0.7,-0.3,-0.37,-0.25
George Abbott,ENG,MF,Tottenham,Premier League,16,2005,1,1,1,0.0,0.0,0,,0,1,1,1,3.00,1,0,+1,+90.00,+89.84,0.3,0.0,+0.3,+28.39,+28.20
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,"3,330",90,97.4,37.0,37,90,37,0,,0,1.38,45,42,+3,+0.08,+3.08,60.5,50.1,+10.4,+0.28,+1.79
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,30,"2,137",71,62.5,23.7,24,83,14,6,23,6,0.33,21,49,-28,-1.18,+0.22,23.8,40.7,-17.0,-0.72,-0.45
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,33,"2,894",88,84.6,32.2,33,88,30,0,,0,2.24,59,22,+37,+1.15,+0.81,57.7,35.9,+21.8,+0.68,+0.43
Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,29,"2,342",81,68.5,26.0,28,83,19,1,26,0,1.72,38,35,+3,+0.12,+0.45,31.6,39.7,-8.1,-0.31,+0.16
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,13,592,46,17.3,6.6,6,80,5,7,16,5,1.08,2,11,-9,-1.37,-0.76,4.9,9.3,-4.4,-0.67,-0.36
Terry Ablade,FIN,FW,Fulham,Premier League,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
