Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Liel Abada,ISR,"FW,MF",Celtic,20,2001,2.4,0,5,1,20.0,2.07,0.41,0.00,0.00,18.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Oliver Abildgaard,DEN,MF,Celtic,26,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mohammad Abu Fani,ISR,MF,Maccabi Haifa,24,1998,4.4,0,11,2,18.2,2.48,0.45,0.00,0.00,25.1,1,0,0,0.3,0.3,0.03,-0.3,-0.3
Francesco Acerbi,ITA,DF,Inter,34,1988,10.2,0,8,2,25.0,0.78,0.20,0.00,0.00,21.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Marcos Acuña,ARG,"DF,MF",Sevilla,30,1991,2.4,0,2,0,0.0,0.82,0.00,0.00,,27.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Junior Adamu,AUT,FW,RB Salzburg,21,2001,2.3,1,5,3,60.0,2.21,1.32,0.20,0.33,8.4,0,0,0,1.3,1.3,0.26,-0.3,-0.3
Antonio Adán,ESP,GK,Sporting CP,35,1987,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arijan Ademi,MKD,MF,Dinamo Zagreb,31,1991,5.2,0,6,2,33.3,1.15,0.38,0.00,0.00,16.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Karim Adeyemi,GER,"FW,MF",Dortmund,20,2002,4.2,2,11,3,27.3,2.63,0.72,0.18,0.67,16.9,0,0,0,1.8,1.8,0.16,+0.2,+0.2
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,15.6,0,0,0,0.7,0.7,0.22,-0.7,-0.7
Manuel Akanji,SUI,DF,Manchester City,27,1995,10.5,1,7,4,57.1,0.67,0.38,0.14,0.25,16.4,0,0,0,0.9,0.9,0.13,+0.1,+0.1
