Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,21.5,1,0,0,0.1,0.1,0.11,-0.1,-0.1
Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,0,1,0,0.0,0.50,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Matthis Abline,FRA,FW,Rennes,19,2003,1.6,1,6,2,33.3,3.83,1.28,0.17,0.50,14.0,0,0,0,0.6,0.6,0.10,+0.4,+0.4
Abner,BRA,DF,Betis,22,2000,1.3,0,1,0,0.0,0.78,0.00,0.00,,27.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,0,3,0,0.0,0.92,0.00,0.00,,10.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Tammy Abraham,ENG,FW,Roma,24,1997,9.6,1,19,11,57.9,1.97,1.14,0.05,0.09,13.3,1,0,0,3.7,3.7,0.20,-2.7,-2.7
Malik Abubakari,GHA,FW,HJK,22,2000,4.9,0,7,2,28.6,1.43,0.41,0.00,0.00,14.2,0,0,0,0.9,0.9,0.12,-0.9,-0.9
Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,0,6,3,50.0,0.76,0.38,0.00,0.00,23.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,0,5,2,40.0,4.33,1.73,0.00,0.00,11.6,0,0,0,0.8,0.8,0.16,-0.8,-0.8
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,0,11,1,9.1,2.39,0.22,0.00,0.00,19.7,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,2,9,4,44.4,2.86,1.27,0.22,0.50,15.9,0,0,0,1.0,1.0,0.11,+1.0,+1.0
David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,0,2,0,0.0,0.37,0.00,0.00,,12.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,0,1,1,100.0,0.73,0.73,0.00,0.00,13.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,0,13,4,30.8,2.45,0.75,0.00,0.00,16.6,0,0,0,1.5,1.5,0.12,-1.5,-1.5
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,0,8,4,50.0,2.38,1.19,0.00,0.00,16.2,0,0,0,0.7,0.7,0.08,-0.7,-0.7
Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,0,2,0,0.0,1.00,0.00,0.00,,9.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Maghnes Akliouche,FRA,"FW,MF",Monaco,20,2002,0.5,0,1,0,0.0,2.00,0.00,0.00,,22.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Paul Akouokou,CIV,MF,Betis,24,1997,4.0,0,2,0,0.0,0.51,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Jordi Alba,ESP,DF,Barcelona,33,1989,0.7,0,1,1,100.0,1.36,1.36,0.00,0.00,11.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Luis Alberto,ESP,MF,Lazio,29,1992,3.4,1,4,1,25.0,1.17,0.29,0.25,1.00,19.6,0,0,0,0.6,0.6,0.15,+0.4,+0.4
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
