Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Ahmed Abdullahi,NGA,FW,,19,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
Shuto Abe,JPN,MF,Molenbeek,25,1997,28,15,"1,475",16.4,1,1,2,1,0,0,4,0,1.3,1.3,1.3,2.6,12,70,35,0.06,0.06,0.12,0.06,0.12,0.08,0.08,0.16,0.08,0.16
Abner,BRA,"DF,MF",Molenbeek,27,1996,25,20,"1,850",20.6,0,0,0,0,0,0,4,0,0.6,0.6,0.5,1.1,38,73,89,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Francis Abu,GHA,MF,Brugge,22,2001,8,5,409,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,3,30,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06
Tayo Adaramola,IRL,DF,Molenbeek,19,2003,9,8,575,6.4,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,19,22,25,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.14,0.04,0.14
Noah Adedeji,BEL,"MF,FW",,18,2005,3,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.57
Jonathan Afolabi,IRL,FW,,23,2000,10,4,397,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,2,7,27,0.23,0.00,0.23,0.23,0.23,0.06,0.11,0.18,0.06,0.18
Brian Agbor,CMR,DF,,22,2001,3,2,208,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,10,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07
Takahiro Akimoto,JPN,DF,Leuven,25,1998,5,2,261,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,16,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
Carlos Alberto,BRA,"FW,MF",Molenbeek,21,2002,10,9,659,7.3,2,0,2,2,0,0,0,0,1.8,1.8,0.8,2.6,12,9,41,0.27,0.00,0.27,0.27,0.27,0.25,0.10,0.36,0.25,0.36
Josimar Alcocer,CRC,"FW,MF",,19,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,4,0.00,0.00,0.00,0.00,0.00,0.08,0.42,0.50,0.08,0.50
Toby Alderweireld,BEL,DF,,34,1989,29,29,"2,599",28.9,3,4,7,1,2,3,2,0,5.1,2.7,2.8,5.5,12,155,19,0.10,0.14,0.24,0.03,0.17,0.18,0.10,0.27,0.09,0.19
Ryan Alebiosu,ENG,"DF,MF",,21,2001,11,3,348,3.9,0,1,1,0,0,0,1,0,0.2,0.2,1.1,1.3,14,9,27,0.00,0.26,0.26,0.00,0.26,0.04,0.29,0.33,0.04,0.33
Teddy Alloh,FRA,DF,,21,2002,6,1,197,2.2,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,9,9,17,0.00,0.46,0.46,0.00,0.46,0.02,0.08,0.10,0.02,0.10
Éder Álvarez Balanta,COL,MF,Brugge,30,1993,15,3,497,5.5,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,4,29,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Steven Alzate,COL,MF,Liège,24,1998,20,20,"1,662",18.5,1,4,5,1,0,0,4,1,1.1,1.1,2.7,3.8,31,96,27,0.05,0.22,0.27,0.05,0.27,0.06,0.15,0.21,0.06,0.21
Thierry Ambrose,GLP,FW,,26,1997,2,1,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Mohamed Amoura,ALG,FW,SG,23,2000,23,16,"1,434",15.9,17,2,19,16,1,1,5,0,10.7,9.9,2.4,12.3,79,30,175,1.07,0.13,1.19,1.00,1.13,0.67,0.15,0.82,0.62,0.77
Francis Amuzu,BEL,FW,,23,1999,12,5,569,6.3,3,0,3,3,0,0,0,0,1.0,1.0,1.5,2.5,35,13,59,0.47,0.00,0.47,0.47,0.47,0.16,0.24,0.40,0.16,0.40
Frederic Ananou,TOG,"DF,MF",,25,1997,13,6,543,6.0,0,1,1,0,0,0,1,1,0.2,0.2,0.5,0.7,12,17,32,0.00,0.17,0.17,0.00,0.17,0.03,0.08,0.12,0.03,0.12
Stelios Andreou,CYP,DF,,21,2002,27,27,"2,409",26.8,1,1,2,1,0,0,5,0,1.1,1.1,0.6,1.7,6,84,4,0.04,0.04,0.07,0.04,0.07,0.04,0.02,0.06,0.04,0.06
Nilson Angulo,ECU,"FW,MF",,20,2003,8,0,48,0.5,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1.0,6,3,15,1.87,0.00,1.87,1.87,1.87,1.77,0.12,1.89,1.77,1.89
Bill Antonio,ZIM,"MF,FW",,20,2002,12,6,577,6.4,3,0,3,3,0,0,0,0,1.0,1.0,1.2,2.1,36,16,73,0.47,0.00,0.47,0.47,0.47,0.15,0.18,0.34,0.15,0.34
Kristian Arnstad,NOR,"DF,MF",,19,2003,14,6,645,7.2,0,1,1,0,0,0,2,0,0.2,0.2,0.3,0.5,13,26,29,0.00,0.14,0.14,0.00,0.14,0.03,0.04,0.07,0.03,0.07
Tolu Arokodare,NGA,FW,,22,2000,29,11,"1,307",14.5,8,2,10,8,0,1,1,0,10.7,9.9,2.0,11.9,17,20,112,0.55,0.14,0.69,0.55,0.69,0.74,0.13,0.87,0.68,0.82
Gerardo Arteaga,MEX,DF,,24,1998,15,14,"1,210",13.4,0,0,0,0,0,0,2,1,0.7,0.7,0.5,1.3,24,83,78,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Isaac Asante,GHA,"DF,MF",,20,2002,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dirk Asare,BEL,MF,,19,2004,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Majeed Ashimeru,GHA,MF,,25,1997,6,1,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christalino Atemona,GER,DF,,21,2002,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lynnt Audoor,BEL,MF,,19,2003,11,4,401,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,1,22,14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Ludwig Augustinsson,SWE,DF,,29,1994,21,19,"1,629",18.1,0,3,3,0,0,0,2,0,0.9,0.9,4.0,4.9,32,84,96,0.00,0.17,0.17,0.00,0.17,0.05,0.22,0.27,0.05,0.27
Felipe Augusto,BRA,"FW,MF",Brugge,19,2004,9,4,444,4.9,1,1,2,1,0,0,1,0,1.0,1.0,0.9,1.9,3,8,37,0.20,0.20,0.41,0.20,0.41,0.20,0.18,0.38,0.20,0.38
