Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Patrick van Aanholt,NED,"MF,DF",PSV Eindhoven,32,1990,1.1,4,1,0,4,0,2,6,33.3,4,1,0,1,2,6,0,0
Brenden Aaronson,USA,MF,Union Berlin,22,2000,1.5,1,0,1,0,0,0,4,0.0,4,5,1,4,3,4,1,0
Salis Abdul Samed,GHA,MF,Lens,23,2000,5.5,9,5,3,6,0,2,6,33.3,4,6,1,5,5,14,7,0
Francesco Acerbi,ITA,DF,Inter,35,1988,4.7,3,1,2,0,1,2,5,40.0,3,1,0,1,5,8,15,0
Elias Achouri,TUN,"FW,MF",FC Copenhagen,24,1999,6.1,16,11,10,0,6,5,11,45.5,6,6,0,6,2,18,4,1
Marcos Acuña,ARG,DF,Sevilla,31,1991,2.2,2,2,1,1,0,1,2,50.0,1,1,1,0,1,3,2,0
Karim Adeyemi,GER,FW,Dortmund,21,2002,7.9,7,5,4,3,0,4,8,50.0,4,7,0,7,8,15,5,0
Yacine Adli,FRA,MF,Milan,23,2000,1.4,3,2,1,2,0,2,4,50.0,2,0,0,0,3,6,4,0
Ruben Aguilar,FRA,DF,Lens,30,1993,1.1,4,4,2,2,0,2,3,66.7,1,3,0,3,0,4,1,0
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,7.4,12,7,5,4,3,4,7,57.1,3,4,2,2,2,14,11,0
Nathan Aké,NED,"DF,MF",Manchester City,28,1995,4.3,4,2,3,1,0,2,3,66.7,1,1,0,1,0,4,11,0
Kerem Aktürkoğlu,TUR,"MF,FW",Galatasaray,24,1998,4.9,5,4,1,2,2,5,7,71.4,2,3,0,3,2,7,5,0
David Alaba,AUT,DF,Real Madrid,31,1992,2.8,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,9,1
Luis Alberto,ESP,MF,Lazio,30,1992,7.1,4,2,1,2,1,1,10,10.0,9,13,4,9,7,11,3,0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,5.0,6,4,4,2,0,5,9,55.6,4,9,5,4,5,11,24,0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,19,2004,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,4.6,15,11,4,7,4,10,15,66.7,5,8,1,7,4,19,2,0
Marcos Alonso,ESP,"DF,FW",Barcelona,32,1990,1.5,1,0,0,1,0,1,1,100.0,0,3,0,3,2,3,5,0
Barış Alper Yılmaz,TUR,"FW,MF",Galatasaray,23,2000,1.4,2,2,0,1,1,0,4,0.0,4,0,0,0,2,4,0,0
Julián Álvarez,ARG,"MF,FW",Manchester City,23,2000,3.1,3,2,0,2,1,2,5,40.0,3,1,1,0,0,3,2,0
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,5.0,8,4,6,2,0,3,6,50.0,3,12,9,3,6,14,24,0
Aurele Amenda,SUI,DF,Young Boys,20,2003,3.5,7,4,4,3,0,3,9,33.3,6,5,1,4,6,13,10,0
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,26,1996,3.6,8,5,5,2,1,6,8,75.0,2,10,1,9,3,11,3,0
Elliot Anderson,ENG,MF,Newcastle Utd,20,2002,0.5,2,1,1,1,0,0,2,0.0,2,1,1,0,2,4,0,0
Felipe Anderson,BRA,FW,Lazio,30,1993,6.0,17,7,5,10,2,5,21,23.8,16,7,0,7,12,29,5,0
Angeliño,ESP,DF,Galatasaray,26,1997,4.7,7,5,3,2,2,4,9,44.4,5,6,3,3,6,13,9,0
Peter Ankersen,DEN,DF,FC Copenhagen,32,1990,5.2,12,8,7,4,1,8,17,47.1,9,5,4,1,10,22,11,0
Antony,BRA,FW,Manchester Utd,23,2000,2.6,7,6,5,1,1,5,9,55.6,4,5,1,4,5,12,2,0
Jon Aramburu,VEN,DF,Real Sociedad,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ronald Araújo,URU,DF,Barcelona,24,1999,7.3,12,10,4,7,1,4,5,80.0,1,14,10,4,8,20,20,0
Tomás Araújo,POR,DF,Benfica,21,2002,1.8,3,2,1,2,0,1,1,100.0,0,5,4,1,4,7,5,0
Marko Arnautović,AUT,FW,Inter,34,1989,2.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marco Asensio,ESP,"FW,MF",Paris S-G,27,1996,1.4,2,1,2,0,0,0,1,0.0,1,2,2,0,0,2,0,0
Kristjan Asllani,ALB,MF,Inter,21,2002,2.3,2,1,1,1,0,0,2,0.0,2,3,1,2,1,3,3,0
