Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Arnaud Bodart,BEL,GK,Liège,25,1998,29,29,"2,610",29.0,35,1.21,134,98,77.6,8,10,11,5,17.2,6,5,1,0,16.7
Sinan Bolat,TUR,GK,,34,1988,26,26,"2,340",26.0,44,1.69,132,89,68.9,7,9,10,5,19.2,3,3,0,0,0.0
Jean Butez,FRA,GK,,28,1995,30,30,"2,700",30.0,27,0.90,97,71,77.3,14,10,6,12,40.0,5,5,0,0,0.0
Valentin Cojocaru,ROU,GK,Leuven,27,1995,3,3,270,3.0,8,2.67,15,7,73.3,0,1,2,0,0.0,4,4,0,0,0.0
Jo Coppens,BEL,GK,,32,1990,4,4,360,4.0,8,2.00,14,6,42.9,1,1,2,0,0.0,0,0,0,0,
Gaëtan Coucke,BEL,GK,,24,1998,30,30,"2,700",30.0,34,1.13,124,90,73.4,13,6,11,10,33.3,4,1,1,2,50.0
Théo Defourny,BEL,GK,Molenbeek,31,1992,30,30,"2,679",29.8,66,2.22,178,110,69.7,5,8,17,4,13.3,15,12,3,0,20.0
Martin Delavallée,BEL,GK,,19,2004,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
Maxime Dupé,FRA,GK,,30,1993,7,7,630,7.0,7,1.00,24,17,79.2,4,2,1,2,28.6,2,2,0,0,0.0
Nick Gillekens,BEL,GK,,28,1995,4,4,360,4.0,10,2.50,23,14,56.5,0,0,4,0,0.0,0,0,0,0,
Laurent Henkinet,BEL,GK,Liège,30,1992,1,1,90,1.0,6,6.00,9,3,44.4,0,0,1,0,0.0,1,1,0,0,0.0
Guillaume Hubert,BEL,GK,Molenbeek,29,1994,1,0,17,0.2,1,5.29,0,0,,0,0,0,0,,0,0,0,0,
Joachim Imbrechts,SWE,GK,SG,21,2001,1,0,21,0.2,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
Nordin Jackers,BEL,GK,Brugge,25,1997,3,2,261,2.9,3,1.03,12,9,75.0,2,0,0,1,50.0,2,0,0,2,
Hervé Koffi,BFA,GK,,26,1996,26,26,"2,339",26.0,39,1.50,129,91,73.6,6,8,12,7,26.9,5,5,0,0,0.0
Tobe Leysen,BEL,GK,Leuven,21,2002,16,16,"1,440",16.0,18,1.13,78,62,78.2,4,5,7,5,31.3,1,1,0,0,0.0
Heinz Lindner,AUT,GK,SG,33,1990,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Simon Mignolet,BEL,GK,Brugge,35,1988,28,28,"2,439",27.1,26,0.96,86,60,69.8,12,9,7,9,32.1,1,0,0,1,
Anthony Moris,LUX,GK,SG,33,1990,29,29,"2,588",28.8,30,1.04,87,57,69.0,20,7,2,8,27.6,3,3,0,0,0.0
Paul Nardi,FRA,GK,,29,1994,10,10,900,10.0,12,1.20,42,30,73.8,4,5,1,1,10.0,1,1,0,0,0.0
Manaf Nurudeen,GHA,GK,,24,1999,2,2,180,2.0,2,1.00,8,6,87.5,1,1,0,1,50.0,1,1,0,0,0.0
Pierre Patron,FRA,GK,,25,1997,4,4,360,4.0,9,2.25,21,12,57.1,1,0,3,1,25.0,0,0,0,0,
Lucas Pirard,BEL,GK,,28,1995,9,9,810,9.0,10,1.11,42,33,76.2,4,2,3,4,44.4,0,0,0,0,
Maxence Prevot,FRA,GK,Leuven,26,1997,11,11,990,11.0,21,1.91,56,34,66.1,3,2,6,2,18.2,3,2,1,0,33.3
Davy Roef,BEL,GK,,29,1994,12,12,"1,080",12.0,9,0.75,42,30,85.7,7,4,1,5,41.7,6,3,3,0,50.0
Kasper Schmeichel,DEN,GK,,36,1986,23,23,"2,070",23.0,23,1.00,110,86,80.0,14,7,2,5,21.7,2,1,1,0,50.0
Daniel Schmidt,JPN,GK,,31,1992,4,4,360,4.0,3,0.75,12,9,75.0,2,1,1,2,50.0,0,0,0,0,
Daniel Schmidt,JPN,GK,,31,1992,8,8,720,8.0,17,2.12,38,21,65.8,1,2,5,1,12.5,4,4,0,0,0.0
Gaga Slonina,USA,GK,,19,2004,28,28,"2,520",28.0,56,2.00,159,106,66.7,6,2,20,4,14.3,5,3,1,1,25.0
Zion Suzuki,JPN,GK,,20,2002,22,22,"1,980",22.0,35,1.59,100,65,70.0,7,8,7,5,22.7,5,5,0,0,0.0
Tom Vandenberghe,BEL,GK,,30,1992,21,21,"1,890",21.0,47,2.24,126,82,63.5,2,4,15,1,4.8,2,1,0,1,0.0
Maarten Vandevoordt,BEL,GK,,21,2002,30,30,"2,700",30.0,31,1.03,116,84,75.0,12,11,7,10,33.3,3,2,1,0,33.3
Warleson,BRA,GK,Brugge,26,1996,30,30,"2,700",30.0,34,1.13,123,90,72.4,14,5,11,11,36.7,1,0,1,0,100.0
