Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,4,4,360,4.0,5,1.25,15,10,73.3,4,0,0,1,25.0,1,1,0,0,0.0
Emil Audero,ITA,GK,Inter,26,1997,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,
David von Ballmoos,SUI,GK,Young Boys,28,1994,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
Walter Benítez,ARG,GK,PSV Eindhoven,30,1993,8,8,720,8.0,13,1.62,34,21,61.8,2,4,2,1,12.5,0,0,0,0,
Justin Bijlow,NED,GK,Feyenoord,25,1998,4,4,360,4.0,7,1.75,15,10,66.7,1,0,3,0,0.0,2,2,0,0,0.0
Janis Blaswich,GER,GK,RB Leipzig,32,1991,5,5,450,5.0,9,1.80,21,13,57.1,3,0,2,0,0.0,0,0,0,0,
Jean Butez,FRA,GK,Antwerp,28,1995,5,5,450,5.0,15,3.00,30,16,50.0,1,0,4,0,0.0,0,0,0,0,
Diogo Costa,POR,GK,Porto,23,1999,8,8,750,8.3,9,1.08,28,20,67.9,5,0,3,2,25.0,0,0,0,0,
Thibaut Courtois,BEL,GK,Real Madrid,31,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
Marko Dmitrović,SRB,GK,Sevilla,31,1992,4,4,360,4.0,8,2.00,15,8,53.3,0,1,3,0,0.0,1,1,0,0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,24,1999,12,12,"1,080",12.0,15,1.25,52,37,71.2,5,2,5,3,25.0,0,0,0,0,
Martin Dúbravka,SVK,GK,Newcastle Utd,34,1989,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
Ederson,BRA,GK,Manchester City,29,1993,7,7,660,7.3,6,0.82,13,7,53.8,6,1,0,1,14.3,0,0,0,0,
Omri Glazer,ISR,GK,Red Star,27,1996,6,6,540,6.0,15,2.50,45,31,71.1,0,1,5,0,0.0,2,2,0,0,0.0
Kamil Grabara,POL,GK,FC Copenhagen,24,1999,8,8,720,8.0,14,1.75,44,30,70.5,2,2,4,2,25.0,1,1,0,0,0.0
Péter Gulácsi,HUN,GK,RB Leipzig,33,1990,3,3,270,3.0,3,1.00,9,6,66.7,1,1,1,0,0.0,0,0,0,0,
Joe Hart,ENG,GK,Celtic,36,1987,6,6,540,6.0,15,2.50,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0
Gregor Kobel,SUI,GK,Dortmund,25,1997,12,12,"1,080",12.0,10,0.83,55,45,83.6,7,2,3,6,50.0,2,1,1,0,50.0
Senne Lammens,BEL,GK,Antwerp,21,2002,1,1,90,1.0,2,2.00,6,4,83.3,0,0,1,0,0.0,1,1,0,0,0.0
Andriy Lunin,UKR,GK,Real Madrid,24,1999,8,8,750,8.3,10,1.20,45,34,80.0,4,4,0,2,25.0,2,1,1,0,50.0
Mike Maignan,FRA,GK,Milan,28,1995,6,6,530,5.9,8,1.36,26,18,73.1,2,2,2,1,16.7,1,1,0,0,0.0
Matheus,BRA,GK,Braga,31,1992,6,6,540,6.0,12,2.00,32,22,62.5,1,1,4,0,0.0,0,0,0,0,
Alex Meret,ITA,GK,Napoli,26,1997,8,8,720,8.0,13,1.62,45,33,71.1,3,2,3,2,25.0,0,0,0,0,
Alexander Meyer,GER,GK,Dortmund,32,1991,1,1,90,1.0,1,1.00,4,3,100.0,0,1,0,0,0.0,1,1,0,0,0.0
Fernando Muslera,URU,GK,Galatasaray,37,1986,6,6,540,6.0,13,2.17,25,12,48.0,1,2,3,0,0.0,0,0,0,0,
Manuel Neuer,GER,GK,Bayern Munich,37,1986,9,9,810,9.0,8,0.89,28,20,78.6,4,3,2,4,44.4,2,2,0,0,0.0
Ørjan Nyland,NOR,GK,Sevilla,32,1990,2,2,180,2.0,4,2.00,12,8,75.0,0,1,1,0,0.0,1,1,0,0,0.0
Jan Oblak,SVN,GK,Atlético Madrid,30,1993,10,10,930,10.3,13,1.26,49,37,73.5,6,2,2,2,20.0,0,0,0,0,
André Onana,CMR,GK,Manchester Utd,27,1996,6,6,540,6.0,15,2.50,35,19,62.9,1,1,4,1,16.7,4,2,1,1,33.3
Stefan Ortega,GER,GK,Manchester City,30,1992,3,3,270,3.0,7,2.33,14,8,50.0,2,1,0,0,0.0,0,0,0,0,
Iñaki Peña,ESP,GK,Barcelona,24,1999,2,2,180,2.0,4,2.00,10,6,60.0,1,0,1,0,0.0,0,0,0,0,
Nick Pope,ENG,GK,Newcastle Utd,31,1992,5,5,450,5.0,5,1.00,30,25,86.7,1,2,2,1,20.0,1,1,0,0,0.0
Ivan Provedel,ITA,GK,Lazio,29,1994,8,8,720,8.0,10,1.25,31,21,67.7,4,1,3,3,37.5,0,0,0,0,
Anthony Racioppi,SUI,GK,Young Boys,24,1998,5,5,450,5.0,11,2.20,42,31,78.6,1,1,3,1,20.0,2,2,0,0,0.0
Aaron Ramsdale,ENG,GK,Arsenal,25,1998,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
David Raya,ESP,GK,Arsenal,27,1995,9,9,840,9.3,7,0.75,23,16,73.9,5,1,3,4,44.4,1,1,0,0,0.0
Álex Remiro,ESP,GK,Real Sociedad,28,1995,8,8,720,8.0,6,0.75,25,19,76.0,3,3,2,4,50.0,0,0,0,0,
Dmytro Riznyk,UKR,GK,Shakhtar,24,1999,6,6,540,6.0,12,2.00,37,25,67.6,3,0,3,2,33.3,1,0,0,1,
Frederik Rønnow,DEN,GK,Union Berlin,30,1992,6,6,540,6.0,10,1.67,29,18,65.5,0,2,4,0,0.0,1,0,1,0,100.0
Brice Samba,FRA,GK,Lens,29,1994,6,6,540,6.0,11,1.83,32,21,71.9,2,2,2,0,0.0,2,2,0,0,0.0
Alexander Schlager,AUT,GK,RB Salzburg,27,1996,6,6,540,6.0,8,1.33,33,25,81.8,1,1,4,2,33.3,2,2,0,0,0.0
Yann Sommer,SUI,GK,Inter,34,1988,7,7,660,7.3,4,0.55,29,25,86.2,4,2,1,4,57.1,0,0,0,0,
Marco Sportiello,ITA,GK,Milan,31,1992,1,0,10,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
Marc-André ter Stegen,GER,GK,Barcelona,31,1992,8,8,720,8.0,10,1.25,31,21,71.0,5,1,2,2,25.0,1,1,0,0,0.0
Anatolii Trubin,UKR,GK,Benfica,21,2001,6,6,540,6.0,11,1.83,34,23,73.5,1,1,4,0,0.0,4,2,0,2,0.0
