Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Ismaël El Abbassi,BEL,FW,RWD Molenbeek,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ahmed Abdullahi,NGA,FW,Gent,19,2004,1,29,29,1.1,0.3,0,,0,1,29,0,0.00,0,3,-3,-9.31,-9.92,0.0,1.1,-1.1,-3.27,-3.54
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,28,"1,475",53,54.6,16.4,15,81,9,13,19,1,0.88,17,37,-20,-1.22,-0.04,18.6,39.7,-21.2,-1.29,-0.49
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,25,"1,850",74,68.5,20.6,20,88,18,5,19,5,0.82,21,40,-19,-0.92,+0.88,23.9,40.2,-16.4,-0.80,+0.86
Francis Abu,GHA,MF,Cercle Brugge,22,2001,8,409,51,15.1,4.5,5,71,2,3,19,1,1.44,3,3,0,0.00,-0.39,4.9,6.0,-1.2,-0.26,-0.76
Desmond Acquah,BEL,MF,OH Leuven,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,9,575,64,21.3,6.4,8,70,2,1,16,0,0.64,8,19,-11,-1.72,-0.66,7.9,16.5,-8.6,-1.34,-0.35
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,3,19,6,0.7,0.2,0,,0,3,6,3,1.40,1,1,0,0.00,-0.67,0.7,0.9,-0.2,-0.82,-1.69
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,10,397,40,14.7,4.4,4,70,0,6,20,0,1.15,5,5,0,0.00,+1.37,4.6,9.2,-4.6,-1.03,-0.06
Brian Agbor,CMR,DF,Gent,22,2001,3,208,69,7.7,2.3,2,90,2,1,28,12,1.20,2,7,-5,-2.16,-2.89,2.2,5.4,-3.2,-1.41,-1.77
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,5,261,52,9.7,2.9,2,86,1,3,30,4,1.67,5,3,+2,+0.69,+1.24,4.9,3.5,+1.4,+0.47,+0.93
Christian Akpan,NGA,MF,Genk,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Nicolas Alavoine,BEL,GK,RWD Molenbeek,21,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,10,659,66,24.4,7.3,9,72,2,1,14,0,0.56,5,21,-16,-2.19,-1.30,7.2,18.5,-11.3,-1.54,-0.63
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,1,24,24,0.9,0.3,0,,0,1,24,5,0.60,1,1,0,0.00,+0.40,0.6,0.5,+0.1,+0.35,+0.64
Toby Alderweireld,BEL,DF,Antwerp,34,1989,29,"2,599",90,96.3,28.9,29,90,28,0,,0,1.46,52,25,+27,+0.93,+0.04,49.1,28.9,+20.1,+0.70,+1.11
Ryan Alebiosu,ENG,"DF,MF",Kortrijk,21,2001,11,348,32,12.9,3.9,3,53,0,8,24,2,0.92,3,6,-3,-0.78,+0.45,4.0,4.8,-0.8,-0.20,+0.90
Tristen Alliet,BEL,GK,Kortrijk,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Teddy Alloh,FRA,DF,Eupen,21,2002,6,197,33,7.3,2.2,1,79,0,5,24,0,1.00,4,5,-1,-0.46,+0.73,2.9,6.2,-3.4,-1.55,-0.64
Éder Álvarez Balanta,COL,MF,Club Brugge,30,1993,15,497,33,18.4,5.5,3,74,1,12,23,7,1.90,12,9,+3,+0.54,-0.68,11.6,5.2,+6.4,+1.15,+0.02
Steven Alzate,COL,MF,Standard Liège,24,1998,20,"1,662",83,61.6,18.5,20,83,11,0,,0,1.29,26,27,-1,-0.05,+0.55,19.6,26.6,-7.0,-0.38,+0.02
Thierry Ambrose,GLP,FW,Kortrijk,26,1997,2,53,27,2.0,0.6,1,45,0,1,8,1,1.29,0,0,0,0.00,+1.19,0.5,0.8,-0.3,-0.55,+0.44
Mohamed Amoura,ALG,FW,Union SG,23,2000,23,"1,434",62,53.1,15.9,16,79,3,7,25,0,2.13,36,14,+22,+1.38,+0.67,29.7,14.9,+14.8,+0.93,-0.24
Francis Amuzu,BEL,FW,Anderlecht,23,1999,12,569,47,21.1,6.3,5,80,2,7,24,1,1.71,10,8,+2,+0.32,-0.78,8.1,8.4,-0.3,-0.05,-0.54
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,25,1997,13,543,42,20.1,6.0,6,72,2,7,16,4,1.26,8,9,-1,-0.17,+0.25,8.7,9.0,-0.4,-0.06,+0.18
Stelios Andreou,CYP,DF,Charleroi,21,2002,27,"2,409",89,89.2,26.8,27,89,26,0,,2,1.30,24,44,-20,-0.75,-0.13,29.1,43.2,-14.0,-0.52,-0.81
Nilson Angulo,ECU,"FW,MF",Anderlecht,20,2003,8,48,6,1.8,0.5,0,,0,8,6,3,1.50,3,0,+3,+5.63,+4.78,1.9,1.1,+0.8,+1.59,+1.24
Oskar Annell,BEL,GK,Mechelen,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Bill Antonio,ZIM,"MF,FW",Mechelen,20,2002,12,577,48,21.4,6.4,6,71,0,6,25,1,2.00,14,6,+8,+1.25,+1.38,10.4,8.4,+2.0,+0.31,+0.40
Kristian Arnstad,NOR,"DF,MF",Anderlecht,19,2003,14,645,46,23.9,7.2,6,81,3,8,20,8,2.29,12,7,+5,+0.70,-0.31,8.6,8.4,+0.2,+0.03,-0.44
Tolu Arokodare,NGA,FW,Genk,22,2000,29,"1,307",45,48.4,14.5,11,78,5,18,25,1,1.43,26,16,+10,+0.69,+0.04,27.2,17.2,+10.0,+0.69,-0.34
Gerardo Arteaga,MEX,DF,Genk,24,1998,15,"1,210",81,44.8,13.4,14,86,12,1,1,3,1.33,23,15,+8,+0.60,-0.13,25.8,18.1,+7.7,+0.57,-0.53
Isaac Asante,GHA,"DF,MF",Mechelen,20,2002,2,6,3,0.2,0.1,0,,0,2,3,7,1.33,1,0,+1,+15.00,+14.87,0.8,0.4,+0.4,+6.53,+6.55
Dirk Asare,BEL,MF,Mechelen,19,2004,2,2,1,0.1,0.0,0,,0,2,1,4,2.00,0,0,0,0.00,-0.17,0.0,0.2,-0.2,-7.50,-7.51
Majeed Ashimeru,GHA,MF,Anderlecht,25,1997,6,119,20,4.4,1.3,1,80,0,5,8,0,1.75,3,2,+1,+0.76,-0.19,2.0,1.7,+0.3,+0.22,-0.16
Christalino Atemona,GER,DF,Kortrijk,21,2002,2,96,48,3.6,1.1,1,90,1,1,6,3,0.00,0,7,-7,-6.56,-5.59,0.4,3.9,-3.6,-3.34,-2.45
Lynnt Audoor,BEL,MF,Kortrijk,19,2003,11,401,36,14.9,4.5,4,59,0,7,24,4,0.18,2,8,-6,-1.35,-0.21,4.3,8.9,-4.6,-1.04,-0.07
Ludwig Augustinsson,SWE,DF,Anderlecht,29,1994,21,"1,629",78,60.3,18.1,19,84,15,2,16,1,1.90,36,16,+20,+1.10,+0.43,31.7,21.4,+10.3,+0.57,+0.50
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,19,2004,9,444,49,16.4,4.9,4,76,1,5,28,1,1.39,10,4,+6,+1.22,+1.06,6.3,7.1,-0.8,-0.17,-0.67
Felipe Avenatti,URU,"FW,MF",Kortrijk,30,1993,27,"1,568",58,58.1,17.4,17,77,5,10,26,0,0.79,15,33,-18,-1.03,+0.32,15.1,30.6,-15.5,-0.89,+0.21
Gastón Ávila,ARG,DF,Antwerp,21,2001,2,180,90,6.7,2.0,2,90,2,0,,0,2.00,7,1,+6,+3.00,+2.21,4.1,0.7,+3.3,+1.65,+1.07
Youssouph Badji,SEN,"FW,MF",Charleroi,21,2001,20,938,47,34.7,10.4,8,82,3,12,24,1,0.95,7,17,-10,-0.96,-0.35,15.3,15.7,-0.4,-0.04,+0.61
Bilal Bafdili,BEL,"MF,FW",Mechelen,18,2004,11,171,16,6.3,1.9,1,72,0,10,10,7,1.95,3,2,+1,+0.53,+0.38,4.2,1.6,+2.6,+1.37,+1.46
Jonas Bager,DEN,DF,Charleroi,27,1996,19,"1,507",79,55.8,16.7,16,89,11,3,30,4,1.48,14,19,-5,-0.30,+0.98,17.6,23.8,-6.3,-0.37,+0.14
Rayan El Bahri,BEL,FW,Cercle Brugge,19,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,
Brandon Baiye,BEL,MF,Eupen,22,2000,28,"2,071",74,76.7,23.0,24,81,10,4,29,2,0.82,19,44,-25,-1.09,+0.20,21.2,46.3,-25.1,-1.09,-0.59
Michel-Ange Balikwisha,BEL,"FW,MF",Antwerp,22,2001,23,"1,784",78,66.1,19.8,20,85,12,3,29,0,1.36,36,18,+18,+0.91,-0.07,32.0,20.1,+12.0,+0.60,-0.15
William Balikwisha,COD,MF,Standard Liège,24,1999,20,"1,089",54,40.3,12.1,12,81,7,8,15,7,0.89,11,13,-2,-0.17,+0.17,14.1,13.0,+1.1,+0.09,+0.80
Sacha Banse,BFA,MF,Standard Liège,22,2001,3,45,15,1.7,0.5,0,,0,3,15,0,0.33,0,2,-2,-4.00,-3.80,0.1,1.3,-1.2,-2.37,-2.02
Ezechiel Banzuzi,NED,MF,OH Leuven,18,2005,27,"1,746",65,64.7,19.4,20,80,11,7,20,2,1.03,14,26,-12,-0.62,-0.52,17.6,28.5,-11.0,-0.56,-0.55
Víctor Barberá,ESP,"FW,MF",Club Brugge,18,2004,4,32,8,1.2,0.4,0,,0,4,8,5,1.50,0,1,-1,-2.81,-3.96,0.2,0.9,-0.7,-2.00,-3.17
Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,21,2001,24,430,18,15.9,4.8,3,66,0,21,11,5,1.23,5,11,-6,-1.26,-1.06,7.7,10.3,-2.5,-0.53,-0.38
Jacob Barrett Laursen,DEN,DF,Standard Liège,28,1994,2,151,76,5.6,1.7,2,76,1,0,,0,0.00,0,1,-1,-0.60,-0.35,0.7,3.1,-2.3,-1.38,-1.05
Norman Bassette,BEL,"FW,MF",Mechelen,18,2004,15,576,38,21.3,6.4,6,72,1,9,16,1,1.14,8,9,-1,-0.16,-0.41,9.4,8.8,+0.6,+0.10,+0.13
