Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Ahmed Abdullahi,NGA,FW,Gent,19,2004,0.3,8,0,1,5,2,0,8,1,0,0.0,1,100.0,4,30,4,0,0,0,0,1,3,3
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,16.4,889,45,255,486,156,21,889,14,6,42.9,8,57.1,577,3003,1072,12,15,2,32,14,508,35
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,1096,79,327,502,271,11,1096,31,6,19.4,20,64.5,693,4369,2040,38,38,2,35,7,605,89
Francis Abu,GHA,MF,Cercle Brugge,22,2001,4.5,281,7,34,185,66,0,281,3,3,100.0,0,0.0,138,573,215,3,5,0,7,0,110,2
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,6.4,347,35,132,143,84,7,347,24,14,58.3,10,41.7,196,1628,724,19,12,5,13,9,159,25
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,0.2,19,1,6,7,6,2,19,0,0,,0,,12,76,16,1,0,1,0,0,13,5
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,4.4,126,3,10,62,56,11,126,4,1,25.0,3,75.0,97,629,141,2,3,0,19,6,99,27
Brian Agbor,CMR,DF,Gent,22,2001,2.3,173,19,70,101,2,1,173,2,1,50.0,1,50.0,127,591,291,1,1,0,3,0,114,0
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,2.9,165,9,53,75,40,5,165,3,2,66.7,1,33.3,90,557,249,3,4,0,7,1,81,13
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,206,9,44,85,88,22,206,18,6,33.3,12,66.7,114,845,422,12,8,6,20,5,102,41
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,0.3,14,0,0,5,9,1,14,2,0,0.0,2,100.0,11,53,5,1,1,1,1,1,11,4
