Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,87,4,37,49,1,1,87,0,0,,0,,47,326,183,0,0,0,1,1,54,0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,38,49,3,32,30,1502,51
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,69,4,4,31,34,9,69,6,2,33.3,4,66.7,37,208,111,6,2,2,9,2,53,15
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,6,5,5,0,1,0,6,0,0,,0,,1,18,12,0,0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,984,33,270,476,253,10,984,21,10,47.6,8,38.1,473,2266,1224,23,20,4,20,16,546,42
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,638,17,61,266,323,118,638,44,14,31.8,26,59.1,442,2673,1004,40,23,22,68,30,472,127
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,54,2,7,32,18,6,54,3,0,0.0,2,66.7,29,141,48,1,1,0,5,5,33,5
