Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,43,1.96,34,1,1,4,2,1,0,0.00,0,0,0,0,0,0
Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,23,1.56,17,0,0,4,2,0,2,0.14,1,0,0,1,0,0
Adriel,BRA,GK,Grêmio,22,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,13,0.39,12,0,0,0,0,1,2,0.06,1,0,0,0,0,1
Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,33,3.47,25,0,5,1,1,1,3,0.32,2,0,1,0,0,0
Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,16,5.88,14,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Washington Aguerre,URU,GK,América (MG),29,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,9,2.73,6,0,1,0,2,0,3,0.91,1,0,1,0,1,0
Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,56,1.85,34,1,3,8,8,2,9,0.30,4,0,0,3,2,0
Ale,BRA,MF,América (MG),32,1990,15.8,35,2.21,34,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,14,3.70,10,0,0,0,4,0,1,0.26,1,0,0,0,0,0
Alerrandro,BRA,"FW,MF",Red Bull Bragantino,23,2000,4.5,7,1.56,6,0,1,0,0,0,1,0.22,1,0,0,0,0,0
Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,18,2.47,13,0,3,1,1,0,1,0.14,1,0,0,0,0,0
Alex,BRA,DF,Santos,23,1999,5.1,5,0.99,2,0,0,2,0,1,1,0.20,0,0,0,1,0,0
Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,86,2.95,76,2,1,1,4,2,6,0.21,6,0,0,0,0,0
Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,43,1.30,35,4,0,1,1,2,3,0.09,2,1,0,0,0,0
Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,34,2.57,31,0,1,1,1,0,2,0.15,2,0,0,0,0,0
Alison,BRA,MF,Santos,29,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,4,7.35,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,66,2.76,42,12,2,3,5,2,7,0.29,6,0,0,0,1,0
Allan,BRA,MF,Flamengo,25,1997,5.4,13,2.42,12,0,0,0,1,0,2,0.37,1,0,0,0,1,0
Allano,BRA,FW,Goiás,27,1995,13.7,31,2.25,20,0,2,1,7,1,2,0.15,2,0,0,0,0,0
Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,7,4.04,4,0,2,1,0,0,0,0.00,0,0,0,0,0,0
Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,3.9,1,0.26,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anderson,BRA,GK,Cruzeiro,24,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anderson,BRA,"FW,MF",Goiás,24,1998,14.3,37,2.58,24,2,5,3,3,0,2,0.14,2,0,0,0,0,0
André,BRA,DF,Bahia,19,2003,1.4,4,2.88,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
André,BRA,"MF,DF",Fluminense,21,2001,29.4,58,1.97,51,0,3,1,2,1,4,0.14,4,0,0,0,0,0
Ângelo,BRA,"FW,MF",Santos,18,2004,6.0,21,3.49,17,0,3,0,1,0,2,0.33,1,0,1,0,0,0
Maurício Antônio,BRA,DF,Coritiba,30,1992,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Apodi,BRA,"FW,MF",Goiás,36,1986,4.2,5,1.18,3,0,1,0,1,0,3,0.71,1,0,1,0,1,0
Guilherme Arana,BRA,DF,Atlético Mineiro,25,1997,26.5,54,2.04,45,2,2,3,1,1,4,0.15,4,0,0,0,0,0
Charles Aránguiz,CHI,MF,Internacional,33,1989,14.1,30,2.13,26,1,0,1,1,1,2,0.14,2,0,0,0,0,0
João Araújo,BRA,MF,Grêmio,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luiz Araújo,BRA,FW,Flamengo,26,1996,8.7,37,4.24,24,4,4,2,3,0,5,0.57,2,0,1,0,2,0
Matheus Araújo,BRA,"MF,FW",Corinthians,20,2002,6.5,24,3.71,21,1,2,0,0,0,4,0.62,3,0,1,0,0,0
Michel Araujo,URU,"FW,MF",São Paulo,26,1996,19.6,71,3.61,46,9,6,4,5,1,3,0.15,3,0,0,0,0,0
Robert Arboleda,ECU,DF,São Paulo,31,1991,19.1,11,0.58,5,0,0,6,0,0,1,0.05,0,0,0,1,0,0
Jhon Arias,COL,"FW,MF",Fluminense,25,1997,26.5,133,5.02,102,8,10,6,7,0,11,0.42,9,0,1,1,0,0
Luciano Arriagada,CHI,"FW,MF",Ath Paranaense,20,2002,2.1,7,3.32,4,0,0,1,1,1,0,0.00,0,0,0,0,0,0
Arthur,BRA,"FW,MF",Cruzeiro,24,1998,15.0,37,2.46,24,1,5,2,5,0,1,0.07,1,0,0,0,0,0
Arthur,BRA,DF,América (MG),19,2003,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arthur,BRA,"DF,FW",Fluminense,18,2004,0.2,4,18.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Artur,BRA,FW,Palmeiras,24,1998,21.1,89,4.23,66,5,9,3,5,1,4,0.19,4,0,0,0,0,0
Eduard Atuesta,COL,MF,Palmeiras,25,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Felipe Augusto,BRA,"FW,MF",Corinthians,18,2004,3.6,4,1.11,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0
