Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,1238,1191,46,40,3,7,12,6,0,0,0,0,1030,1,29
Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,253,228,23,0,2,0,0,1,0,0,0,0,208,2,6
Adriel,BRA,GK,Grêmio,22,2001,2.0,63,25,38,9,0,1,0,0,0,0,0,0,28,0,0
Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,1524,1458,65,51,0,11,0,3,0,0,0,0,1303,1,6
Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,390,386,3,0,2,5,10,2,1,0,0,0,315,1,7
Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,140,123,16,5,1,0,31,4,7,4,3,0,97,1,5
Washington Aguerre,URU,GK,América (MG),29,1993,2.0,41,17,24,8,0,0,0,0,0,0,0,0,31,0,0
Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,75,69,6,0,0,0,5,6,0,0,0,0,63,0,1
Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,581,524,55,1,1,3,13,3,0,0,0,0,418,2,15
Ale,BRA,MF,América (MG),32,1990,15.8,878,841,36,26,0,7,11,7,0,0,0,0,770,1,10
Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,73,67,6,0,0,0,2,0,0,0,0,0,56,0,3
Alerrandro,BRA,"FW,MF",Red Bull Bragantino,23,2000,4.5,70,64,5,0,0,0,1,1,0,0,0,0,55,1,1
Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,215,198,14,2,0,2,23,8,3,2,0,0,130,3,20
Alex,BRA,DF,Santos,23,1999,5.1,244,237,7,7,0,1,0,0,0,0,0,0,221,0,2
Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,1806,1724,75,71,10,32,27,2,1,1,0,0,1576,7,28
Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,1543,1214,327,26,0,3,72,301,0,0,0,0,1212,2,45
Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,734,694,38,13,0,2,17,24,0,0,0,0,613,2,24
Alison,BRA,MF,Santos,29,1993,1.5,63,63,0,0,0,0,0,0,0,0,0,0,51,0,1
Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,31,29,1,0,0,0,3,0,1,1,0,0,21,1,0
Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,1321,1232,85,36,2,11,59,10,38,15,10,0,1115,4,26
Allan,BRA,MF,Flamengo,25,1997,5.4,429,415,12,12,0,2,3,0,0,0,0,0,373,2,4
Allano,BRA,FW,Goiás,27,1995,13.7,422,409,10,2,6,2,13,6,2,0,0,0,307,3,19
Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,29,23,6,0,0,0,2,0,0,0,0,0,24,0,1
Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,3.9,107,104,3,2,0,0,0,1,0,0,0,0,83,0,2
Anderson,BRA,GK,Cruzeiro,24,1998,1.0,18,15,3,0,0,0,0,0,0,0,0,0,14,0,0
Anderson,BRA,"FW,MF",Goiás,24,1998,14.3,485,473,9,4,5,2,20,3,2,1,1,0,360,3,26
André,BRA,DF,Bahia,19,2003,1.4,79,65,14,0,0,0,9,14,0,0,0,0,63,0,1
André,BRA,"MF,DF",Fluminense,21,2001,29.4,2491,2410,78,71,2,23,5,7,0,0,0,0,2355,3,15
Ângelo,BRA,"FW,MF",Santos,18,2004,6.0,172,167,3,0,2,0,8,3,0,0,0,0,122,2,8
Maurício Antônio,BRA,DF,Coritiba,30,1992,2.0,95,90,5,4,0,2,0,0,0,0,0,0,77,0,2
Apodi,BRA,"FW,MF",Goiás,36,1986,4.2,58,52,6,0,0,0,6,3,0,0,0,0,35,0,3
Guilherme Arana,BRA,DF,Atlético Mineiro,25,1997,26.5,1709,1437,261,26,2,5,100,228,7,1,5,0,1364,11,47
Charles Aránguiz,CHI,MF,Internacional,33,1989,14.1,954,912,37,20,1,2,7,1,0,0,0,0,824,5,18
João Araújo,BRA,MF,Grêmio,17,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Luiz Araújo,BRA,FW,Flamengo,26,1996,8.7,388,356,31,4,1,11,38,8,19,10,4,0,291,1,15
Matheus Araújo,BRA,"MF,FW",Corinthians,20,2002,6.5,325,310,13,10,0,1,13,1,1,1,0,0,272,2,4
Michel Araujo,URU,"FW,MF",São Paulo,26,1996,19.6,979,911,65,16,4,8,61,19,28,10,15,0,802,3,21
Robert Arboleda,ECU,DF,São Paulo,31,1991,19.1,1239,1199,38,30,0,5,0,0,0,0,0,0,1103,2,5
Jhon Arias,COL,"FW,MF",Fluminense,25,1997,26.5,1562,1423,130,30,2,2,158,30,70,25,19,0,1233,9,53
Luciano Arriagada,CHI,"FW,MF",Ath Paranaense,20,2002,2.1,51,49,2,0,0,0,1,0,0,0,0,0,39,0,2
Arthur,BRA,"FW,MF",Cruzeiro,24,1998,15.0,431,422,8,1,1,2,29,4,2,1,0,0,323,1,14
Arthur,BRA,DF,América (MG),19,2003,1.0,55,42,13,2,0,0,3,11,0,0,0,0,38,0,2
Arthur,BRA,"DF,FW",Fluminense,18,2004,0.2,19,18,1,1,0,0,1,0,0,0,0,0,16,0,1
Artur,BRA,FW,Palmeiras,24,1998,21.1,820,767,48,11,3,4,80,13,24,13,2,0,605,5,29
Eduard Atuesta,COL,MF,Palmeiras,25,1997,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
