Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,1030,1238,83.2,17306,5450,495,545,90.8,423,497,85.1,82,118,69.5,0,1.2,1.8,-1.2,16,105,11,3,112
Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,208,253,82.2,2628,429,128,147,87.1,58,66,87.9,6,8,75.0,1,1.3,1.7,-0.3,12,15,3,0,23
Adriel,BRA,GK,Grêmio,22,2001,2.0,28,63,44.4,1101,947,3,3,100.0,10,10,100.0,15,50,30.0,0,0.0,0.0,0.0,0,1,0,0,0
Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,1303,1524,85.5,25681,9385,417,470,88.7,727,818,88.9,148,211,70.1,1,0.3,0.5,+0.7,2,33,1,0,56
Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,315,390,80.8,4729,1213,185,209,88.5,94,123,76.4,21,32,65.6,1,1.0,1.4,0.0,15,32,13,1,53
Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,97,140,69.3,1609,650,48,56,85.7,37,51,72.5,8,20,40.0,0,0.4,0.7,-0.4,10,8,13,4,17
Washington Aguerre,URU,GK,América (MG),29,1993,2.0,31,41,75.6,816,564,7,7,100.0,12,12,100.0,11,21,52.4,0,0.0,0.0,0.0,0,0,0,0,0
Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,63,75,84.0,947,216,33,36,91.7,24,29,82.8,4,5,80.0,0,0.2,0.8,-0.2,2,2,4,1,9
Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,418,581,71.9,5458,802,261,327,79.8,120,159,75.5,11,20,55.0,3,2.7,1.5,+0.3,22,20,6,0,28
Ale,BRA,MF,América (MG),32,1990,15.8,770,878,87.7,12931,4158,361,405,89.1,326,356,91.6,61,70,87.1,0,1.2,0.8,-1.2,16,88,8,3,110
Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,56,73,76.7,770,173,34,43,79.1,13,18,72.2,5,5,100.0,0,0.1,0.2,-0.1,4,4,2,0,7
Alerrandro,BRA,"FW,MF",Red Bull Bragantino,23,2000,4.5,55,70,78.6,771,126,32,39,82.1,16,17,94.1,4,6,66.7,0,0.2,0.1,-0.2,2,3,0,0,9
Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,130,215,60.5,1965,450,81,111,73.0,41,64,64.1,8,14,57.1,1,0.5,0.5,+0.5,10,9,7,5,9
Alex,BRA,DF,Santos,23,1999,5.1,221,244,90.6,4295,1222,57,63,90.5,150,156,96.2,13,21,61.9,0,0.4,0.0,-0.4,2,5,0,0,7
Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,1576,1806,87.3,28883,7695,635,688,92.3,747,807,92.6,162,234,69.2,2,2.8,2.5,-0.8,29,190,33,4,208
Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,1212,1543,78.5,19566,8008,589,652,90.3,527,672,78.4,75,135,55.6,0,1.2,1.7,-1.2,13,107,16,10,108
Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,613,734,83.5,8458,2186,378,418,90.4,187,219,85.4,19,33,57.6,1,1.4,1.5,-0.4,20,47,14,5,53
Alison,BRA,MF,Santos,29,1993,1.5,51,63,81.0,670,180,31,36,86.1,12,15,80.0,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,1
Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,21,31,67.7,388,105,9,13,69.2,8,10,80.0,3,4,75.0,0,0.2,0.4,-0.2,2,1,4,2,3
Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,1115,1321,84.4,18393,4343,547,603,90.7,451,507,89.0,86,135,63.7,5,2.7,3.6,+2.3,28,117,22,7,143
Allan,BRA,MF,Flamengo,25,1997,5.4,373,429,86.9,6241,1739,181,198,91.4,150,169,88.8,32,45,71.1,0,0.1,0.7,-0.1,6,66,10,1,38
Allano,BRA,FW,Goiás,27,1995,13.7,307,422,72.7,4734,1557,155,183,84.7,119,152,78.3,20,39,51.3,0,0.8,1.0,-0.8,12,40,13,2,55
Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,24,29,82.8,305,49,15,17,88.2,4,5,80.0,2,2,100.0,0,0.3,0.3,-0.3,3,1,0,0,3
Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,3.9,83,107,77.6,1610,411,27,38,71.1,47,53,88.7,8,11,72.7,0,0.0,0.0,0.0,1,7,1,0,4
Anderson,BRA,GK,Cruzeiro,24,1998,1.0,14,18,77.8,377,262,4,4,100.0,7,8,87.5,3,6,50.0,0,0.0,0.0,0.0,0,2,0,0,0
Anderson,BRA,"FW,MF",Goiás,24,1998,14.3,360,485,74.2,5156,1199,209,243,86.0,118,147,80.3,16,38,42.1,2,1.4,1.7,+0.6,16,23,15,4,37
André,BRA,DF,Bahia,19,2003,1.4,63,79,79.7,998,257,37,43,86.0,18,23,78.3,6,9,66.7,0,0.0,0.1,0.0,1,5,1,1,4
André,BRA,"MF,DF",Fluminense,21,2001,29.4,2355,2491,94.5,39522,11204,1150,1192,96.5,996,1025,97.2,167,207,80.7,0,0.6,1.2,-0.6,19,223,9,0,185
Ângelo,BRA,"FW,MF",Santos,18,2004,6.0,122,172,70.9,1855,659,70,89,78.7,42,56,75.0,7,10,70.0,0,1.0,1.1,-1.0,9,14,8,2,25
