Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Rodrigo Abascal,URU,DF,Boavista,30-296,1994,8,8,720,8.0,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,5,10,8,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-289,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.79,0.18,0.79
Giorgi Aburjania,GEO,MF,AVS Futebol,29-308,1995,8,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,3,20,4,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.26,0.09,0.26
Adriano,BRA,MF,Santa Clara,25-001,1999,9,9,722,8.0,0,1,1,0,0,0,2,1,0.2,0.2,0.8,0.9,12,37,10,0.00,0.12,0.12,0.00,0.12,0.02,0.10,0.12,0.02,0.12
Lucas Áfrico,BRA,DF,Farense,29-274,1995,8,8,705,7.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,7,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
Salvador Agra,POR,"MF,DF",Boavista,32-360,1991,10,10,899,10.0,0,0,0,0,0,0,1,0,0.7,0.7,1.4,2.1,20,21,57,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-130,2003,8,3,211,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,5,10,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-305,2000,10,4,388,4.3,2,0,2,2,0,0,1,0,1.6,1.6,0.2,1.9,4,7,17,0.46,0.00,0.46,0.46,0.46,0.38,0.06,0.44,0.38,0.44
Babatunde Akinsola,NGA,"FW,MF",AVS Futebol,21-240,2003,7,3,246,2.7,1,1,2,1,0,0,0,0,1.0,1.0,0.1,1.1,3,6,19,0.37,0.37,0.73,0.37,0.73,0.38,0.04,0.42,0.38,0.42
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-015,1998,5,5,346,3.8,5,3,8,5,0,0,0,0,1.9,1.9,1.2,3.1,12,15,40,1.30,0.78,2.08,1.30,2.08,0.50,0.30,0.80,0.50,0.80
Léo Alaba,BRA,DF,AVS Futebol,25-127,1999,4,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,12,20,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Alan,BRA,MF,Moreirense,24-242,2000,9,9,685,7.6,1,2,3,0,1,1,3,0,1.3,0.5,1.9,2.4,8,52,22,0.13,0.26,0.39,0.00,0.26,0.17,0.25,0.42,0.06,0.31
Gonçalo Almeida,POR,"DF,MF",Boavista,21-183,2003,7,2,202,2.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,6,9,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.14,0.09,0.14
Pedro Álvaro,POR,DF,Estoril,24-248,2000,10,10,900,10.0,1,1,2,1,0,0,5,0,0.6,0.6,0.3,1.0,3,16,1,0.10,0.10,0.20,0.10,0.20,0.06,0.03,0.10,0.06,0.10
Pedro Amaral,POR,DF,Estoril,27-072,1997,10,10,823,9.1,0,2,2,0,0,0,1,0,0.1,0.1,1.6,1.7,14,32,40,0.00,0.22,0.22,0.00,0.22,0.01,0.17,0.18,0.01,0.18
Zeki Amdouni,SUI,"MF,FW",Benfica,23-337,2000,5,0,110,1.2,2,0,2,2,0,0,0,0,1.7,1.7,0.1,1.7,1,3,9,1.64,0.00,1.64,1.64,1.64,1.37,0.06,1.43,1.37,1.43
Artur Jorge Marques Amorim,POR,DF,Farense,30-083,1994,7,7,586,6.5,0,0,0,0,0,0,4,0,1.0,1.0,0.0,1.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Andrew,BRA,GK,Gil Vicente FC,23-127,2001,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeremy Antonisse,CUW,"FW,MF",Moreirense,22-221,2002,9,4,292,3.2,0,0,0,0,0,0,0,0,0.9,0.9,0.8,1.7,11,5,19,0.00,0.00,0.00,0.00,0.00,0.28,0.25,0.52,0.28,0.52
Arvin Appiah,ENG,"FW,MF",Nacional,23-305,2001,8,6,412,4.6,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,13,7,29,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.16,0.08,0.16
Óscar Aranda,ESP,FW,Famalicão,22-190,2002,10,10,800,8.9,1,1,2,1,0,0,1,0,0.7,0.7,1.1,1.8,28,48,45,0.11,0.11,0.23,0.11,0.23,0.08,0.12,0.21,0.08,0.21
Henrique Araújo,POR,FW,Arouca,22-291,2002,7,4,350,3.9,2,0,2,2,0,0,1,0,2.0,2.0,0.1,2.1,4,7,18,0.51,0.00,0.51,0.51,0.51,0.52,0.02,0.55,0.52,0.55
Maximiliano Araújo,URU,"MF,DF",Sporting CP,24-264,2000,6,3,276,3.1,1,0,1,1,0,0,0,0,0.3,0.3,0.8,1.2,4,11,25,0.33,0.00,0.33,0.33,0.33,0.11,0.27,0.38,0.11,0.38
Tomás Araújo,POR,DF,Benfica,22-173,2002,7,7,621,6.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,11,45,10,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Telmo Arcanjo,CPV,FW,Vitória,23-137,2001,6,2,179,2.0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,6,8,21,0.00,0.00,0.00,0.00,0.00,0.34,0.05,0.39,0.34,0.39
Bright Arrey-Mbi,GER,DF,Braga,21-224,2003,5,5,415,4.6,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,2,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Gustavo Assuncao,POR,MF,AVS Futebol,24-220,2000,6,6,472,5.2,1,0,1,0,1,1,4,0,0.8,0.0,0.2,0.3,1,18,2,0.19,0.00,0.19,0.00,0.00,0.16,0.04,0.20,0.01,0.05
Otavio Ataide,BRA,DF,Porto,22-198,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,4,27,5,0.00,0.00,0.00,0.00,0.00,0.16,0.01,0.16,0.16,0.16
João Aurélio,POR,MF,Nacional,36-080,1988,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fredrik Aursnes,NOR,"MF,FW",Benfica,28-331,1995,7,7,544,6.0,1,1,2,1,0,0,0,0,0.5,0.5,0.8,1.3,17,43,47,0.17,0.17,0.33,0.17,0.33,0.08,0.13,0.21,0.08,0.21
Miguel Baeza,ESP,"MF,FW",Nacional,24-223,2000,5,2,203,2.3,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,2,6,4,0.44,0.00,0.44,0.44,0.44,0.12,0.01,0.13,0.12,0.13
Alexander Bah,DEN,DF,Benfica,26-332,1997,7,7,572,6.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,22,40,58,0.00,0.16,0.16,0.00,0.16,0.05,0.07,0.12,0.05,0.12
Elves Baldé,GNB,"MF,FW",Farense,25-034,1999,7,3,268,3.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,4,7,6,0.00,0.00,0.00,0.00,0.00,0.18,0.03,0.21,0.18,0.21
