Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21-173,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
James Abankwah,IRL,DF,Udinese,Serie A,20-290,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-210,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-034,1987,7,7,576,6.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,3,16,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-350,1999,9,9,792,8.8,3,0,3,1,2,3,1,0,3.5,1.1,1.0,2.1,31,58,39,0.34,0.00,0.34,0.11,0.11,0.40,0.12,0.51,0.13,0.24
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-274,1999,5,4,338,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,14,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30-317,1993,6,4,401,4.5,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.4,8,10,28,0.22,0.22,0.45,0.22,0.45,0.13,0.19,0.32,0.13,0.32
Abel,ESP,DF,Osasuna,La Liga,24-072,2000,10,8,729,8.1,2,0,2,2,0,0,2,0,0.2,0.2,0.3,0.5,15,34,15,0.25,0.00,0.25,0.25,0.25,0.03,0.04,0.07,0.03,0.07
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-070,2002,6,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
Oliver Abildgaard,DEN,MF,Como,Serie A,28-144,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-218,2003,9,9,699,7.8,2,0,2,2,0,0,1,0,1.5,1.5,0.7,2.1,20,20,52,0.26,0.00,0.26,0.26,0.26,0.19,0.09,0.27,0.19,0.27
Abner,BRA,DF,Lyon,Ligue 1,24-158,2000,8,7,555,6.2,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.6,16,25,34,0.16,0.00,0.16,0.16,0.16,0.03,0.06,0.09,0.03,0.09
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-257,2000,9,8,649,7.2,3,1,4,3,0,1,1,0,5.2,4.4,0.2,4.7,12,10,56,0.42,0.14,0.55,0.42,0.55,0.73,0.03,0.76,0.62,0.65
Abdel Abqar,MAR,DF,Alavés,La Liga,25-236,1999,10,10,768,8.5,0,1,1,0,0,0,5,0,0.3,0.3,0.1,0.5,9,27,3,0.00,0.12,0.12,0.00,0.12,0.04,0.02,0.05,0.04,0.05
Tammy Abraham,ENG,FW,Roma,Serie A,27-030,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tammy Abraham,ENG,FW,Milan,Serie A,27-030,1997,6,4,352,3.9,1,1,2,0,1,2,0,0,3.4,1.7,0.4,2.1,1,3,23,0.26,0.26,0.51,0.00,0.26,0.87,0.10,0.97,0.44,0.54
Federico Accornero,ITA,MF,Genoa,Serie A,20-270,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francesco Acerbi,ITA,DF,Inter,Serie A,36-265,1988,7,7,566,6.3,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,5,25,4,0.00,0.16,0.16,0.00,0.16,0.02,0.03,0.05,0.02,0.05
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-277,2000,9,8,731,8.1,3,1,4,3,0,0,2,0,3.9,3.9,0.7,4.6,6,5,26,0.37,0.12,0.49,0.37,0.49,0.48,0.09,0.56,0.48,0.56
Che Adams,SCO,FW,Torino,Serie A,28-111,1996,10,7,656,7.3,3,1,4,3,0,0,0,0,2.2,2.2,0.9,3.1,6,6,34,0.41,0.14,0.55,0.41,0.55,0.30,0.13,0.43,0.30,0.43
Tyler Adams,USA,MF,Bournemouth,Premier League,25-261,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-148,2001,8,8,630,7.0,2,1,3,2,0,0,3,0,2.9,2.9,1.4,4.3,4,4,30,0.29,0.14,0.43,0.29,0.43,0.41,0.20,0.61,0.41,0.61
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-038,1997,4,2,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Martin Adeline,FRA,MF,Reims,Ligue 1,20-335,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-288,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-305,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-175,2000,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,9,37,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.21,0.18,0.21
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-095,2000,8,3,300,3.3,1,2,3,1,0,0,1,0,0.0,0.0,0.7,0.7,8,23,3,0.30,0.60,0.90,0.30,0.90,0.01,0.20,0.21,0.01,0.21
