Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Ahmed Abdullahi,NGA,MF,Gent,20-136,2004,0.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Francis Abu,GHA,MF,Cercle Brugge,23-189,2001,7.8,32,20,6,17,9,14,22,63.6,8,8,1,7,6,38,11,0
Desmond Acquah,BEL,"MF,FW",Dender,22-102,2002,1.5,4,4,0,3,1,2,11,18.2,9,4,0,4,1,5,0,0
Noah Adedeji,BEL,"FW,MF",Genk,19-136,2005,0.3,4,2,0,1,3,1,1,100.0,0,0,0,0,1,5,1,0
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-345,2003,7.2,26,13,11,11,4,15,26,57.7,11,28,2,26,11,37,7,0
Takahiro Akimoto,JPN,DF,OH Leuven,26-276,1998,10.5,18,10,12,6,0,8,19,42.1,11,10,4,6,11,29,39,0
Ali Akman,TUR,"MF,DF",Dender,22-198,2002,0.4,3,2,0,1,2,2,3,66.7,1,0,0,0,0,3,0,0
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-118,2004,6.8,18,15,10,7,1,7,21,33.3,14,7,1,6,9,27,10,0
Toby Alderweireld,BEL,DF,Antwerp,35-245,1989,12.0,7,4,6,1,0,5,8,62.5,3,8,5,3,12,19,43,1
Ryan Alebiosu,ENG,DF,Kortrijk,22-321,2001,4.3,10,4,7,2,1,5,6,83.3,1,1,0,1,6,16,11,0
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-342,2001,1.4,4,2,2,2,0,2,6,33.3,4,2,1,1,1,5,6,0
Arthur Alexis,BEL,MF,Sint-Truiden,18-297,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Thierry Ambrose,GLP,FW,Kortrijk,27-219,1997,8.8,8,3,1,5,2,1,6,16.7,5,4,0,4,1,9,10,0
Francis Amuzu,BEL,FW,Anderlecht,25-071,1999,3.6,4,3,2,1,1,3,5,60.0,2,0,0,0,1,5,2,0
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,27-043,1997,2.2,9,6,7,2,0,7,9,77.8,2,0,0,0,2,11,8,0
Stelios Andreou,CYP,DF,Charleroi,22-101,2002,12.0,25,15,21,3,1,12,17,70.6,5,19,14,5,22,47,46,1
Nilson Angulo,ECU,FW,Anderlecht,21-136,2003,2.6,5,2,0,3,2,0,4,0.0,4,2,0,2,1,6,2,0
Tiago Araújo,POR,"DF,FW",Gent,23-220,2001,1.3,3,2,1,1,1,1,3,33.3,2,2,1,1,0,3,5,0
Kristian Arnstad,NOR,DF,Anderlecht,21-056,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Tolu Arokodare,NGA,FW,Genk,23-345,2000,10.8,13,7,2,6,5,4,9,44.4,5,2,0,2,2,15,15,0
Raymond Asante,GHA,FW,Charleroi,20-159,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Majeed Ashimeru,GHA,MF,Anderlecht,27-023,1997,3.3,8,6,5,2,1,2,5,40.0,3,0,0,0,4,12,3,0
