Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Ali Abdi,TUN,DF,Nice,30-302,1993,0.2,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0
Taha Abdi Ali,SWE,FW,Malmö,26-108,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jalal Abdulai,GHA,FW,Elfsborg,19-286,2005,0.7,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Saud Abdulhamid,KSA,DF,Roma,25-091,1999,0.9,4,0,1,0,3,3,3,100.0,0,0,0,0,1,5,2,0
Mohammad Abu Fani,ISR,MF,Ferencváros,26-173,1998,1.7,4,2,2,2,0,3,10,30.0,7,4,2,2,1,5,3,0
Emmanuel Addai,GHA,"MF,FW",Qarabağ,23-077,2001,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Jayden Addai,NED,FW,AZ Alkmaar,19-052,2005,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-169,2003,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-024,2003,1.8,2,1,1,0,1,1,2,50.0,1,0,0,0,0,2,1,0
Julen Agirrezabala,ESP,GK,Athletic Club,23-296,2000,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,28-201,1996,0.5,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0
Yunus Akgün,TUR,FW,Galatasaray,24-102,2000,2.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,29-181,1995,1.8,11,7,6,3,2,9,12,75.0,3,3,2,1,0,11,9,0
Chuba Akpom,ENG,FW,Ajax,29-008,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Baba Alhassan,GHA,FW,FCSB,24-288,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Mohamed Ali Cho,FRA,MF,Nice,20-272,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dinis Almeida,POR,DF,Ludogorets,29-111,1995,1.9,2,1,1,1,0,2,4,50.0,2,1,1,0,3,5,10,0
Barış Alper Yılmaz,TUR,FW,Galatasaray,24-147,2000,2.0,4,3,1,1,2,1,2,50.0,1,2,0,2,1,5,3,0
Aurele Amenda,SUI,DF,Eint Frankfurt,21-078,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sofyan Amrabat,MAR,MF,Fenerbahçe,28-057,1996,2.0,2,2,1,1,0,2,4,50.0,2,2,0,2,2,4,3,0
Francis Amuzu,BEL,FW,Anderlecht,25-055,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joel Andersson,SWE,DF,Midtjylland,27-341,1996,1.8,7,5,6,1,0,5,8,62.5,3,0,0,0,0,7,6,1
Leandro Andrade,CPV,"FW,MF",Qarabağ,25-023,1999,1.0,1,0,0,0,1,0,0,,0,3,0,3,0,1,2,0
Patrick Andrade,CPV,MF,Qarabağ,31-251,1993,2.0,9,7,3,6,0,2,2,100.0,0,4,3,1,3,12,3,1
Fredrik André Bjørkan,NOR,DF,Bodø/Glimt,26-057,1998,2.0,4,3,3,1,0,2,5,40.0,3,3,1,2,4,8,4,0
Valdemar Andreasen,DEN,MF,Midtjylland,19-266,2005,0.3,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,4,0
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,30-114,1994,0.2,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Angeliño,ESP,DF,Roma,27-287,1997,2.0,2,1,1,0,1,1,1,100.0,0,4,1,3,3,5,5,0
Nilson Angulo,ECU,FW,Anderlecht,21-120,2003,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
