Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Rodrigo Abascal,URU,DF,Boavista,30-298,1994,8.0,11,4,8,2,1,5,10,50.0,5,9,6,3,12,23,43,1
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-291,2003,0.1,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
Giorgi Aburjania,GEO,MF,AVS Futebol,29-310,1995,3.2,10,6,3,6,1,6,11,54.5,5,2,0,2,3,13,4,0
Adriano,BRA,MF,Santa Clara,25-003,1999,8.0,9,7,4,4,1,3,10,30.0,7,4,0,4,2,11,10,0
Lucas Áfrico,BRA,DF,Farense,29-276,1995,7.8,9,7,4,4,1,5,8,62.5,3,12,9,3,6,15,35,0
Salvador Agra,POR,"MF,DF",Boavista,32-362,1991,10.0,7,5,1,2,4,3,9,33.3,6,4,1,3,4,11,4,0
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-132,2003,2.3,10,6,4,3,3,4,4,100.0,0,1,0,1,1,11,0,0
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-307,2000,4.3,1,0,0,1,0,1,4,25.0,3,2,0,2,0,1,3,0
Babatunde Akinsola,NGA,"FW,MF",AVS Futebol,21-242,2003,2.7,3,3,2,1,0,2,3,66.7,1,3,0,3,2,5,2,0
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-017,1998,3.8,3,3,1,1,1,1,3,33.3,2,2,0,2,1,4,1,0
Léo Alaba,BRA,DF,AVS Futebol,25-129,1999,3.7,6,5,3,2,1,3,9,33.3,6,5,1,4,7,13,10,0
Alan,BRA,MF,Moreirense,24-244,2000,7.6,7,2,1,4,2,3,9,33.3,6,5,1,4,2,9,1,0
Gonçalo Almeida,POR,"DF,MF",Boavista,21-185,2003,2.2,6,4,2,3,1,4,10,40.0,6,3,0,3,6,12,5,0
Pedro Álvaro,POR,DF,Estoril,24-250,2000,10.0,7,3,3,4,0,2,4,50.0,2,13,8,5,13,20,57,0
Pedro Amaral,POR,DF,Estoril,27-074,1997,9.1,11,5,6,3,2,8,16,50.0,8,6,2,4,7,18,23,0
Zeki Amdouni,SUI,"MF,FW",Benfica,23-339,2000,1.2,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0
Artur Jorge Marques Amorim,POR,DF,Farense,30-085,1994,6.5,7,5,7,0,0,5,6,83.3,1,6,4,2,8,15,42,1
Andrew,BRA,GK,Gil Vicente FC,23-129,2001,10.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,2
Jeremy Antonisse,CUW,"FW,MF",Moreirense,22-223,2002,3.2,6,2,1,5,0,4,7,57.1,3,4,0,4,1,7,8,0
Arvin Appiah,ENG,"FW,MF",Nacional,23-307,2001,4.6,6,5,2,3,1,4,6,66.7,2,2,0,2,5,11,3,0
Óscar Aranda,ESP,FW,Famalicão,22-192,2002,8.9,5,4,1,3,1,3,5,60.0,2,4,0,4,1,6,5,0
Henrique Araújo,POR,FW,Arouca,22-293,2002,3.9,1,0,0,1,0,0,1,0.0,1,2,1,1,0,1,0,0
Maximiliano Araújo,URU,"MF,DF",Sporting CP,24-266,2000,3.1,6,2,1,1,4,1,3,33.3,2,2,0,2,2,8,2,0
Tomás Araújo,POR,DF,Benfica,22-175,2002,6.9,17,11,13,3,1,9,13,69.2,4,5,1,4,8,25,11,0
Telmo Arcanjo,CPV,FW,Vitória,23-139,2001,2.0,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,0,0
Bright Arrey-Mbi,GER,DF,Braga,21-226,2003,4.6,6,3,2,2,2,3,5,60.0,2,8,5,3,4,10,11,0
Gustavo Assuncao,POR,MF,AVS Futebol,24-222,2000,5.2,14,10,9,5,0,9,19,47.4,10,3,2,1,3,17,6,0
Otavio Ataide,BRA,DF,Porto,22-200,2002,5.0,5,2,3,2,0,4,7,57.1,3,2,2,0,5,10,8,1
João Aurélio,POR,DF,Nacional,36-082,1988,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Fredrik Aursnes,NOR,"MF,FW",Benfica,28-333,1995,6.0,11,7,1,6,4,5,13,38.5,8,6,1,5,1,12,4,0
Miguel Baeza,ESP,"MF,FW",Nacional,24-225,2000,2.3,2,2,1,1,0,1,2,50.0,1,1,0,1,0,2,1,0
Alexander Bah,DEN,DF,Benfica,26-334,1997,6.4,26,18,9,11,6,20,29,69.0,9,11,1,10,5,31,4,0
Elves Baldé,GNB,"MF,FW",Farense,25-036,1999,3.0,5,3,2,3,0,1,4,25.0,3,0,0,0,0,5,4,0
Robson Bambu,BRA,DF,Braga,26-361,1997,2.0,5,1,2,3,0,2,2,100.0,0,5,4,1,1,6,3,1
Simon Banza,COD,FW,Braga,28-086,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rafael Barbosa,POR,"MF,FW",Farense,28-223,1996,3.7,1,1,0,1,0,0,2,0.0,2,4,0,4,2,3,0,0
Leandro Barreiro Martins,LUX,MF,Benfica,24-309,2000,3.7,15,6,2,9,4,5,10,50.0,5,5,0,5,3,18,0,0
Gil Bastião Dias,POR,FW,Famalicão,28-040,1996,4.5,11,7,3,6,2,5,12,41.7,7,4,0,4,2,13,8,0
Gabriel Batista,BRA,GK,Santa Clara,26-157,1998,10.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,5,0
Ricardo Batista,POR,GK,Casa Pia,37-354,1986,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Yanis Begraoui,MAR,FW,Estoril,23-126,2001,6.3,3,1,0,3,0,0,2,0.0,2,4,1,3,3,6,5,0
Gui Beleza,POR,MF,Gil Vicente FC,17-334,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bachir Belloumi,ALG,FW,Farense,22-159,2002,3.0,8,5,3,4,1,4,7,57.1,3,8,2,6,3,11,2,0
Fahem Benaissa Yahia,FRA,DF,Casa Pia,22-192,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Beni,ANG,MF,Casa Pia,22-170,2002,4.2,8,6,3,5,0,3,5,60.0,2,2,0,2,5,13,6,0
Álex Bermejo,ESP,"MF,FW",Farense,25-332,1998,4.1,3,2,0,2,1,2,9,22.2,7,1,0,1,1,4,4,0
Simão Bertelli,BRA,GK,AVS Futebol,31-158,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Jan-Niklas Beste,GER,"FW,DF",Benfica,25-308,1999,2.6,5,5,1,1,3,2,4,50.0,2,2,0,2,2,7,2,0
José Bica,POR,"MF,FW",Vitória,21-144,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Raúl Blanco,ESP,FW,Casa Pia,23-099,2001,2.8,3,2,0,1,2,2,5,40.0,3,2,1,1,2,5,1,0
Kévin Boma,TOG,DF,Estoril,21-353,2002,6.0,9,7,8,1,0,5,9,55.6,4,7,5,2,8,17,28,1
Kiko Bondoso,POR,"FW,MF",Rio Ave,28-356,1995,6.2,9,6,5,1,3,2,5,40.0,3,3,0,3,4,13,0,0
Toni Borevkovic,CRO,DF,Vitória,27-142,1997,9.0,12,6,9,3,0,6,7,85.7,1,9,7,2,12,24,38,0
Gonçalo Borges,POR,FW,Porto,23-223,2001,1.5,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,0,0
Róbert Boženík,SVK,FW,Boavista,24-355,1999,9.9,3,2,0,1,2,1,2,50.0,1,5,0,5,2,5,12,0
Daniel Bragança,POR,MF,Sporting CP,25-164,1999,7.1,14,7,4,6,4,9,15,60.0,6,8,0,8,3,17,6,0
Bruno Brigido,BRA,GK,Estrela,33-243,1991,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1
Rafael Brito,POR,MF,Casa Pia,22-293,2002,2.8,7,4,5,1,1,4,4,100.0,0,5,3,2,3,10,7,0
Bruma,POR,"FW,MF",Braga,30-014,1994,4.8,2,2,0,1,1,1,4,25.0,3,3,0,3,1,3,1,0
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,31-041,1993,10.0,14,8,9,5,0,9,12,75.0,3,15,11,4,11,25,42,1
Leonel Bucca,ARG,"MF,FW",Estrela,25-232,1999,5.4,15,7,5,9,1,9,14,64.3,5,9,4,5,7,22,8,0
Adrián Butzke,ESP,FW,Nacional,25-222,1999,4.5,4,2,0,4,0,2,4,50.0,2,2,0,2,3,7,5,0
Arthur Cabral,BRA,FW,Benfica,26-196,1998,1.0,2,1,0,1,1,0,0,,0,2,0,2,0,2,1,0
Jovane Cabral,CPV,"FW,MF",Estrela,26-146,1998,3.5,8,6,3,3,2,3,8,37.5,5,4,1,3,3,11,1,0
