Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Julen Agirrezabala,ESP,GK,Athletic Club,23-296,2000,2,2,180,2.0,1,0.50,5,4,80.0,1,1,0,1,50.0,0,0,0,0,
Oliver Baumann,GER,GK,Hoffenheim,34-137,1990,2,2,180,2.0,1,0.50,8,7,87.5,1,1,0,1,50.0,0,0,0,0,
Hendrik Bonmann,GER,GK,Ludogorets,30-269,1994,1,1,90,1.0,0,0.00,5,5,100.0,0,1,0,1,100.0,0,0,0,0,
Fabijan Buntić,CRO,GK,Qarabağ,27-236,1997,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
Heorhiy Bushchan,UKR,GK,Dynamo Kyiv,30-139,1994,2,2,180,2.0,5,2.50,12,7,58.3,0,0,2,0,0.0,0,0,0,0,
Jack Butland,ENG,GK,Rangers,31-221,1993,2,2,180,2.0,4,2.00,7,3,42.9,1,0,1,1,50.0,0,0,0,0,
Marcin Bułka,POL,GK,Nice,25-013,1999,2,2,180,2.0,5,2.50,7,2,42.9,0,1,1,0,0.0,1,1,0,0,0.0
Colin Coosemans,BEL,GK,Anderlecht,32-075,1992,2,2,180,2.0,2,1.00,7,5,71.4,2,0,0,0,0.0,0,0,0,0,
Diogo Costa,POR,GK,Porto,25-028,1999,2,2,180,2.0,6,3.00,15,9,60.0,0,1,1,0,0.0,0,0,0,0,
Johan Dahlin,SWE,GK,Malmö,38-039,1986,2,2,135,1.5,3,2.00,6,3,50.0,1,0,1,0,0.0,0,0,0,0,
Ersin Destanoğlu,TUR,GK,Beşiktaş,23-290,2001,1,1,90,1.0,3,3.00,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
Dénes Dibusz,HUN,GK,Ferencváros,33-336,1990,2,2,180,2.0,4,2.00,13,9,76.9,0,0,2,0,0.0,1,1,0,0,0.0
Mert Günok,TUR,GK,Beşiktaş,35-230,1989,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,
Günay Güvenç,,GK,Galatasaray,33-114,1991,2,2,180,2.0,3,1.50,9,6,66.7,1,1,0,0,0.0,0,0,0,0,
Nikita Haikin,RUS,GK,Bodø/Glimt,29-098,1995,2,2,180,2.0,2,1.00,11,9,81.8,1,1,0,1,50.0,0,0,0,0,
Martin Jedlička,CZE,GK,Viktoria Plzeň,26-267,1998,2,2,180,2.0,3,1.50,8,4,62.5,0,2,0,1,50.0,1,0,1,0,100.0
Antonín Kinský,CZE,GK,Slavia Prague,21-218,2003,2,2,180,2.0,1,0.50,3,2,100.0,1,1,0,1,50.0,1,1,0,0,0.0
Mateusz Kochalski,POL,GK,Qarabağ,24-084,2000,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
Dominik Kotarski,CRO,GK,PAOK,24-250,2000,2,2,180,2.0,4,2.00,11,8,63.6,0,0,2,0,0.0,0,0,0,0,
Dominik Livaković,CRO,GK,Fenerbahçe,29-282,1995,2,2,180,2.0,2,1.00,15,12,86.7,1,1,0,0,0.0,1,0,1,0,100.0
Christos Mandas,GRE,GK,Lazio,23-030,2001,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
Roei Mashpati,ISR,GK,Maccabi Tel Aviv,31-329,1992,2,2,180,2.0,4,2.00,16,12,81.3,0,0,2,0,0.0,1,1,0,0,0.0
Matheus,BRA,GK,Braga,32-090,1992,2,2,180,2.0,4,2.00,8,4,62.5,1,0,1,0,0.0,1,1,0,0,0.0
Anthony Moris,LUX,GK,Union SG,34-171,1990,2,2,180,2.0,2,1.00,4,3,50.0,0,1,1,1,50.0,0,0,0,0,
André Onana,CMR,GK,Manchester Utd,28-198,1996,2,2,180,2.0,4,2.00,10,6,60.0,0,2,0,0,0.0,0,0,0,0,
Fabrice Ondoa,CMR,GK,FK Rīgas FS,28-298,1995,2,2,180,2.0,6,3.00,15,9,60.0,0,1,1,0,0.0,0,0,0,0,
Rome-Jayden Owusu-Oduro,NED,GK,AZ Alkmaar,20-107,2004,2,2,180,2.0,4,2.00,9,5,55.6,1,0,1,0,0.0,0,0,0,0,
Sergio Padt,NED,GK,Ludogorets,34-133,1990,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
Remko Pasveer,NED,GK,Ajax,40-344,1983,2,2,180,2.0,1,0.50,8,7,87.5,1,1,0,1,50.0,0,0,0,0,
Lucas Perri,BRA,GK,Lyon,26-312,1997,2,2,180,2.0,1,0.50,7,6,85.7,2,0,0,1,50.0,0,0,0,0,
Isak Pettersson,SWE,GK,Elfsborg,27-133,1997,2,2,180,2.0,3,1.50,13,10,84.6,1,0,1,1,50.0,1,1,0,0,0.0
Ivan Provedel,ITA,GK,Lazio,30-214,1994,1,1,90,1.0,0,0.00,6,6,100.0,1,0,0,1,100.0,0,0,0,0,
Elías Rafn Ólafsson,ISL,GK,Midtjylland,24-220,2000,2,2,180,2.0,1,0.50,6,5,83.3,1,1,0,1,50.0,0,0,0,0,
Álex Remiro,ESP,GK,Real Sociedad,29-207,1995,2,2,180,2.0,3,1.50,8,4,62.5,0,1,1,0,0.0,1,0,1,0,100.0
Ricardo,BRA,GK,Malmö,31-242,1993,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
Kauã Santos,BRA,GK,Eint Frankfurt,21-189,2003,2,2,180,2.0,4,2.00,17,12,76.5,1,1,0,0,0.0,1,0,1,0,100.0
Mile Svilar,SRB,GK,Roma,25-051,1999,2,2,180,2.0,2,1.00,6,4,83.3,0,1,1,0,0.0,1,1,0,0,0.0
Stefan Târnovanu,ROU,GK,FCSB,24-161,2000,2,2,180,2.0,1,0.50,11,10,90.9,2,0,0,1,50.0,0,0,0,0,
Kostas Tzolakis,GRE,GK,Olympiacos,21-344,2002,2,2,180,2.0,2,1.00,12,10,83.3,1,0,1,1,50.0,0,0,0,0,
Lars Unnerstall,GER,GK,Twente,34-089,1990,2,2,180,2.0,2,1.00,7,5,71.4,0,2,0,0,0.0,0,0,0,0,
Guglielmo Vicario,ITA,GK,Tottenham,28-010,1996,2,2,180,2.0,1,0.50,10,9,90.0,2,0,0,1,50.0,1,0,0,1,
