Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Andrew,BRA,GK,Gil Vicente FC,23-124,2001,9,9,810,9.0,14,1.56,30,16,63.3,2,4,3,3,33.3,4,3,0,1,0.0
Gabriel Batista,BRA,GK,Santa Clara,26-152,1998,9,9,810,9.0,10,1.11,30,20,70.0,6,0,3,3,33.3,1,1,0,0,0.0
Ricardo Batista,POR,GK,Casa Pia,37-349,1986,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0
Simão Bertelli,BRA,GK,AVS Futebol,31-153,1993,4,4,360,4.0,7,1.75,18,11,66.7,1,1,2,1,25.0,1,1,0,0,0.0
Bruno Brigido,BRA,GK,Estrela,33-238,1991,9,9,810,9.0,15,1.67,41,26,65.9,1,3,5,0,0.0,1,1,0,0,0.0
César,BRA,GK,Boavista,32-280,1992,3,3,270,3.0,5,1.67,16,11,68.8,0,1,2,0,0.0,0,0,0,0,
Diogo Costa,POR,GK,Porto,25-044,1999,9,9,810,9.0,4,0.44,16,12,81.3,8,0,1,6,66.7,1,1,0,0,0.0
Daniel Figueira,POR,GK,Estoril,26-105,1998,1,1,90,1.0,4,4.00,7,3,57.1,0,0,1,0,0.0,1,1,0,0,0.0
Lucas França,BRA,GK,Nacional,28-288,1996,8,8,720,8.0,13,1.62,34,21,64.7,1,2,5,2,25.0,1,1,0,0,0.0
João Gonçalves,POR,GK,Boavista,23-363,2000,4,4,360,4.0,2,0.50,8,6,75.0,1,1,2,2,50.0,0,0,0,0,
Lukáš Horníček,CZE,GK,Braga,22-112,2002,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Franco Israel,URU,GK,Sporting CP,24-194,2000,5,5,450,5.0,0,0.00,7,7,100.0,5,0,0,5,100.0,0,0,0,0,
Jhonatan,BRA,GK,Rio Ave,33-178,1991,8,8,720,8.0,13,1.62,43,30,69.8,2,2,4,2,25.0,0,0,0,0,
Luiz Lúcio Reis Júnior,BRA,GK,Famalicão,23-293,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Kewin,BRA,GK,Moreirense,29-008,1995,9,9,810,9.0,11,1.22,31,20,67.7,4,2,3,3,33.3,1,1,0,0,0.0
Vladen Kovačević,BIH,GK,Sporting CP,26-205,1998,4,4,360,4.0,2,0.50,9,7,77.8,4,0,0,2,50.0,0,0,0,0,
Nico Mantl,GER,GK,Arouca,24-270,2000,9,9,810,9.0,17,1.89,42,25,69.0,2,1,6,2,22.2,4,4,0,0,0.0
Matheus,BRA,GK,Braga,32-106,1992,8,8,720,8.0,6,0.75,26,20,80.8,4,2,2,4,50.0,1,1,0,0,0.0
Cezary Miszta,POL,GK,Rio Ave,23-003,2001,1,1,90,1.0,5,5.00,13,8,61.5,0,0,1,0,0.0,0,0,0,0,
Guillermo Ochoa,MEX,GK,AVS Futebol,39-112,1985,5,5,450,5.0,9,1.80,24,15,62.5,1,2,2,2,40.0,0,0,0,0,
Joel Robles,ESP,GK,Estoril,34-138,1990,8,8,720,8.0,8,1.00,37,28,78.4,2,3,3,3,37.5,1,0,1,0,100.0
Patrick Sequeira,CRC,GK,Casa Pia,25-246,1999,8,8,720,8.0,10,1.25,36,27,75.0,3,2,3,2,25.0,1,1,0,0,0.0
Tomé,POR,GK,Boavista,17-322,2006,2,2,180,2.0,5,2.50,10,5,50.0,0,1,1,0,0.0,0,0,0,0,
Anatolii Trubin,UKR,GK,Benfica,23-093,2001,8,8,720,8.0,5,0.62,17,12,70.6,6,1,1,4,50.0,0,0,0,0,
Bruno Varela,CPV,GK,Vitória,29-364,1994,9,9,810,9.0,10,1.11,22,12,72.7,4,3,2,3,33.3,4,4,0,0,0.0
Ricardo Velho,POR,GK,Farense,26-074,1998,9,9,810,9.0,15,1.67,47,33,72.3,1,1,7,2,22.2,3,2,0,1,0.0
Ivan Zlobin,RUS,GK,Famalicão,27-240,1997,8,8,720,8.0,7,0.87,35,28,80.0,2,4,2,4,50.0,0,0,0,0,
