Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-312,2000,8,8,666,7.4,5,0.68,16,11,75.0,5,2,1,3,37.5,1,1,0,0,0.0
Alisson,BRA,GK,Liverpool,Premier League,32-031,1992,6,6,528,5.9,2,0.34,17,15,88.2,5,0,1,3,50.0,0,0,0,0,
Alphonse Areola,FRA,GK,West Ham,Premier League,31-249,1993,8,8,675,7.5,14,1.87,32,19,56.3,2,2,4,1,12.5,0,0,0,0,
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,30-030,1994,5,5,450,5.0,7,1.40,26,19,73.1,3,0,2,1,20.0,0,0,0,0,
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22-161,2002,6,6,540,6.0,8,1.33,23,15,65.2,4,0,2,2,33.3,0,0,0,0,
Emil Audero,ITA,GK,Como,Serie A,27-289,1997,7,7,630,7.0,16,2.29,30,14,60.0,2,2,3,0,0.0,4,4,0,0,0.0
Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28-186,1996,7,7,630,7.0,5,0.71,28,23,82.1,3,3,1,2,28.6,0,0,0,0,
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34-153,1990,8,8,720,8.0,17,2.12,45,26,64.4,2,2,4,1,12.5,3,1,2,0,66.7
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26-149,1998,3,3,270,3.0,8,2.67,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0
Marco Bizot,NED,GK,Brest,Ligue 1,33-237,1991,9,9,810,9.0,15,1.67,35,21,65.7,4,1,4,3,33.3,4,3,0,1,0.0
Marcin Bułka,POL,GK,Nice,Ligue 1,25-029,1999,9,9,810,9.0,9,1.00,49,41,83.7,3,4,2,2,22.2,1,1,0,0,0.0
Elia Caprile,ITA,GK,Napoli,Serie A,23-069,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,
Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27-219,1997,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0,
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,24-124,2000,9,9,810,9.0,14,1.56,34,22,58.8,5,1,3,2,22.2,0,0,0,0,
Lucas Chevalier,FRA,GK,Lille,Ligue 1,22-362,2001,9,9,810,9.0,8,0.89,37,29,81.1,5,2,2,5,55.6,1,1,0,0,0.0
Leandro Chichizola,ARG,GK,Parma,Serie A,34-220,1990,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Jasper Cillessen,NED,GK,Las Palmas,La Liga,35-194,1989,9,9,810,9.0,15,1.67,46,31,73.9,2,3,4,1,11.1,5,3,1,1,25.0
Diego Conde,ESP,GK,Villarreal,La Liga,26-005,1998,11,11,990,11.0,19,1.73,50,32,66.0,6,3,2,0,0.0,3,2,0,1,0.0
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,32-175,1992,9,9,810,9.0,7,0.78,24,18,70.8,6,3,0,3,33.3,0,0,0,0,
Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30-209,1994,9,9,810,9.0,20,2.22,52,31,63.5,2,0,7,1,11.1,2,1,1,0,50.0
Michele Di Gregorio,ITA,GK,Juventus,Serie A,27-098,1997,8,8,720,8.0,7,0.87,20,13,80.0,3,5,0,5,62.5,3,3,0,0,0.0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,24-352,1999,9,9,810,9.0,14,1.56,49,34,73.5,4,2,3,0,0.0,2,1,1,0,50.0
Marko Dmitrović,SRB,GK,Leganés,La Liga,32-283,1992,5,5,450,5.0,5,1.00,24,19,83.3,1,3,1,2,40.0,1,1,0,0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25-251,1999,7,7,630,7.0,6,0.86,23,17,78.3,6,1,0,2,28.6,1,1,0,0,0.0
Patrick Drewes,GER,GK,Bochum,Bundesliga,31-272,1993,8,8,720,8.0,22,2.75,50,27,58.0,0,1,7,0,0.0,2,1,1,0,50.0
Ederson,BRA,GK,Manchester City,Premier League,31-077,1993,9,9,810,9.0,9,1.00,26,18,69.2,7,2,0,2,22.2,1,1,0,0,0.0
Łukasz Fabiański,POL,GK,West Ham,Premier League,39-198,1985,2,1,135,1.5,2,1.33,8,6,75.0,1,0,0,0,0.0,0,0,0,0,
Wladimiro Falcone,ITA,GK,Lecce,Serie A,29-204,1995,10,10,900,10.0,19,1.90,51,32,66.7,2,2,6,3,30.0,2,2,0,0,0.0
Álvaro Fernández,ESP,GK,Sevilla,La Liga,26-203,1998,1,0,27,0.3,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Mark Flekken,NED,GK,Brentford,Premier League,31-142,1993,9,9,810,9.0,18,2.00,61,44,70.5,4,1,4,0,0.0,0,0,0,0,
Yahia Fofana,CIV,GK,Angers,Ligue 1,24-073,2000,9,9,810,9.0,16,1.78,52,36,71.2,1,4,4,0,0.0,1,1,0,0,0.0
Joan García,ESP,GK,Espanyol,La Liga,23-182,2001,11,11,990,11.0,19,1.73,65,45,72.3,3,1,7,1,9.1,2,1,1,0,50.0
Paulo Gazzaniga,ARG,GK,Girona,La Liga,32-305,1992,11,11,990,11.0,14,1.27,39,23,64.1,3,3,5,3,27.3,2,0,2,0,100.0
David de Gea,ESP,GK,Fiorentina,Serie A,33-361,1990,7,7,630,7.0,6,0.86,33,25,81.8,5,1,1,3,42.9,2,0,2,0,100.0
Pierluigi Gollini,ITA,GK,Genoa,Serie A,29-229,1995,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0
Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,25-299,1999,8,8,720,8.0,16,2.00,47,31,68.1,2,2,4,2,25.0,2,1,1,0,50.0
Dominik Greif,SVK,GK,Mallorca,La Liga,27-210,1997,8,8,720,8.0,7,0.87,28,21,75.0,3,2,3,3,37.5,0,0,0,0,
Vicente Guaita,ESP,GK,Celta Vigo,La Liga,37-297,1987,7,7,630,7.0,11,1.57,25,14,56.0,2,1,4,1,14.3,0,0,0,0,
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,34-180,1990,8,8,675,7.5,3,0.40,29,25,89.7,6,2,0,6,75.0,1,0,1,0,100.0
Dean Henderson,ENG,GK,Crystal Palace,Premier League,27-235,1997,9,9,810,9.0,11,1.22,40,29,72.5,1,3,5,2,22.2,0,0,0,0,
Mads Hermansen,DEN,GK,Leicester City,Premier League,24-114,2000,9,9,810,9.0,17,1.89,56,40,71.4,2,3,4,1,11.1,1,1,0,0,0.0
Sergio Herrera,ESP,GK,Osasuna,La Liga,31-150,1993,11,11,990,11.0,16,1.45,53,38,69.8,5,3,3,3,27.3,0,0,0,0,
Dinko Horkaš,CRO,GK,Las Palmas,La Liga,25-237,1999,2,2,180,2.0,4,2.00,8,3,50.0,0,0,2,0,0.0,1,0,1,0,100.0
