Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Sinan Bolat,TUR,GK,Westerlo,36-063,1988,11.0,20,2,0,2,0,19.5,0.30,-0.5,-0.05,59,168,35.1,323,47,41.2,36.0,79,44.3,38.0,165,7,4.2,12,1.09,12.9
Colin Coosemans,BEL,GK,Anderlecht,32-094,1992,13.0,12,0,0,1,0,18.7,0.28,+6.7,+0.52,71,155,45.8,541,51,26.8,30.6,45,22.2,29.4,164,7,4.3,21,1.62,15.9
Jo Coppens,BEL,GK,Sint-Truiden,33-320,1990,3.0,11,1,0,0,0,9.0,0.49,-2.0,-0.68,12,47,25.5,96,9,46.9,38.4,10,20.0,34.0,50,1,2.0,0,0.00,6.7
Ortwin De Wolf,BEL,GK,Mechelen,27-196,1997,13.0,17,4,0,4,1,20.8,0.29,+4.8,+0.37,63,181,34.8,414,66,32.6,33.4,121,38.0,35.3,230,10,4.3,7,0.54,10.2
Théo Defourny,BEL,GK,Charleroi,32-194,1992,1.0,2,0,0,0,0,1.5,0.37,-0.5,-0.52,1,10,10.0,24,3,37.5,34.6,5,20.0,23.8,9,0,0.0,1,1.00,13.7
Maxime Delanghe,BEL,GK,Cercle Brugge,23-166,2001,4.0,4,0,0,0,0,2.9,0.26,-1.1,-0.27,17,82,20.7,76,4,73.7,48.7,26,100.0,67.3,48,1,2.1,9,2.25,15.7
Martin Delavallée,BEL,GK,Charleroi,20-232,2004,1.0,2,0,0,1,0,2.5,0.36,+0.5,+0.51,8,19,42.1,26,5,50.0,40.4,7,85.7,51.0,14,1,7.1,0,0.00,12.0
Julien Devriendt,BEL,GK,Dender,25-346,1998,2.0,6,1,0,1,0,5.0,0.21,-1.0,-0.48,7,22,31.8,48,18,41.7,37.1,7,28.6,33.6,33,2,6.1,5,2.50,16.7
Guillaume Dietsch,FRA,GK,Dender,23-202,2001,0.5,1,0,0,0,0,0.8,0.40,-0.2,-0.37,0,1,0.0,5,2,20.0,28.6,0,,,2,0,0.0,0,0.00,
Matthieu Epolo,BEL,GK,Standard Liège,20-295,2004,13.0,13,0,1,2,1,16.3,0.28,+4.3,+0.33,79,237,33.3,274,33,56.6,41.5,97,84.5,54.4,203,13,6.4,15,1.15,11.4
Patrik Gunnarsson,ISL,GK,Kortrijk,23-356,2000,10.2,16,0,0,1,1,14.9,0.41,-0.1,-0.01,65,176,36.9,243,56,49.8,39.6,77,71.4,52.7,179,11,6.1,7,0.68,12.4
Leo Kokubo,JPN,GK,Sint-Truiden,23-287,2001,10.0,12,1,0,4,0,15.7,0.35,+3.7,+0.37,43,129,33.3,288,38,35.8,33.5,75,34.7,32.2,191,11,5.8,17,1.70,14.8
Mohamed Koné,CIV,GK,Charleroi,22-243,2002,11.0,12,2,0,2,1,11.8,0.23,+0.8,+0.07,65,149,43.6,352,41,34.4,34.1,49,57.1,44.5,109,14,12.8,16,1.45,14.0
Senne Lammens,BEL,GK,Antwerp,22-121,2002,13.0,10,1,0,1,1,15.5,0.22,+6.5,+0.54,70,172,40.7,427,58,33.3,34.1,65,46.2,40.1,161,15,9.3,7,0.58,11.6
Tobe Leysen,BEL,GK,OH Leuven,22-241,2002,13.0,17,0,0,3,1,13.9,0.31,-2.1,-0.16,70,188,37.2,440,70,30.5,33.7,97,55.7,49.1,204,16,7.8,8,0.62,10.6
Davor Matijas,CRO,GK,Beerschot,25-074,1999,7.0,18,3,0,2,0,13.4,0.43,-0.6,-0.09,20,62,32.3,235,32,24.3,30.1,26,19.2,28.4,87,3,3.4,14,2.33,17.4
Simon Mignolet,BEL,GK,Club Brugge,36-244,1988,13.0,14,2,0,0,1,15.8,0.31,+2.8,+0.21,65,135,48.1,461,56,23.4,28.7,85,31.8,31.9,157,9,5.7,7,0.54,12.6
