Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Alisson,BRA,GK,Liverpool,32-034,1992,2.0,1,0,0,0,0,1.0,0.24,0.0,-0.02,10,30,33.3,77,4,32.5,31.2,10,50.0,43.7,20,0,0.0,3,1.50,17.3
David von Ballmoos,SUI,GK,Young Boys,29-311,1994,2.0,4,0,0,1,0,3.8,0.24,-0.2,-0.10,9,26,34.6,53,4,37.7,35.9,14,42.9,45.8,24,0,0.0,1,0.50,18.5
Walter Benítez,ARG,GK,PSV Eindhoven,31-291,1993,2.0,2,0,0,1,0,2.2,0.20,+0.2,+0.11,25,47,53.2,72,5,45.8,35.8,19,73.7,51.0,29,0,0.0,1,0.50,12.8
Marco Bizot,NED,GK,Brest,33-240,1991,3.0,2,0,0,0,1,3.7,0.31,+2.7,+0.89,40,71,56.3,95,12,64.2,45.4,11,90.9,62.6,45,6,13.3,3,1.00,11.7
Janis Blaswich,GER,GK,RB Salzburg,33-187,1991,2.2,8,0,0,0,0,6.6,0.45,-1.4,-0.60,7,19,36.8,65,10,23.1,27.4,13,30.8,27.1,18,0,0.0,2,0.90,16.0
Marco Carnesecchi,ITA,GK,Atalanta,24-127,2000,3.0,0,0,0,0,0,1.0,0.31,+1.0,+0.32,17,53,32.1,73,6,50.7,39.7,21,76.2,55.1,16,1,6.3,3,1.00,12.1
Lucas Chevalier,FRA,GK,Lille,22-365,2001,3.0,3,0,0,0,0,5.6,0.37,+2.6,+0.86,14,45,31.1,88,12,36.4,34.2,18,72.2,50.7,34,1,2.9,2,0.67,12.7
Thibaut Courtois,BEL,GK,Real Madrid,32-178,1992,2.0,3,0,0,1,0,4.6,0.33,+1.6,+0.78,4,11,36.4,62,12,14.5,27.6,5,40.0,45.0,20,2,10.0,0,0.00,9.9
Michele Di Gregorio,ITA,GK,Juventus,27-101,1997,1.6,2,0,0,0,0,1.5,0.22,-0.5,-0.30,5,11,45.5,59,14,16.9,28.1,6,16.7,23.8,25,2,8.0,1,0.61,11.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,25-254,1999,2.0,3,0,1,0,0,2.1,0.27,-0.9,-0.43,6,11,54.5,45,10,15.6,22.2,14,28.6,25.2,19,4,21.1,0,0.00,7.0
Joel Drommel,NED,GK,PSV Eindhoven,27-355,1996,1.0,3,0,0,0,0,3.3,0.56,+0.3,+0.35,7,14,50.0,40,4,32.5,32.5,5,20.0,32.8,11,0,0.0,0,0.00,10.3
Ederson,BRA,GK,Manchester City,31-080,1993,1.0,0,0,0,0,0,0.2,0.07,+0.2,+0.21,4,6,66.7,27,5,18.5,29.2,5,20.0,32.8,7,0,0.0,1,1.00,17.0
Paulo Gazzaniga,ARG,GK,Girona,32-308,1992,3.0,4,0,0,0,3,4.3,0.40,+3.3,+1.09,10,38,26.3,95,7,24.2,31.3,19,78.9,58.5,29,1,3.4,2,0.67,16.2
Omri Glazer,ISR,GK,Red Star,28-239,1996,2.0,6,1,2,0,0,3.6,0.29,-2.4,-1.20,11,18,61.1,49,6,30.6,32.1,14,21.4,26.9,25,1,4.0,0,0.00,7.3
Péter Gulácsi,HUN,GK,RB Leipzig,34-183,1990,3.0,6,0,0,1,0,4.9,0.31,-1.1,-0.36,7,17,41.2,120,20,12.5,23.9,25,8.0,20.6,49,1,2.0,0,0.00,11.0
Lukáš Hrádecký,FIN,GK,Leverkusen,34-347,1989,2.0,0,0,0,0,0,0.8,0.10,+0.8,+0.41,4,13,30.8,67,8,16.4,24.4,11,18.2,29.5,25,0,0.0,6,3.00,16.9
Marko Ilić,SRB,GK,Red Star,26-276,1998,1.0,5,0,0,0,0,4.0,0.50,-1.0,-0.99,7,24,29.2,16,2,68.8,48.6,16,81.3,53.0,15,0,0.0,0,0.00,3.0
Franco Israel,URU,GK,Sporting CP,24-197,2000,3.0,1,0,0,0,0,2.8,0.22,+1.8,+0.60,4,18,22.2,79,16,12.7,25.1,21,38.1,32.3,29,1,3.4,2,0.67,14.0
Caoimhín Kelleher,IRL,GK,Liverpool,25-348,1998,1.0,0,0,0,0,0,1.2,0.23,+1.2,+1.19,4,11,36.4,38,2,23.7,29.0,4,50.0,36.5,12,1,8.3,4,4.00,22.5
