Player,Nation,Pos,Squad,Comp,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-296,2000,5.4,4,1,1,1,0,4.7,0.31,+0.7,+0.14,22,70,31.4,117,19,37.6,33.8,36,72.2,51.6,67,10,14.9,6,1.11,14.3
Alisson,BRA,GK,Liverpool,Premier League,32-015,1992,5.9,2,0,0,0,0,4.5,0.27,+2.5,+0.43,11,40,27.5,203,21,18.2,24.9,13,23.1,24.4,48,2,4.2,10,1.70,16.3
Alphonse Areola,FRA,GK,West Ham,Premier League,31-233,1993,6.5,10,0,0,2,0,8.7,0.35,-1.3,-0.20,39,88,44.3,191,28,30.9,30.2,55,52.7,41.6,92,5,5.4,6,0.92,13.4
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,30-014,1994,4.0,7,0,0,0,0,7.4,0.30,+0.4,+0.11,16,31,51.6,99,17,22.2,29.6,25,36.0,32.8,39,3,7.7,6,1.50,13.1
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22-145,2002,4.0,4,0,0,0,0,4.1,0.38,+0.1,+0.02,26,63,41.3,158,20,37.3,34.6,12,33.3,39.2,47,3,6.4,9,2.25,16.9
Emil Audero,ITA,GK,Como,Serie A,27-273,1997,4.0,9,3,0,1,0,6.8,0.25,-2.2,-0.55,10,39,25.6,134,11,27.6,31.2,6,33.3,32.7,49,4,8.2,4,1.00,12.1
Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28-170,1996,5.0,4,0,0,0,0,3.9,0.24,-0.1,-0.02,28,73,38.4,131,19,45.0,39.7,29,48.3,44.4,72,7,9.7,2,0.40,12.0
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34-137,1990,6.0,16,1,0,3,0,16.8,0.42,+0.8,+0.14,28,84,33.3,175,28,40.0,36.3,33,42.4,38.1,114,5,4.4,6,1.00,13.7
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26-133,1998,3.0,8,1,0,0,0,6.3,0.36,-1.7,-0.56,18,42,42.9,66,14,42.4,36.5,25,56.0,44.8,43,8,18.6,2,0.67,12.8
Marco Bizot,NED,GK,Brest,Ligue 1,33-221,1991,7.0,13,3,0,0,1,9.1,0.23,-2.9,-0.41,54,136,39.7,199,20,47.2,37.9,55,76.4,55.5,107,6,5.6,2,0.29,9.8
Marcin Bułka,POL,GK,Nice,Ligue 1,25-013,1999,7.0,7,1,0,1,1,9.3,0.24,+3.3,+0.47,21,56,37.5,213,37,20.7,27.4,40,30.0,29.3,98,9,9.2,4,0.57,10.4
Elia Caprile,ITA,GK,Napoli,Serie A,23-053,2001,2.6,1,0,0,0,0,1.2,0.31,+0.2,+0.09,6,15,40.0,50,8,24.0,29.9,13,23.1,27.5,20,2,10.0,0,0.00,7.5
