Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Ahmed Abdullahi,NGA,MF,Gent,20-136,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francis Abu,GHA,MF,Cercle Brugge,23-189,2001,7.8,29,3.71,22,4,0,1,0,2,2,0.26,2,0,0,0,0,0
Desmond Acquah,BEL,"MF,FW",Dender,22-102,2002,1.5,4,2.61,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Noah Adedeji,BEL,"FW,MF",Genk,19-136,2005,0.3,2,6.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-345,2003,7.2,15,2.10,11,0,0,1,1,2,1,0.14,1,0,0,0,0,0
Takahiro Akimoto,JPN,DF,OH Leuven,26-276,1998,10.5,6,0.57,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Akman,TUR,"MF,DF",Dender,22-198,2002,0.4,1,2.73,1,0,0,0,0,0,1,2.73,1,0,0,0,0,0
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-118,2004,6.8,20,2.92,14,0,2,4,0,0,1,0.15,0,0,0,1,0,0
Toby Alderweireld,BEL,DF,Antwerp,35-245,1989,12.0,12,1.09,10,1,0,1,0,0,2,0.18,2,0,0,0,0,0
Ryan Alebiosu,ENG,DF,Kortrijk,22-321,2001,4.3,8,1.86,7,1,0,0,0,0,1,0.23,1,0,0,0,0,0
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-342,2001,1.4,4,2.93,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Arthur Alexis,BEL,MF,Sint-Truiden,18-297,2006,0.1,1,7.50,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Thierry Ambrose,GLP,FW,Kortrijk,27-219,1997,8.8,24,2.72,17,0,5,2,0,0,1,0.11,1,0,0,0,0,0
Francis Amuzu,BEL,FW,Anderlecht,25-071,1999,3.6,12,3.29,5,3,2,0,2,0,2,0.55,0,1,0,0,1,0
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,27-043,1997,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stelios Andreou,CYP,DF,Charleroi,22-101,2002,12.0,9,0.75,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nilson Angulo,ECU,FW,Anderlecht,21-136,2003,2.6,6,2.35,5,0,0,0,1,0,1,0.39,1,0,0,0,0,0
Tiago Araújo,POR,"DF,FW",Gent,23-220,2001,1.3,7,5.34,6,0,0,1,0,0,1,0.76,1,0,0,0,0,0
Kristian Arnstad,NOR,DF,Anderlecht,21-056,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tolu Arokodare,NGA,FW,Genk,23-345,2000,10.8,38,3.50,27,0,3,5,3,0,4,0.37,2,0,0,1,1,0
Raymond Asante,GHA,FW,Charleroi,20-159,2004,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
