Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Mohamed Abdelmoneim,EGY,DF,Nice,25-278,1999,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Abdi,TUN,"MF,DF",Nice,30-321,1993,0.5,1,1.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Taha Abdi Ali,SWE,FW,Malmö,26-127,1998,1.0,5,4.89,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jalal Abdulai,GHA,FW,Elfsborg,19-305,2005,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Saud Abdulhamid,KSA,DF,Roma,25-110,1999,0.9,5,5.36,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Mohammad Abu Fani,ISR,MF,Ferencváros,26-192,1998,2.7,10,3.70,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Emmanuel Addai,GHA,"MF,FW",Qarabağ,23-096,2001,0.5,1,1.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jayden Addai,NED,FW,AZ Alkmaar,19-071,2005,0.4,2,5.29,1,0,0,0,1,0,1,2.65,0,0,0,0,1,0
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-188,2003,0.7,2,2.81,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-043,2003,2.6,11,4.27,5,0,2,2,1,1,2,0.78,0,0,0,2,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,23-315,2000,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,28-220,1996,1.5,1,0.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunus Akgün,TUR,"FW,DF",Galatasaray,24-121,2000,2.9,17,5.84,15,0,2,0,0,0,2,0.69,1,0,1,0,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,29-200,1995,1.8,2,1.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chuba Akpom,ENG,FW,Ajax,29-027,1995,0.9,1,1.18,1,0,0,0,0,0,1,1.18,1,0,0,0,0,0
Baba Alhassan,GHA,"MF,FW",FCSB,24-307,2000,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Ali Cho,FRA,"FW,MF",Nice,20-291,2004,0.5,3,5.40,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Dinis Almeida,POR,DF,Ludogorets,29-130,1995,2.9,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,24-166,2000,2.8,12,4.34,7,0,1,2,1,1,0,0.00,0,0,0,0,0,0
Aurele Amenda,SUI,DF,Eint Frankfurt,21-097,2003,1.1,2,1.89,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sofyan Amrabat,MAR,MF,Fenerbahçe,28-076,1996,3.0,3,1.00,2,1,0,0,0,0,1,0.33,1,0,0,0,0,0
Francis Amuzu,BEL,FW,Anderlecht,25-074,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joel Andersson,SWE,DF,Midtjylland,27-360,1996,2.8,5,1.76,3,2,0,0,0,0,1,0.35,1,0,0,0,0,0
Leandro Andrade,CPV,"FW,MF",Qarabağ,25-042,1999,1.8,2,1.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick Andrade,CPV,MF,Qarabağ,31-270,1993,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fredrik André Bjørkan,NOR,DF,Bodø/Glimt,26-076,1998,2.9,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Valdemar Andreasen,DEN,MF,Midtjylland,19-285,2005,0.3,4,14.40,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,30-133,1994,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Angeliño,ESP,DF,Roma,27-306,1997,3.0,14,4.67,11,3,0,0,0,0,1,0.33,1,0,0,0,0,0
Nilson Angulo,ECU,FW,Anderlecht,21-139,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antony,BRA,FW,Manchester Utd,24-255,2000,0.4,1,2.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jon Aramburu,VEN,DF,Real Sociedad,22-105,2002,1.2,1,0.85,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Bright Arrey-Mbi,GER,DF,Braga,21-224,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tyrese Asante,NED,DF,Maccabi Tel Aviv,22-210,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Majeed Ashimeru,GHA,MF,Anderlecht,27-026,1997,0.9,5,5.49,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kristoffer Askildsen,NOR,"MF,FW",Midtjylland,23-301,2001,0.6,1,1.67,1,0,0,0,0,0,1,1.67,1,0,0,0,0,0
Ludwig Augustinsson,SWE,DF,Anderlecht,30-198,1994,1.0,3,3.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sondre Auklend,NOR,MF,Bodø/Glimt,21-148,2003,0.3,1,3.75,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Kaan Ayhan,TUR,DF,Galatasaray,29-361,1994,2.6,8,3.05,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Youri Baas,NED,DF,Ajax,21-233,2003,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
William Baeten,BEL,FW,FCSB,27-272,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michael Baidoo,GHA,FW,Elfsborg,25-175,1999,2.7,5,1.85,5,0,0,0,0,0,2,0.74,2,0,0,0,0,0
Nedim Bajrami,ALB,FW,Rangers,25-251,1999,2.6,17,6.48,12,0,3,2,0,0,0,0.00,0,0,0,0,0,0
Tiemoué Bakayoko,FRA,MF,PAOK,30-080,1994,1.0,2,2.05,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Tommaso Baldanzi,ITA,MF,Roma,21-227,2003,2.2,7,3.15,4,0,0,2,1,0,2,0.90,1,0,0,0,1,0
Daniels Balodis,LVA,DF,FK Rīgas FS,26-148,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leon Balogun,NGA,DF,Rangers,36-130,1988,0.7,1,1.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexandru Băluță,ROU,"FW,MF",FCSB,31-053,1993,1.3,1,0.79,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Melvin Bard,FRA,MF,Nice,23-365,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdülkerim Bardakcı,TUR,DF,Galatasaray,30-059,1994,2.9,4,1.36,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,22-314,2001,1.3,5,3.75,5,0,0,0,0,0,1,0.75,1,0,0,0,0,0
Connor Barron,SCO,MF,Rangers,22-068,2002,2.8,4,1.45,3,0,0,0,0,1,1,0.36,0,0,0,0,0,1
Michy Batshuayi,BEL,"FW,DF",Galatasaray,31-034,1993,0.4,2,5.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Oliver Baumann,GER,GK,Hoffenheim,34-156,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Toral Bayramov,AZE,"FW,DF",Qarabağ,23-256,2001,1.2,4,3.43,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rodrigo Becão,BRA,DF,Fenerbahçe,28-291,1996,2.3,1,0.43,0,0,0,1,0,0,1,0.43,0,0,0,1,0,0
Mads Bech Sørensen,DEN,DF,Midtjylland,25-303,1999,3.0,2,0.67,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Sheraldo Becker,SUR,"MF,FW",Real Sociedad,29-270,1995,0.7,2,2.86,2,0,0,0,0,0,1,1.43,1,0,0,0,0,0
Kristijan Belic,SRB,MF,AZ Alkmaar,23-225,2001,0.9,3,3.42,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Saïd Benrahma,ALG,"FW,MF",Lyon,29-087,1995,1.2,5,4.37,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Rodrigo Bentancur,URU,MF,Tottenham,27-133,1997,1.2,3,2.45,3,0,0,0,0,0,1,0.82,1,0,0,0,0,0
Yassine Benzia,ALG,"MF,FW",Qarabağ,30-058,1994,2.9,14,4.85,7,3,2,1,0,1,0,0.00,0,0,0,0,0,0
