Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Rodrigo Abascal,URU,DF,Boavista,30-277,1994,6.0,8,1.33,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-270,2003,0.1,3,30.00,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Giorgi Aburjania,GEO,MF,AVS Futebol,29-289,1995,2.8,12,4.22,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adriano,BRA,MF,Santa Clara,24-348,1999,6.4,11,1.72,9,0,1,0,0,1,4,0.63,4,0,0,0,0,0
Lucas Áfrico,BRA,DF,Farense,29-255,1995,5.8,6,1.03,3,0,0,3,0,0,0,0.00,0,0,0,0,0,0
Salvador Agra,POR,"MF,DF",Boavista,32-341,1991,8.0,21,2.63,15,6,0,0,0,0,0,0.00,0,0,0,0,0,0
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-111,2003,1.8,5,2.80,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-286,2000,3.2,3,0.94,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Babatunde Akinsola,NGA,"MF,FW",AVS Futebol,21-221,2003,1.5,4,2.67,4,0,0,0,0,0,1,0.67,1,0,0,0,0,0
Kerem Aktürkoğlu,TUR,FW,Benfica,25-362,1998,2.3,9,3.88,6,0,3,0,0,0,3,1.29,2,0,1,0,0,0
Léo Alaba,BRA,DF,AVS Futebol,25-108,1999,3.7,7,1.89,4,3,0,0,0,0,2,0.54,1,1,0,0,0,0
Alan,BRA,MF,Moreirense,24-223,2000,5.8,29,4.99,19,5,2,2,0,1,4,0.69,2,1,1,0,0,0
Gonçalo Almeida,POR,"DF,MF",Boavista,21-164,2003,2.2,5,2.28,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0
Pedro Álvaro,POR,DF,Estoril,24-229,2000,8.0,3,0.37,2,0,0,0,1,0,1,0.12,1,0,0,0,0,0
Pedro Amaral,POR,DF,Estoril,27-053,1997,7.9,16,2.02,13,2,1,0,0,0,0,0.00,0,0,0,0,0,0
Zeki Amdouni,SUI,"MF,FW",Benfica,23-318,2000,0.7,1,1.34,1,0,0,0,0,0,1,1.34,1,0,0,0,0,0
Artur Jorge Marques Amorim,POR,DF,Farense,30-064,1994,5.0,3,0.60,1,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Andrew,BRA,GK,Gil Vicente FC,23-108,2001,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jeremy Antonisse,CUW,"FW,MF",Moreirense,22-202,2002,3.2,10,3.17,6,0,0,1,3,0,0,0.00,0,0,0,0,0,0
Arvin Appiah,ENG,"FW,MF",Nacional,23-286,2001,4.4,10,2.25,4,1,1,2,1,1,0,0.00,0,0,0,0,0,0
Óscar Aranda,ESP,FW,Famalicão,22-171,2002,6.9,16,2.32,10,0,5,0,1,0,1,0.14,1,0,0,0,0,0
Henrique Araújo,POR,FW,Arouca,22-272,2002,3.0,6,2.02,3,0,1,2,0,0,1,0.34,0,0,1,0,0,0
Maximiliano Araújo,URU,"MF,FW",Sporting CP,24-245,2000,1.8,8,4.34,4,4,0,0,0,0,0,0.00,0,0,0,0,0,0
Tomás Araújo,POR,DF,Benfica,22-154,2002,4.9,6,1.22,4,0,0,1,0,1,1,0.20,1,0,0,0,0,0
Telmo Arcanjo,CPV,FW,Vitória,23-118,2001,1.7,7,4.01,4,0,1,1,1,0,1,0.57,0,0,0,0,1,0
Bright Arrey-Mbi,GER,DF,Braga,21-205,2003,4.6,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gustavo Assuncao,POR,MF,AVS Futebol,24-201,2000,3.9,10,2.55,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Otavio Ataide,BRA,DF,Porto,22-179,2002,5.0,5,1.00,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Fredrik Aursnes,NOR,"FW,MF",Benfica,28-312,1995,4.2,15,3.56,12,2,0,1,0,0,2,0.47,2,0,0,0,0,0
Miguel Baeza,ESP,"MF,FW",Nacional,24-204,2000,2.3,4,1.77,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,DEN,DF,Benfica,26-313,1997,5.0,8,1.61,7,1,0,0,0,0,1,0.20,1,0,0,0,0,0
Elves Baldé,GNB,"MF,FW",Farense,25-015,1999,2.0,6,3.03,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Robson Bambu,BRA,DF,Braga,26-340,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Simon Banza,COD,FW,Braga,28-065,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rafael Barbosa,POR,"MF,FW",Farense,28-202,1996,3.4,19,5.61,14,3,0,0,2,0,0,0.00,0,0,0,0,0,0
Leandro Barreiro Martins,LUX,MF,Benfica,24-288,2000,3.7,8,2.14,7,0,0,0,1,0,1,0.27,0,0,0,0,1,0
Gil Bastião Dias,POR,FW,Famalicão,28-019,1996,2.9,10,3.46,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Gabriel Batista,BRA,GK,Santa Clara,26-136,1998,8.0,3,0.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ricardo Batista,POR,GK,Casa Pia,37-333,1986,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yanis Begraoui,MAR,FW,Estoril,23-105,2001,5.9,6,1.02,4,0,1,1,0,0,1,0.17,1,0,0,0,0,0
Gui Beleza,POR,MF,Gil Vicente FC,17-313,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bachir Belloumi,ALG,FW,Farense,22-138,2002,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fahem Benaissa Yahia,FRA,DF,Casa Pia,22-171,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Beni,ANG,MF,Casa Pia,22-149,2002,3.9,2,0.52,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Álex Bermejo,ESP,"MF,FW",Farense,25-311,1998,3.1,14,4.47,6,5,1,2,0,0,0,0.00,0,0,0,0,0,0
Simão Bertelli,BRA,GK,AVS Futebol,31-137,1993,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jan-Niklas Beste,GER,"DF,FW",Benfica,25-287,1999,1.1,5,4.74,1,4,0,0,0,0,1,0.95,0,1,0,0,0,0
Raúl Blanco,ESP,FW,Casa Pia,23-078,2001,2.8,7,2.53,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Kévin Boma,TOG,DF,Estoril,21-332,2002,4.0,4,1.00,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Kiko Bondoso,POR,"MF,FW",Rio Ave,28-335,1995,4.6,11,2.39,8,0,1,2,0,0,0,0.00,0,0,0,0,0,0
Toni Borevkovic,CRO,DF,Vitória,27-121,1997,8.0,3,0.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gonçalo Borges,POR,FW,Porto,23-202,2001,1.4,8,5.63,6,0,0,2,0,0,1,0.70,1,0,0,0,0,0
Róbert Boženík,SVK,FW,Boavista,24-334,1999,7.9,10,1.27,5,0,1,2,2,0,1,0.13,0,0,0,0,1,0
Daniel Bragança,POR,MF,Sporting CP,25-143,1999,5.1,27,5.26,19,0,4,1,2,1,5,0.97,3,0,1,1,0,0
Bruno Brigido,BRA,GK,Estrela,33-222,1991,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rafael Brito,POR,MF,Casa Pia,22-272,2002,1.9,2,1.03,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Bruma,POR,"FW,MF",Braga,29-359,1994,3.0,13,4.37,10,0,3,0,0,0,2,0.67,2,0,0,0,0,0
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,31-020,1993,8.0,3,0.37,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Leonel Bucca,ARG,MF,Estrela,25-211,1999,4.2,6,1.42,4,0,1,1,0,0,1,0.24,0,0,1,0,0,0
Adrián Butzke,ESP,FW,Nacional,25-201,1999,4.0,13,3.22,11,0,0,2,0,0,2,0.50,1,0,0,1,0,0
Arthur Cabral,BRA,FW,Benfica,26-175,1998,0.6,2,3.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jovane Cabral,CPV,"FW,MF",Estrela,26-125,1998,1.7,2,1.21,2,0,0,0,0,0,1,0.60,1,0,0,0,0,0
Lucas Calegari,BRA,DF,Famalicão,22-233,2002,7.5,12,1.59,10,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Calila,POR,MF,Santa Clara,26-007,1998,3.4,4,1.18,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ibrahima Camará,GUI,MF,Boavista,25-266,1999,6.5,9,1.38,8,1,0,0,0,0,1,0.15,1,0,0,0,0,0
André Candeias,POR,"FW,MF",Farense,21-271,2003,0.4,3,7.71,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Zé Carlos,POR,MF,Vitória,22-353,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zé Carlos,POR,DF,Gil Vicente FC,26-078,1998,8.0,17,2.13,14,0,0,0,2,1,1,0.13,1,0,0,0,0,0
Álvaro Carreras,ESP,DF,Benfica,21-208,2003,6.1,23,3.77,20,0,1,1,0,1,6,0.98,5,0,0,1,0,0
João Carvalho,POR,"FW,MF",Estoril,27-222,1997,2.5,10,3.96,8,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Pedro Carvalho,POR,DF,Estoril,21-246,2003,2.2,3,1.39,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vitor Carvalho,BRA,MF,Braga,27-143,1997,7.4,12,1.62,12,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Cassiano,BRA,FW,Casa Pia,35-123,1989,2.0,2,0.98,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Jesús Castillo,PER,MF,Gil Vicente FC,23-128,2001,5.1,10,1.98,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
André Castro,POR,MF,Moreirense,36-198,1988,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cristian Castro,COL,DF,AVS Futebol,23-266,2001,7.9,6,0.76,3,1,0,0,2,0,0,0.00,0,0,0,0,0,0
Geny Catamo,MOZ,"MF,DF",Sporting CP,23-265,2001,5.9,23,3.92,19,2,0,1,1,0,2,0.34,2,0,0,0,0,0
Cauê,BRA,FW,Gil Vicente FC,21-336,2002,4.4,4,0.90,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
César,BRA,GK,Boavista,32-264,1992,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tidjany Chabrol,FRA,FW,Gil Vicente FC,22-094,2002,3.2,9,2.85,5,0,3,0,1,0,2,0.63,1,0,1,0,0,0
Till Cissokho,FRA,DF,Estrela,24-252,2000,4.0,4,1.00,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Clayton,BRA,DF,AVS Futebol,24-196,2000,2.0,2,1.00,2,0,0,0,0,0,1,0.50,1,0,0,0,0,0
Clayton,BRA,FW,Rio Ave,25-280,1999,7.6,10,1.31,2,0,1,4,3,0,2,0.26,0,0,1,0,1,0
Diego Collado,ESP,"MF,FW",Gil Vicente FC,23-282,2001,0.2,1,6.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Fábio Conceição,POR,"DF,MF",Rio Ave,23-172,2001,2.1,9,4.24,7,0,2,0,0,0,1,0.47,1,0,0,0,0,0
Leo Cordeiro,BRA,MF,Estrela,29-020,1995,6.7,17,2.52,14,1,0,2,0,0,1,0.15,1,0,0,0,0,0
Félix Correia,POR,"FW,MF",Gil Vicente FC,23-269,2001,7.9,27,3.41,20,5,2,0,0,0,5,0.63,5,0,0,0,0,0
Alberto costa,POR,DF,Vitória,21-018,2003,1.3,5,3.78,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Bruno Xavier Almeida Costa,POR,"MF,FW",Nacional,27-181,1997,2.1,13,6.22,3,8,0,0,2,0,0,0.00,0,0,0,0,0,0
Diogo Costa,POR,GK,Porto,25-028,1999,8.0,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gonçalo Costa,POR,DF,Estoril,24-242,2000,0.3,2,6.92,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Hélder Costa,ANG,FW,Estoril,30-279,1994,2.3,2,0.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Costa,POR,FW,Santa Clara,24-224,2000,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michel Costa,BRA,MF,Estoril,22-302,2001,6.2,9,1.45,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Sandro Cruz,ANG,DF,Gil Vicente FC,23-158,2001,6.8,6,0.88,4,1,0,0,0,1,1,0.15,1,0,0,0,0,0
Augusto Dabo,POR,DF,Boavista,20-218,2004,1.0,3,2.97,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Amadou Dante,MLI,"DF,MF",Arouca,24-010,2000,3.8,6,1.57,5,0,1,0,0,0,1,0.26,1,0,0,0,0,0
Mathias De Amorim,FRA,MF,Famalicão,19-312,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zeno Debast,BEL,DF,Sporting CP,20-359,2003,4.5,7,1.56,6,0,0,1,0,0,1,0.22,1,0,0,0,0,0
Depú,ANG,FW,Gil Vicente FC,24-283,2000,0.5,2,4.29,1,0,0,1,0,0,1,2.14,1,0,0,0,0,0
