Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21-180,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
James Abankwah,IRL,DF,Udinese,Serie A,20-297,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-217,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-041,1987,6.4,3,0.47,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-357,1999,9.8,29,2.96,24,1,2,1,1,0,1,0.10,0,0,1,0,0,0
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-281,1999,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Abdi,TUN,DF,Nice,Ligue 1,30-324,1993,5.5,19,3.48,12,3,2,2,0,0,2,0.37,1,1,0,0,0,0
Abel,ESP,DF,Osasuna,La Liga,24-079,2000,8.1,12,1.48,9,0,1,0,1,1,2,0.25,0,0,1,0,0,1
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-077,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Oliver Abildgaard,DEN,MF,Como,Serie A,28-151,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-225,2003,8.0,13,1.62,10,0,2,1,0,0,0,0.00,0,0,0,0,0,0
Abner,BRA,DF,Lyon,Ligue 1,24-165,2000,6.2,13,2.11,10,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-264,2000,8.2,12,1.46,6,0,3,2,1,0,3,0.37,2,0,1,0,0,0
Abdel Abqar,MAR,DF,Alavés,La Liga,25-243,1999,9.5,10,1.05,6,0,0,2,1,1,2,0.21,1,0,0,0,1,0
Tammy Abraham,ENG,FW,Roma,Serie A,27-037,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,Serie A,27-037,1997,3.9,12,3.07,7,0,0,4,1,0,3,0.77,1,0,0,1,1,0
Federico Accornero,ITA,MF,Genoa,Serie A,20-277,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,Serie A,36-272,1988,6.3,5,0.80,5,0,0,0,0,0,1,0.16,1,0,0,0,0,0
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-284,2000,8.8,17,1.93,13,0,3,0,1,0,3,0.34,1,0,1,0,1,0
Che Adams,SCO,FW,Torino,Serie A,28-118,1996,7.5,22,2.95,17,0,0,3,2,0,1,0.13,1,0,0,0,0,0
Tyler Adams,USA,MF,Bournemouth,Premier League,25-268,1999,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-155,2001,7.8,19,2.44,14,0,1,2,2,0,3,0.39,2,0,0,1,0,0
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-045,1997,1.9,2,1.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Adeline,FRA,MF,Reims,Ligue 1,20-342,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-295,2002,3.4,13,3.84,8,0,2,2,1,0,3,0.89,3,0,0,0,0,0
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-312,2002,1.6,8,5.11,6,0,1,1,0,0,2,1.28,2,0,0,0,0,0
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-182,2000,2.3,11,4.83,5,0,2,1,3,0,0,0.00,0,0,0,0,0,0
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-102,2000,3.6,20,5.49,13,6,1,0,0,0,3,0.82,1,1,1,0,0,0
Adryelson,BRA,DF,Lyon,Ligue 1,26-230,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
