Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Ahmed Abdullahi,NGA,MF,Gent,20-136,2004,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Francis Abu,GHA,MF,Cercle Brugge,23-189,2001,7.8,0,0,0,7,9,0,7,6,20,0,0,0,62,15,8,65.2
Desmond Acquah,BEL,"MF,FW",Dender,22-102,2002,1.5,0,0,0,1,3,1,2,1,4,0,0,0,15,1,3,25.0
Noah Adedeji,BEL,"FW,MF",Genk,19-136,2005,0.3,0,0,0,1,1,0,0,1,2,0,0,0,3,1,2,33.3
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-345,2003,7.2,0,0,0,7,7,0,7,11,13,0,0,0,44,7,8,46.7
Takahiro Akimoto,JPN,DF,OH Leuven,26-276,1998,10.5,3,0,0,11,10,0,2,11,10,0,0,0,43,17,7,70.8
Ali Akman,TUR,"MF,DF",Dender,22-198,2002,0.4,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,50.0
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-118,2004,6.8,4,0,0,12,11,0,8,9,15,0,0,0,36,4,12,25.0
Toby Alderweireld,BEL,DF,Antwerp,35-245,1989,12.0,2,0,0,4,4,0,1,12,4,0,0,0,41,21,18,53.8
Ryan Alebiosu,ENG,DF,Kortrijk,22-321,2001,4.3,1,0,0,5,0,0,13,6,4,0,0,0,18,0,4,0.0
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-342,2001,1.4,0,0,0,4,2,0,1,1,2,0,0,0,9,4,4,50.0
Arthur Alexis,BEL,MF,Sint-Truiden,18-297,2006,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Thierry Ambrose,GLP,FW,Kortrijk,27-219,1997,8.8,3,0,0,9,6,5,4,1,3,0,0,0,17,30,43,41.1
Francis Amuzu,BEL,FW,Anderlecht,25-071,1999,3.6,1,0,0,3,9,0,26,1,3,0,0,0,8,0,6,0.0
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,27-043,1997,2.2,0,0,0,2,0,1,1,2,6,0,0,0,8,2,1,66.7
Stelios Andreou,CYP,DF,Charleroi,22-101,2002,12.0,3,0,0,7,2,1,0,22,15,0,0,0,59,30,12,71.4
Nilson Angulo,ECU,FW,Anderlecht,21-136,2003,2.6,1,0,0,5,5,2,5,1,2,0,0,0,12,6,5,54.5
Tiago Araújo,POR,"DF,FW",Gent,23-220,2001,1.3,1,0,0,1,0,0,5,0,2,0,0,0,7,1,3,25.0
Kristian Arnstad,NOR,DF,Anderlecht,21-056,2003,0.3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0.0
Tolu Arokodare,NGA,FW,Genk,23-345,2000,10.8,1,0,0,17,11,5,1,2,7,2,0,0,18,44,26,62.9
Raymond Asante,GHA,FW,Charleroi,20-159,2004,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100.0
Majeed Ashimeru,GHA,MF,Anderlecht,27-023,1997,3.3,2,0,0,10,10,1,0,4,6,0,0,0,28,0,0,
Ludwig Augustinsson,SWE,DF,Anderlecht,30-195,1994,3.9,0,0,0,5,1,0,12,4,9,0,0,0,14,9,4,69.2
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,20-258,2004,4.4,0,0,0,4,8,3,6,1,4,0,0,0,9,15,27,35.7
Muhammed Badamosi,GAM,"FW,DF",Standard Liège,25-311,1998,0.7,0,0,0,3,2,1,2,0,0,0,0,0,4,4,7,36.4
Youssouph Badji,SEN,FW,Charleroi,22-318,2001,2.3,0,0,0,2,2,0,0,0,1,0,0,0,7,19,16,54.3
Bilal Bafdili,BEL,"MF,FW",Mechelen,20-091,2004,5.1,2,0,0,7,4,1,9,0,4,0,0,0,21,4,14,22.2
Michel-Ange Balikwisha,BEL,FW,Antwerp,23-176,2001,1.0,0,0,0,1,3,2,1,3,1,0,0,0,8,1,1,50.0
William Balikwisha,COD,"FW,MF",OH Leuven,25-174,1999,6.7,1,0,0,9,6,3,19,6,9,0,0,0,27,1,3,25.0
Sacha Banse,BFA,MF,Standard Liège,23-231,2001,0.4,0,0,0,3,0,0,1,0,1,0,0,0,1,1,5,16.7
Ezechiel Banzuzi,NED,MF,OH Leuven,19-260,2005,9.8,4,0,0,18,10,0,3,7,13,0,0,0,45,26,18,59.1
Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,22-326,2001,1.2,0,0,0,2,0,1,0,0,0,0,0,0,6,4,8,33.3
Jelle Bataille,BEL,DF,Antwerp,25-166,1999,9.3,0,0,0,3,9,0,26,11,18,0,0,0,36,3,9,25.0
David Bates,SCO,DF,Standard Liège,28-028,1996,8.6,0,0,0,5,7,0,0,17,11,0,0,0,30,18,15,54.5
Emin Bayram,TUR,DF,Westerlo,21-214,2003,5.0,2,1,1,6,0,0,2,8,2,0,0,0,25,16,12,57.1
Zineddine Belaid,ALG,DF,Sint-Truiden,25-227,1999,0.8,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Rafik Belghali,ALG,"DF,MF",Mechelen,22-148,2002,3.7,1,0,0,6,5,0,6,2,9,0,0,0,22,1,0,100.0
Soufiane Benjdida,MAR,FW,Standard Liège,23-058,2001,5.9,1,0,0,12,0,7,4,2,1,0,0,0,19,11,28,28.2
Antoine Bernier,BEL,FW,Charleroi,27-053,1997,8.8,2,0,0,8,8,3,35,2,11,1,0,0,33,6,8,42.9
Adriano Bertaccini,BEL,"FW,MF",Sint-Truiden,24-081,2000,8.7,3,0,0,13,6,9,2,0,5,0,0,0,28,8,15,34.8
Mohamed Berte,BEL,FW,Dender,22-222,2002,4.7,0,0,0,2,10,2,0,0,3,0,0,0,17,5,16,23.8
Mickaël Biron,MTQ,"FW,MF",OH Leuven,27-068,1997,0.8,0,0,0,0,1,0,1,0,2,0,0,0,4,0,2,0.0
Sinan Bolat,TUR,GK,Westerlo,36-060,1988,11.0,2,0,0,0,3,0,0,0,0,0,0,0,17,1,0,100.0
Boli Bolingoli-Mbombo,BEL,DF,Standard Liège,29-124,1995,0.5,0,0,0,2,1,0,1,0,0,0,0,0,2,1,1,50.0
Christopher Bonsu Baah,GHA,"FW,MF",Genk,19-324,2004,7.6,1,0,0,13,19,2,25,4,14,0,0,0,40,2,7,22.2
Jordan Bos,AUS,DF,Westerlo,22-004,2002,3.3,1,0,0,3,5,0,14,6,2,0,0,0,24,7,6,53.8
Sofiane Boufal,MAR,MF,Union SG,31-046,1993,1.2,0,0,0,1,4,0,2,1,4,0,0,0,7,0,1,0.0
Amine Boukamir,BEL,MF,Charleroi,18-010,2006,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Rosen Bozhinov,BUL,DF,Antwerp,19-284,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bilal Brahimi,ALG,"MF,FW",Sint-Truiden,24-233,2000,4.9,3,1,1,3,5,0,51,2,1,0,0,0,27,0,4,0.0
Archie Brown,ENG,DF,Gent,22-158,2002,11.0,3,0,0,10,11,1,45,7,12,0,0,0,58,26,14,65.0
Bruninho,BRA,"MF,FW",Cercle Brugge,21-233,2003,3.5,0,0,0,1,7,0,15,1,0,0,0,0,13,0,4,0.0
Paris Brunner,GER,"MF,FW",Cercle Brugge,18-261,2006,0.8,0,0,0,3,1,2,0,0,0,0,0,0,5,1,3,25.0
Massimo Bruno,BEL,MF,Kortrijk,31-046,1993,4.7,0,0,0,3,4,0,16,1,6,0,0,0,17,5,5,50.0
Marko Bulat,CRO,"MF,FW",Standard Liège,23-037,2001,10.6,2,0,0,3,13,4,57,10,14,0,0,0,34,2,0,100.0
Christian Burgess,ENG,DF,Union SG,33-026,1991,5.0,1,0,0,7,1,0,0,3,3,0,0,0,16,12,10,54.5
Welat Cagro,BEL,MF,Beerschot,25-155,1999,5.9,4,0,0,10,8,0,3,5,8,0,0,0,24,2,6,25.0
Alexandro Calut,BEL,"DF,MF",Standard Liège,21-194,2003,1.3,0,0,0,3,1,0,5,2,1,0,0,0,7,1,4,20.0
Etienne Camara,FRA,MF,Charleroi,21-217,2003,9.8,4,0,0,14,6,0,3,6,12,0,0,0,66,25,20,55.6
Ilay Camara,BEL,DF,Standard Liège,21-289,2003,7.7,0,0,0,8,16,1,16,5,10,3,0,0,42,0,10,0.0
Alessio Castro-Montes,BEL,"DF,FW",Union SG,27-169,1997,9.2,2,0,0,7,13,1,70,8,8,0,1,0,43,6,6,50.0
Tjaronn Chery,SUR,"MF,FW",Antwerp,36-151,1988,10.4,0,0,0,3,6,1,59,0,5,0,0,0,21,1,1,50.0
Antoine Colassin,BEL,"FW,MF",Beerschot,23-250,2001,2.9,1,0,0,3,4,0,3,1,6,1,0,0,7,2,7,22.2
Kobe Cools,BEL,DF,Dender,27-100,1997,12.0,2,0,0,12,0,0,1,23,6,0,0,0,20,45,21,68.2
Colin Coosemans,BEL,GK,Anderlecht,32-091,1992,12.0,0,0,0,0,2,0,0,0,1,0,0,0,22,4,0,100.0
Jo Coppens,BEL,GK,Sint-Truiden,33-317,1990,3.0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,
Kobe Corbanie,BEL,"MF,DF",Antwerp,19-176,2005,4.8,1,0,0,3,6,0,3,5,8,0,0,0,14,3,3,50.0
Ayrton Costa,ARG,DF,Antwerp,25-113,1999,10.1,4,0,0,23,11,1,12,23,21,0,1,0,27,23,19,54.8
Carlos Cuesta,COL,DF,Genk,25-238,1999,2.5,0,0,0,2,0,0,0,1,5,0,0,0,6,4,2,66.7
Oday Dabbagh,PLE,FW,Charleroi,25-335,1998,3.3,1,0,0,1,2,3,3,0,2,0,0,0,8,4,8,33.3
Colin Dagba,FRA,"FW,DF",Beerschot,26-054,1998,3.0,1,0,0,2,2,0,1,3,8,0,1,0,20,0,0,
Jón Dagur Þorsteinsson,ISL,"MF,FW",OH Leuven,25-342,1998,1.0,0,0,0,0,1,1,10,1,1,0,0,0,6,1,1,50.0
Jesper Daland,NOR,DF,Cercle Brugge,24-301,2000,2.0,0,0,0,2,0,0,0,2,2,0,0,0,7,7,2,77.8
Tobi David,CAN,FW,Union SG,23-122,2001,1.8,2,0,0,6,1,3,4,0,0,0,0,0,4,6,9,40.0
Maxim De Cuyper,BEL,DF,Club Brugge,23-316,2000,11.1,2,0,0,6,9,1,101,5,13,0,0,0,37,7,8,46.7
Dion De Neve,BEL,DF,Kortrijk,22-143,2002,8.1,0,0,0,4,1,0,49,5,9,0,0,0,24,5,23,17.9
Kamiel Van De Perre,BEL,MF,Union SG,20-264,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nils De Wilde,BEL,MF,Cercle Brugge,21-280,2003,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Ortwin De Wolf,BEL,GK,Mechelen,27-193,1997,12.0,0,0,0,0,1,0,0,1,0,0,0,0,10,1,0,100.0
