Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Mohamed Abdelmoneim,EGY,DF,Nice,25-280,1999,1.0,1,0,0,1,1,0,0,1,2,0,0,0,8,3,2,60.0
Ali Abdi,TUN,"MF,DF",Nice,30-323,1993,0.5,0,0,0,1,1,0,2,0,1,0,0,0,2,0,1,0.0
Taha Abdi Ali,SWE,FW,Malmö,26-129,1998,1.2,0,0,0,1,3,0,1,0,0,0,0,0,7,0,0,
Jalal Abdulai,GHA,FW,Elfsborg,19-307,2005,0.9,1,0,0,4,1,0,1,0,1,0,0,0,4,0,2,0.0
Saud Abdulhamid,KSA,DF,Roma,25-112,1999,0.9,0,0,0,1,2,0,5,1,0,0,0,0,4,1,0,100.0
Mohammad Abu Fani,ISR,MF,Ferencváros,26-194,1998,2.7,0,0,0,8,6,0,8,1,3,0,0,0,24,0,2,0.0
Emmanuel Addai,GHA,"MF,FW",Qarabağ,23-098,2001,0.5,0,0,0,0,1,0,3,0,1,0,0,0,1,0,1,0.0
Jayden Addai,NED,FW,AZ Alkmaar,19-073,2005,0.4,0,0,0,1,2,0,2,0,0,1,0,0,5,0,2,0.0
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-190,2003,0.7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0.0
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-045,2003,2.6,1,0,0,2,4,2,1,0,2,0,0,0,7,6,4,60.0
Julen Agirrezabala,ESP,GK,Athletic Club,23-317,2000,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Nayef Aguerd,MAR,DF,Real Sociedad,28-222,1996,1.5,0,0,0,1,2,1,1,1,1,0,0,0,9,2,4,33.3
Yunus Akgün,TUR,"FW,DF",Galatasaray,24-123,2000,2.9,1,0,0,4,3,0,6,2,2,0,0,0,9,1,0,100.0
Kevin Akpoguma,NGA,DF,Hoffenheim,29-202,1995,1.8,0,0,0,2,0,0,0,0,7,0,0,0,7,3,3,50.0
Chuba Akpom,ENG,FW,Ajax,29-029,1995,0.9,0,0,0,2,4,0,0,0,0,0,0,0,2,5,5,50.0
Baba Alhassan,GHA,"MF,FW",FCSB,24-309,2000,1.1,0,0,0,0,2,0,0,6,2,0,0,0,9,2,2,50.0
Mohamed Ali Cho,FRA,"FW,MF",Nice,20-293,2004,0.5,0,0,0,1,3,0,5,0,0,0,0,0,3,1,3,25.0
Dinis Almeida,POR,DF,Ludogorets,29-132,1995,2.9,0,0,0,2,3,0,0,4,2,0,0,0,3,8,6,57.1
Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,24-168,2000,2.8,0,0,0,2,5,1,18,1,4,0,1,0,14,4,1,80.0
Aurele Amenda,SUI,DF,Eint Frankfurt,21-099,2003,1.1,0,0,0,3,0,0,0,0,0,0,0,0,10,8,3,72.7
Sofyan Amrabat,MAR,MF,Fenerbahçe,28-078,1996,3.0,1,0,0,3,2,0,1,3,2,0,0,0,14,0,3,0.0
Francis Amuzu,BEL,FW,Anderlecht,25-076,1999,0.4,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,
Joel Andersson,SWE,DF,Midtjylland,27-362,1996,2.8,0,0,0,3,1,0,6,1,8,0,0,0,16,1,3,25.0
Leandro Andrade,CPV,"FW,MF",Qarabağ,25-044,1999,1.8,0,0,0,1,3,0,3,0,0,0,0,0,8,0,3,0.0
Patrick Andrade,CPV,MF,Qarabağ,31-272,1993,2.1,0,0,0,4,2,0,0,3,7,0,0,0,17,0,1,0.0
Fredrik André Bjørkan,NOR,DF,Bodø/Glimt,26-078,1998,2.9,0,0,0,2,2,0,2,7,4,0,0,0,23,2,3,40.0
Valdemar Andreasen,DEN,MF,Midtjylland,19-287,2005,0.3,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,30-135,1994,0.9,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,100.0
Angeliño,ESP,DF,Roma,27-308,1997,3.0,1,0,0,2,3,3,19,4,2,0,0,0,9,2,5,28.6
Nilson Angulo,ECU,FW,Anderlecht,21-141,2003,0.5,2,1,1,2,2,0,0,0,0,0,0,0,2,0,2,0.0
Antony,BRA,FW,Manchester Utd,24-257,2000,0.4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,
Jon Aramburu,VEN,DF,Real Sociedad,22-107,2002,1.2,0,0,0,1,0,0,3,0,2,0,0,0,4,1,1,50.0
Bright Arrey-Mbi,GER,DF,Braga,21-226,2003,1.1,0,0,0,0,0,0,0,0,2,0,0,0,8,4,1,80.0
Tyrese Asante,NED,DF,Maccabi Tel Aviv,22-212,2002,1.0,2,1,1,1,2,0,0,3,0,0,0,0,2,2,0,100.0
Majeed Ashimeru,GHA,MF,Anderlecht,27-028,1997,0.9,1,0,0,2,2,0,0,1,1,0,0,0,10,0,0,
Kristoffer Askildsen,NOR,"MF,FW",Midtjylland,23-303,2001,0.6,0,0,0,0,0,0,1,1,2,0,0,0,3,1,1,50.0
