Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Rodrigo Abascal,URU,DF,Boavista,30-293,1994,7.0,2,0,0,8,0,4,7,11,4,0,0,0,23,11,10,52.4
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-286,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,50.0
Giorgi Aburjania,GEO,MF,AVS Futebol,29-305,1995,2.8,0,0,0,2,3,0,2,3,6,0,0,0,12,4,1,80.0
Adriano,BRA,MF,Santa Clara,24-364,1999,7.3,1,1,0,12,4,1,4,2,7,0,0,0,41,5,3,62.5
Lucas Áfrico,BRA,DF,Farense,29-271,1995,6.8,2,0,0,10,3,1,1,5,6,0,1,1,12,14,15,48.3
Salvador Agra,POR,"MF,DF",Boavista,32-357,1991,9.0,0,0,0,9,15,4,57,4,5,0,0,0,40,4,7,36.4
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-127,2003,2.3,0,0,0,5,6,0,11,1,6,0,0,0,16,1,3,25.0
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-302,2000,3.6,1,0,0,4,7,0,1,0,0,0,0,0,5,3,5,37.5
Babatunde Akinsola,NGA,"MF,FW",AVS Futebol,21-237,2003,2.0,0,0,0,3,3,0,4,1,3,0,0,0,13,3,2,60.0
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-012,1998,3.0,0,0,0,1,2,2,3,1,3,0,0,0,15,3,2,60.0
Léo Alaba,BRA,DF,AVS Futebol,25-124,1999,3.7,1,0,0,3,3,0,13,7,5,0,0,0,22,7,1,87.5
Alan,BRA,MF,Moreirense,24-239,2000,6.6,3,0,0,12,8,1,19,2,2,0,0,0,13,0,8,0.0
Gonçalo Almeida,POR,"DF,MF",Boavista,21-180,2003,2.2,1,0,0,2,3,1,6,6,3,0,0,0,14,2,3,40.0
Pedro Álvaro,POR,DF,Estoril,24-245,2000,9.0,4,0,0,10,6,0,1,11,3,0,0,0,27,19,5,79.2
Pedro Amaral,POR,DF,Estoril,27-069,1997,8.9,1,0,0,10,8,1,35,7,5,0,0,0,26,10,4,71.4
Zeki Amdouni,SUI,"MF,FW",Benfica,23-334,2000,1.1,0,0,0,3,1,0,0,1,1,0,0,0,3,1,1,50.0
Artur Jorge Marques Amorim,POR,DF,Farense,30-080,1994,5.7,4,0,0,9,1,0,1,7,5,0,1,0,17,7,8,46.7
Andrew,BRA,GK,Gil Vicente FC,23-124,2001,9.0,1,0,0,1,1,0,0,0,1,0,1,0,4,1,0,100.0
Jeremy Antonisse,CUW,"FW,MF",Moreirense,22-218,2002,3.2,0,0,0,3,5,3,8,1,2,0,0,0,16,4,7,36.4
Arvin Appiah,ENG,"FW,MF",Nacional,23-302,2001,4.6,1,0,0,11,13,5,11,5,5,0,0,0,24,1,2,33.3
Óscar Aranda,ESP,FW,Famalicão,22-187,2002,7.9,1,0,0,5,28,6,21,1,3,0,0,0,30,11,16,40.7
Henrique Araújo,POR,FW,Arouca,22-288,2002,3.7,1,0,0,5,4,3,0,0,0,0,0,0,3,2,17,10.5
Maximiliano Araújo,URU,"MF,FW",Sporting CP,24-261,2000,2.1,0,0,0,5,3,0,14,2,1,0,0,0,9,1,1,50.0
Tomás Araújo,POR,DF,Benfica,22-170,2002,5.9,0,0,0,5,2,1,5,5,10,0,0,0,36,15,6,71.4
Telmo Arcanjo,CPV,FW,Vitória,23-134,2001,1.7,0,0,0,2,6,0,9,1,1,0,0,0,5,0,3,0.0
Bright Arrey-Mbi,GER,DF,Braga,21-221,2003,4.6,0,1,0,5,1,0,0,4,3,0,0,0,23,7,4,63.6
Gustavo Assuncao,POR,MF,AVS Futebol,24-217,2000,4.4,4,0,0,10,7,0,3,3,8,0,0,0,29,5,4,55.6
Otavio Ataide,BRA,DF,Porto,22-195,2002,5.0,1,0,0,4,6,0,0,5,2,0,1,0,14,4,8,33.3
Fredrik Aursnes,NOR,"MF,FW",Benfica,28-328,1995,5.0,0,0,0,2,3,0,17,0,5,0,0,0,19,3,6,33.3
Miguel Baeza,ESP,"MF,FW",Nacional,24-220,2000,2.3,0,0,0,1,0,0,10,0,2,0,0,0,5,1,6,14.3
Alexander Bah,DEN,DF,Benfica,26-329,1997,5.9,0,0,0,7,11,0,21,4,16,0,0,0,30,6,6,50.0
Elves Baldé,GNB,"MF,FW",Farense,25-031,1999,2.3,0,0,0,2,3,1,11,0,3,0,0,0,11,1,7,12.5
Robson Bambu,BRA,DF,Braga,26-356,1997,2.0,0,0,0,3,1,1,0,1,1,0,0,0,8,3,1,75.0
Simon Banza,COD,FW,Braga,28-081,1996,0.2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0.0
Rafael Barbosa,POR,"MF,FW",Farense,28-218,1996,3.4,2,0,0,4,3,0,24,2,1,0,0,0,22,0,5,0.0
Leandro Barreiro Martins,LUX,MF,Benfica,24-304,2000,3.7,1,0,0,4,8,0,3,3,6,1,0,0,16,5,6,45.5
Gil Bastião Dias,POR,FW,Famalicão,28-035,1996,3.5,0,0,0,4,3,1,8,0,6,0,0,0,17,3,7,30.0
Gabriel Batista,BRA,GK,Santa Clara,26-152,1998,9.0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,0,100.0
Ricardo Batista,POR,GK,Casa Pia,37-349,1986,1.0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,0,100.0
Yanis Begraoui,MAR,FW,Estoril,23-121,2001,6.1,1,0,0,9,4,2,2,2,1,0,0,0,14,4,11,26.7
Gui Beleza,POR,MF,Gil Vicente FC,17-329,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Bachir Belloumi,ALG,FW,Farense,22-154,2002,3.0,0,0,0,4,0,2,8,3,5,0,0,0,14,3,3,50.0
Fahem Benaissa Yahia,FRA,DF,Casa Pia,22-187,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Beni,ANG,MF,Casa Pia,22-165,2002,4.2,1,0,0,7,11,0,0,5,6,0,0,0,27,9,7,56.3
Álex Bermejo,ESP,"MF,FW",Farense,25-327,1998,3.8,1,0,0,6,7,2,12,1,1,0,0,0,9,2,12,14.3
Simão Bertelli,BRA,GK,AVS Futebol,31-153,1993,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
Jan-Niklas Beste,GER,"FW,DF",Benfica,25-303,1999,2.1,0,0,0,3,5,0,14,2,3,0,0,0,10,0,0,
José Bica,POR,"MF,FW",Vitória,21-139,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Raúl Blanco,ESP,FW,Casa Pia,23-094,2001,2.8,1,0,0,1,1,0,0,2,2,0,0,0,6,1,5,16.7
Kévin Boma,TOG,DF,Estoril,21-348,2002,5.0,1,0,0,5,3,0,0,6,7,0,1,0,8,14,4,77.8
Kiko Bondoso,POR,"MF,FW",Rio Ave,28-351,1995,5.3,0,0,0,2,5,2,3,2,6,0,0,0,26,0,7,0.0
Toni Borevkovic,CRO,DF,Vitória,27-137,1997,9.0,2,0,0,9,7,1,0,12,6,0,0,0,25,10,6,62.5
Gonçalo Borges,POR,FW,Porto,23-218,2001,1.4,0,0,0,2,1,0,14,0,1,0,0,0,3,0,1,0.0
Róbert Boženík,SVK,FW,Boavista,24-350,1999,8.9,2,0,0,23,18,6,3,2,2,1,0,0,22,13,26,33.3
Daniel Bragança,POR,MF,Sporting CP,25-159,1999,6.1,2,0,0,9,11,0,4,3,5,0,0,0,31,6,5,54.5
Bruno Brigido,BRA,GK,Estrela,33-238,1991,9.0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,
Rafael Brito,POR,MF,Casa Pia,22-288,2002,2.6,1,0,0,5,4,0,1,3,3,0,0,0,11,9,4,69.2
Bruma,POR,"FW,MF",Braga,30-009,1994,4.0,0,0,0,2,3,6,8,1,2,0,0,0,18,0,0,
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,31-036,1993,9.0,0,0,0,7,6,1,0,11,7,0,1,0,18,10,13,43.5
Leonel Bucca,ARG,"MF,FW",Estrela,25-227,1999,4.9,2,0,0,11,5,0,0,7,7,0,0,0,24,9,8,52.9
Adrián Butzke,ESP,FW,Nacional,25-217,1999,4.3,2,0,0,7,3,1,0,3,2,0,0,0,5,16,10,61.5
Arthur Cabral,BRA,FW,Benfica,26-191,1998,0.9,0,0,0,3,0,0,0,0,1,0,0,0,5,1,1,50.0
Jovane Cabral,CPV,FW,Estrela,26-141,1998,2.5,0,0,0,5,6,0,8,3,4,0,0,0,14,2,1,66.7
Lucas Calegari,BRA,DF,Famalicão,22-249,2002,8.5,0,0,0,7,16,0,12,4,12,0,0,0,43,6,4,60.0
Diogo Calila,POR,"MF,DF",Santa Clara,26-023,1998,4.3,2,0,0,7,5,1,13,1,4,0,0,0,18,4,2,66.7
Ibrahima Camará,GUI,MF,Boavista,25-282,1999,7.2,2,0,0,8,12,0,0,10,6,0,0,0,35,15,10,60.0
André Candeias,POR,"FW,MF",Farense,21-287,2003,0.4,0,0,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0
Zé Carlos,POR,MF,Vitória,23-003,2001,0.2,0,0,0,1,1,0,0,1,2,0,1,0,4,0,2,0.0
Zé Carlos,POR,DF,Gil Vicente FC,26-094,1998,8.6,1,0,0,11,18,0,7,23,9,0,0,0,32,6,4,60.0
Álvaro Carreras,ESP,DF,Benfica,21-224,2003,7.1,3,0,0,4,6,2,26,10,8,0,0,0,38,10,5,66.7
João Carvalho,POR,"FW,MF",Estoril,27-238,1997,3.5,2,0,0,4,10,0,10,0,1,0,0,0,10,2,1,66.7
Pedro Carvalho,POR,DF,Estoril,21-262,2003,2.2,0,0,0,2,2,0,12,4,2,0,0,0,8,1,1,50.0
Vitor Carvalho,BRA,MF,Braga,27-159,1997,8.4,2,0,0,23,9,0,1,13,13,0,0,0,31,21,10,67.7
Cassiano,BRA,FW,Casa Pia,35-139,1989,3.0,1,0,0,8,3,1,0,0,3,0,0,0,5,6,9,40.0
Jesús Castillo,PER,MF,Gil Vicente FC,23-144,2001,5.7,1,0,0,7,7,1,7,7,6,0,0,0,24,5,6,45.5
André Castro,POR,MF,Moreirense,36-214,1988,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Cristian Castro,COL,DF,AVS Futebol,23-282,2001,8.9,2,0,0,4,7,1,3,9,5,0,0,0,41,12,13,48.0
Geny Catamo,MOZ,"MF,DF",Sporting CP,23-281,2001,6.4,2,0,0,4,14,1,11,3,5,0,0,0,25,2,5,28.6
Cauê,BRA,FW,Gil Vicente FC,21-352,2002,5.1,0,0,0,8,19,0,2,1,1,0,0,0,12,13,25,34.2
César,BRA,GK,Boavista,32-280,1992,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Tidjany Chabrol,FRA,FW,Gil Vicente FC,22-110,2002,3.3,1,0,0,2,8,1,0,0,4,0,0,0,11,0,2,0.0
