Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Ahmed Abdullahi,NGA,MF,Gent,20-136,2004,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Francis Abu,GHA,MF,Cercle Brugge,23-189,2001,7.8,419,402,15,14,1,1,7,0,1,0,1,0,323,2,4
Desmond Acquah,BEL,"MF,FW",Dender,22-102,2002,1.5,44,41,2,1,0,0,2,1,0,0,0,0,25,1,2
Noah Adedeji,BEL,"FW,MF",Genk,19-136,2005,0.3,19,18,1,0,0,0,0,1,0,0,0,0,14,0,0
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-345,2003,7.2,239,236,3,2,3,0,7,1,0,0,0,0,154,0,9
Takahiro Akimoto,JPN,DF,OH Leuven,26-276,1998,10.5,495,403,92,14,0,0,2,78,0,0,0,0,418,0,10
Ali Akman,TUR,"MF,DF",Dender,22-198,2002,0.4,19,16,2,0,0,0,0,0,0,0,0,0,13,1,1
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-118,2004,6.8,187,178,9,1,0,4,8,7,1,0,0,0,148,0,7
Toby Alderweireld,BEL,DF,Antwerp,35-245,1989,12.0,689,631,54,44,0,7,1,7,0,0,0,0,583,4,2
Ryan Alebiosu,ENG,DF,Kortrijk,22-321,2001,4.3,128,116,12,0,0,0,13,12,0,0,0,0,89,0,5
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-342,2001,1.4,87,84,3,2,0,0,1,0,1,1,0,0,70,0,2
Arthur Alexis,BEL,MF,Sint-Truiden,18-297,2006,0.1,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0
Thierry Ambrose,GLP,FW,Kortrijk,27-219,1997,8.8,206,199,6,0,1,2,4,0,0,0,0,0,141,1,10
Francis Amuzu,BEL,FW,Anderlecht,25-071,1999,3.6,143,127,16,2,0,0,26,5,9,6,0,0,105,0,6
