Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Tammy Abraham,ENG,FW,Milan,27-036,1997,1.2,19,16,3,1,0,1,1,0,0,0,0,0,11,0,1
Francesco Acerbi,ITA,DF,Inter,36-271,1988,1.3,52,49,3,2,0,0,0,0,0,0,0,0,48,0,0
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-162,1991,1.8,55,55,0,0,0,0,2,0,0,0,0,0,44,0,0
Karim Adeyemi,GER,FW,Dortmund,22-294,2002,1.5,58,58,0,0,1,0,2,0,0,0,0,0,46,0,2
Amine Adli,MAR,MF,Leverkusen,24-181,2000,1.3,49,49,0,0,0,0,1,0,0,0,0,0,42,0,0
Vasilije Adžić,MNE,FW,Juventus,18-179,2006,0.3,9,8,1,0,0,1,0,0,0,0,0,0,8,0,0
Michel Aebischer,SUI,MF,Bologna,27-306,1997,0.3,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
Emanuel Aiwum,AUT,DF,Sturm Graz,23-318,2000,4.0,149,143,6,3,0,2,2,1,0,0,0,0,125,0,2
Ludovic Ajorque,FRA,FW,Brest,30-256,1994,3.7,82,81,1,0,1,1,3,0,0,0,0,0,60,0,1
Manuel Akanji,SUI,DF,Manchester City,29-111,1995,3.7,337,331,6,3,0,2,0,1,0,0,0,0,316,0,2
Nathan Aké,NED,DF,Manchester City,29-263,1995,0.8,89,87,2,0,0,0,1,2,0,0,0,0,83,0,2
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-256,2002,4.0,190,174,13,1,3,1,18,3,9,7,2,0,148,3,4
Kerem Aktürkoğlu,TUR,FW,Benfica,26-017,1998,3.4,88,87,0,0,1,0,1,0,0,0,0,0,64,1,4
Trent Alexander-Arnold,ENG,DF,Liverpool,26-031,1998,3.5,219,180,38,5,1,4,10,30,3,2,1,0,166,1,3
Alisson,BRA,GK,Liverpool,32-036,1992,2.0,87,74,13,3,0,0,0,0,0,0,0,0,64,0,0
