Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Mohamed Abdelmoneim,EGY,DF,Nice,25-281,1999,1.0,58,56,2,1,0,1,0,1,0,0,0,0,53,0,0
Ali Abdi,TUN,"MF,DF",Nice,30-324,1993,0.5,32,26,6,2,0,0,2,4,0,0,0,0,25,0,0
Taha Abdi Ali,SWE,FW,Malmö,26-130,1998,1.2,61,57,4,0,0,0,1,4,0,0,0,0,47,0,5
Jalal Abdulai,GHA,FW,Elfsborg,19-308,2005,0.9,12,12,0,0,0,0,1,0,0,0,0,0,7,0,0
Saud Abdulhamid,KSA,DF,Roma,25-113,1999,0.9,65,55,10,2,0,0,5,8,0,0,0,0,52,0,1
Abner,BRA,MF,Lyon,24-165,2000,1.0,56,46,10,1,0,0,7,5,4,4,0,0,42,0,0
Mohammad Abu Fani,ISR,MF,Ferencváros,26-195,1998,3.7,230,213,17,10,3,3,13,0,7,3,1,0,180,0,4
Emmanuel Addai,GHA,"FW,MF",Qarabağ,23-099,2001,1.2,44,40,4,0,1,2,5,3,1,0,0,0,35,0,2
Jayden Addai,NED,FW,AZ Alkmaar,19-074,2005,1.1,27,27,0,0,1,0,2,0,0,0,0,0,15,0,5
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-191,2003,0.9,24,21,3,0,0,0,2,2,0,0,0,0,21,0,1
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-046,2003,3.5,57,56,0,0,0,0,2,0,0,0,0,0,42,1,3
Julen Agirrezabala,ESP,GK,Athletic Club,23-318,2000,4.0,114,76,38,18,0,0,0,0,0,0,0,0,79,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,28-223,1996,2.5,208,200,7,6,0,6,1,0,0,0,0,0,186,1,0
Yunus Akgün,TUR,"DF,FW",Galatasaray,24-124,2000,3.8,166,151,15,0,1,0,8,15,0,0,0,0,132,0,3
Kevin Akpoguma,NGA,DF,Hoffenheim,29-203,1995,2.8,145,134,11,5,0,0,1,2,0,0,0,0,130,0,1
Chuba Akpom,ENG,FW,Ajax,29-030,1995,1.1,34,32,2,1,0,0,0,0,0,0,0,0,25,0,0
Baba Alhassan,GHA,"MF,FW",FCSB,24-310,2000,1.8,69,67,2,2,0,1,0,0,0,0,0,0,57,0,0
Mohamed Ali Cho,FRA,"FW,MF",Nice,20-294,2004,1.0,24,22,2,1,0,0,5,0,1,0,1,0,14,0,2
Dinis Almeida,POR,DF,Ludogorets,29-133,1995,3.9,149,142,7,4,0,1,0,1,0,0,0,0,122,0,0
Barış Alper Yılmaz,TUR,"DF,FW",Galatasaray,24-169,2000,3.8,172,161,10,1,1,1,26,9,0,0,0,0,129,1,3
Aurele Amenda,SUI,DF,Eint Frankfurt,21-100,2003,1.2,86,85,1,1,0,2,0,0,0,0,0,0,77,0,2
Sofyan Amrabat,MAR,MF,Fenerbahçe,28-079,1996,4.0,257,246,11,10,1,0,1,0,0,0,0,0,227,0,3
