Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Rodrigo Abascal,URU,DF,Boavista,30-293,1994,7.0,313,269,43,19,0,3,7,24,0,0,0,0,212,1,2
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-286,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Giorgi Aburjania,GEO,MF,AVS Futebol,29-305,1995,2.8,116,108,7,6,0,1,2,0,1,1,0,0,96,1,2
Adriano,BRA,MF,Santa Clara,24-364,1999,7.3,301,295,4,4,0,0,4,0,0,0,0,0,253,2,6
Lucas Áfrico,BRA,DF,Farense,29-271,1995,6.8,261,244,16,13,0,6,1,3,0,0,0,0,213,1,4
Salvador Agra,POR,"MF,DF",Boavista,32-357,1991,9.0,279,227,49,19,1,1,57,6,24,17,4,0,179,3,10
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-127,2003,2.3,88,76,12,4,2,1,11,1,7,3,4,0,59,0,2
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-302,2000,3.6,70,63,7,1,0,3,1,0,0,0,0,0,55,0,1
Babatunde Akinsola,NGA,"MF,FW",AVS Futebol,21-237,2003,2.0,34,34,0,0,1,0,4,0,0,0,0,0,22,0,0
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-012,1998,3.0,114,110,3,0,1,0,3,3,0,0,0,0,77,1,6
Léo Alaba,BRA,DF,AVS Futebol,25-124,1999,3.7,190,151,39,1,0,1,13,38,0,0,0,0,125,0,5
Alan,BRA,MF,Moreirense,24-239,2000,6.6,300,258,39,20,0,2,19,2,10,7,2,0,253,3,5
Gonçalo Almeida,POR,"DF,MF",Boavista,21-180,2003,2.2,83,75,7,0,0,0,6,7,0,0,0,0,61,1,2
Pedro Álvaro,POR,DF,Estoril,24-245,2000,9.0,462,443,19,17,0,3,1,0,0,0,0,0,394,0,4
Pedro Amaral,POR,DF,Estoril,27-069,1997,8.9,430,331,98,16,0,3,35,82,0,0,0,0,325,1,13
Zeki Amdouni,SUI,"MF,FW",Benfica,23-334,2000,1.1,26,26,0,0,0,1,0,0,0,0,0,0,22,0,0
Artur Jorge Marques Amorim,POR,DF,Farense,30-080,1994,5.7,214,202,11,11,0,1,1,0,0,0,0,0,169,1,1
Andrew,BRA,GK,Gil Vicente FC,23-124,2001,9.0,361,268,93,16,0,3,0,0,0,0,0,0,296,0,2
Jeremy Antonisse,CUW,"FW,MF",Moreirense,22-218,2002,3.2,82,79,3,1,1,0,8,0,2,2,0,0,61,0,4
Arvin Appiah,ENG,"FW,MF",Nacional,23-302,2001,4.6,89,87,1,0,0,0,11,1,0,0,0,0,60,1,2
Óscar Aranda,ESP,FW,Famalicão,22-187,2002,7.9,202,174,26,6,3,3,21,1,10,2,6,0,147,2,6
Henrique Araújo,POR,FW,Arouca,22-288,2002,3.7,48,42,6,0,0,0,0,0,0,0,0,0,36,0,1
Maximiliano Araújo,URU,"MF,FW",Sporting CP,24-261,2000,2.1,96,72,24,4,1,0,14,11,9,1,6,1,83,0,2
Tomás Araújo,POR,DF,Benfica,22-170,2002,5.9,371,345,26,13,0,3,5,13,0,0,0,0,325,0,6
Telmo Arcanjo,CPV,FW,Vitória,23-134,2001,1.7,78,69,7,1,0,0,9,6,0,0,0,0,59,2,1
Bright Arrey-Mbi,GER,DF,Braga,21-221,2003,4.6,286,281,5,5,0,1,0,0,0,0,0,0,274,0,0
Gustavo Assuncao,POR,MF,AVS Futebol,24-217,2000,4.4,225,218,7,7,1,2,3,0,0,0,0,0,201,0,1
Otavio Ataide,BRA,DF,Porto,22-195,2002,5.0,351,331,20,12,0,1,0,4,0,0,0,0,321,0,4
Fredrik Aursnes,NOR,"MF,FW",Benfica,28-328,1995,5.0,274,263,10,0,1,1,17,5,5,4,1,0,225,1,9
Miguel Baeza,ESP,"MF,FW",Nacional,24-220,2000,2.3,61,50,11,5,1,0,10,0,6,2,3,0,39,0,4
Alexander Bah,DEN,DF,Benfica,26-329,1997,5.9,412,333,79,5,1,3,21,74,0,0,0,0,331,0,11
Elves Baldé,GNB,"MF,FW",Farense,25-031,1999,2.3,53,44,9,1,0,0,11,3,4,2,2,0,37,0,2
Robson Bambu,BRA,DF,Braga,26-356,1997,2.0,161,157,3,3,0,2,0,0,0,0,0,0,141,1,2
Simon Banza,COD,FW,Braga,28-081,1996,0.2,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0
Rafael Barbosa,POR,"MF,FW",Farense,28-218,1996,3.4,125,94,29,11,1,0,24,0,10,6,3,0,88,2,7
Leandro Barreiro Martins,LUX,MF,Benfica,24-304,2000,3.7,223,217,5,5,1,0,3,0,0,0,0,0,199,1,5
Gil Bastião Dias,POR,FW,Famalicão,28-035,1996,3.5,120,111,6,2,0,1,8,1,3,1,1,0,78,3,6
Gabriel Batista,BRA,GK,Santa Clara,26-152,1998,9.0,245,163,82,24,0,1,0,0,0,0,0,0,158,0,0
Ricardo Batista,POR,GK,Casa Pia,37-349,1986,1.0,35,30,4,1,0,0,0,0,0,0,0,0,31,1,0
Yanis Begraoui,MAR,FW,Estoril,23-121,2001,6.1,123,119,4,0,0,2,2,0,0,0,0,0,93,0,8
Gui Beleza,POR,MF,Gil Vicente FC,17-329,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bachir Belloumi,ALG,FW,Farense,22-154,2002,3.0,73,70,3,0,1,0,8,3,0,0,0,0,42,0,2
Fahem Benaissa Yahia,FRA,DF,Casa Pia,22-187,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Beni,ANG,MF,Casa Pia,22-165,2002,4.2,199,196,3,3,0,5,0,0,0,0,0,0,168,0,1
Álex Bermejo,ESP,"MF,FW",Farense,25-327,1998,3.8,87,76,11,1,0,1,12,0,10,3,3,0,58,0,4
Simão Bertelli,BRA,GK,AVS Futebol,31-153,1993,4.0,130,84,45,8,0,0,0,0,0,0,0,0,103,1,0
Jan-Niklas Beste,GER,"FW,DF",Benfica,25-303,1999,2.1,109,90,17,1,0,0,14,10,6,3,3,0,87,2,0
José Bica,POR,"MF,FW",Vitória,21-139,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Raúl Blanco,ESP,FW,Casa Pia,23-094,2001,2.8,69,65,4,0,0,2,0,2,0,0,0,0,60,0,0
Kévin Boma,TOG,DF,Estoril,21-348,2002,5.0,199,195,4,4,0,1,0,0,0,0,0,0,172,0,0
Kiko Bondoso,POR,"MF,FW",Rio Ave,28-351,1995,5.3,136,133,1,1,0,1,3,0,0,0,0,0,108,2,4
Toni Borevkovic,CRO,DF,Vitória,27-137,1997,9.0,481,470,10,8,0,2,0,2,0,0,0,0,425,1,2
Gonçalo Borges,POR,FW,Porto,23-218,2001,1.4,45,44,1,0,0,0,14,1,0,0,0,0,35,0,0
Róbert Boženík,SVK,FW,Boavista,24-350,1999,8.9,137,128,9,0,1,3,3,0,0,0,0,0,100,0,4
Daniel Bragança,POR,MF,Sporting CP,25-159,1999,6.1,401,395,5,4,2,2,4,1,0,0,0,0,365,1,3
Bruno Brigido,BRA,GK,Estrela,33-238,1991,9.0,280,179,101,40,0,0,0,0,0,0,0,0,197,0,0
Rafael Brito,POR,MF,Casa Pia,22-288,2002,2.6,79,73,6,2,0,1,1,1,0,0,0,0,48,0,2
Bruma,POR,"FW,MF",Braga,30-009,1994,4.0,205,188,16,0,3,1,8,8,7,2,1,0,165,1,4
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,31-036,1993,9.0,542,528,14,14,0,0,0,0,0,0,0,0,503,0,2
Leonel Bucca,ARG,"MF,FW",Estrela,25-227,1999,4.9,168,159,7,5,2,0,0,2,0,0,0,0,127,2,5
Adrián Butzke,ESP,FW,Nacional,25-217,1999,4.3,89,77,12,0,1,1,0,0,0,0,0,0,61,0,3
Arthur Cabral,BRA,FW,Benfica,26-191,1998,0.9,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
Jovane Cabral,CPV,FW,Estrela,26-141,1998,2.5,57,49,8,4,1,4,8,0,4,4,0,0,31,0,4
Lucas Calegari,BRA,DF,Famalicão,22-249,2002,8.5,452,333,118,14,0,1,12,104,0,0,0,0,386,1,8
Diogo Calila,POR,"MF,DF",Santa Clara,26-023,1998,4.3,155,132,22,1,0,1,13,17,4,0,2,0,109,1,4
Ibrahima Camará,GUI,MF,Boavista,25-282,1999,7.2,224,211,13,12,1,3,0,1,0,0,0,0,162,0,0
André Candeias,POR,"FW,MF",Farense,21-287,2003,0.4,11,11,0,0,0,0,2,0,0,0,0,0,7,0,1
Zé Carlos,POR,MF,Vitória,23-003,2001,0.2,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
Zé Carlos,POR,DF,Gil Vicente FC,26-094,1998,8.6,521,421,99,20,0,3,7,79,0,0,0,0,424,1,13
Álvaro Carreras,ESP,DF,Benfica,21-224,2003,7.1,525,449,70,4,0,3,26,65,1,0,0,0,416,6,12
João Carvalho,POR,"FW,MF",Estoril,27-238,1997,3.5,154,139,14,3,1,2,10,2,8,1,6,0,122,1,6
Pedro Carvalho,POR,DF,Estoril,21-262,2003,2.2,143,107,36,1,1,0,12,35,0,0,0,0,103,0,4
Vitor Carvalho,BRA,MF,Braga,27-159,1997,8.4,428,420,7,7,1,3,1,0,0,0,0,0,357,1,7
Cassiano,BRA,FW,Casa Pia,35-139,1989,3.0,32,30,2,0,0,0,0,0,0,0,0,0,19,0,2
Jesús Castillo,PER,MF,Gil Vicente FC,23-144,2001,5.7,249,232,15,12,0,2,7,2,1,1,0,0,211,2,0
André Castro,POR,MF,Moreirense,36-214,1988,0.2,8,6,2,2,0,0,0,0,0,0,0,0,7,0,0
Cristian Castro,COL,DF,AVS Futebol,23-282,2001,8.9,433,413,18,17,1,2,3,1,0,0,0,0,372,2,0
Geny Catamo,MOZ,"MF,DF",Sporting CP,23-281,2001,6.4,351,285,63,3,1,1,11,59,1,0,0,0,286,3,11
Cauê,BRA,FW,Gil Vicente FC,21-352,2002,5.1,90,81,7,0,1,1,2,0,0,0,0,0,66,2,4
César,BRA,GK,Boavista,32-280,1992,3.0,82,44,37,8,0,0,0,0,0,0,0,0,45,1,1
Tidjany Chabrol,FRA,FW,Gil Vicente FC,22-110,2002,3.3,98,98,0,0,0,1,0,0,0,0,0,0,84,0,3
Till Cissokho,FRA,DF,Estrela,24-268,2000,4.0,201,191,9,9,0,0,0,0,0,0,0,0,168,1,4
Clayton,BRA,DF,AVS Futebol,24-212,2000,2.0,92,90,2,2,0,1,0,0,0,0,0,0,82,0,0
Clayton,BRA,FW,Rio Ave,25-296,1999,8.6,149,125,24,0,4,2,3,0,0,0,0,0,99,0,7
