Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Ahmed Abdullahi,NGA,MF,Gent,20-120,2004,0.0,2,2,100.0,31,13,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Francis Abu,GHA,MF,Cercle Brugge,23-173,2001,7.1,296,378,78.3,5338,1871,119,150,79.3,133,163,81.6,35,51,68.6,1,0.7,0.7,+0.3,8,55,7,2,59
Desmond Acquah,BEL,"MF,FW",Dender,22-086,2002,1.5,25,44,56.8,386,183,12,16,75.0,10,17,58.8,2,6,33.3,0,0.0,0.1,0.0,1,4,1,0,7
Noah Adedeji,BEL,"FW,MF",Genk,19-120,2005,0.2,7,10,70.0,138,39,3,3,100.0,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-329,2003,5.9,138,208,66.3,2190,784,76,94,80.9,48,71,67.6,11,24,45.8,0,1.0,1.6,-1.0,6,20,11,1,28
Takahiro Akimoto,JPN,DF,OH Leuven,26-260,1998,9.1,371,437,84.9,6703,2356,136,146,93.2,204,236,86.4,25,39,64.1,0,0.1,0.1,-0.1,3,18,2,0,21
Ali Akman,TUR,"MF,DF",Dender,22-182,2002,0.3,9,14,64.3,122,54,6,7,85.7,3,4,75.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,2
Josimar Alcocer,CRC,"MF,FW",Westerlo,20-102,2004,5.6,104,136,76.5,1610,403,58,71,81.7,30,39,76.9,10,14,71.4,0,0.3,0.9,-0.3,4,9,1,0,15
Toby Alderweireld,BEL,DF,Antwerp,35-229,1989,10.0,443,533,83.1,10412,3874,85,99,85.9,268,288,93.1,88,141,62.4,1,1.5,0.9,-0.5,3,25,1,0,22
Ryan Alebiosu,ENG,DF,Kortrijk,22-305,2001,4.3,89,128,69.5,1237,436,52,61,85.2,31,49,63.3,1,8,12.5,1,0.7,1.1,+0.3,5,7,8,2,12
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-326,2001,1.1,39,54,72.2,650,293,17,22,77.3,16,19,84.2,5,10,50.0,0,0.3,0.3,-0.3,1,6,2,0,11
