Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Rodrigo Abascal,URU,DF,Boavista,30-296,1994,8.0,235,347,67.7,5627,2749,49,60,81.7,134,164,81.7,52,120,43.3,0,0.5,0.4,-0.5,5,17,1,1,10
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-289,2003,0.1,2,3,66.7,30,12,1,1,100.0,1,2,50.0,0,0,,0,0.1,0.1,-0.1,2,0,1,0,1
Giorgi Aburjania,GEO,MF,AVS Futebol,29-308,1995,3.2,104,126,82.5,1706,509,53,58,91.4,44,53,83.0,7,11,63.6,0,0.5,0.2,-0.5,9,16,1,0,20
Adriano,BRA,MF,Santa Clara,25-001,1999,8.0,293,347,84.4,4656,1165,128,142,90.1,139,156,89.1,13,24,54.2,1,0.8,0.6,+0.2,5,25,6,1,37
Lucas Áfrico,BRA,DF,Farense,29-274,1995,7.8,235,290,81.0,5225,1894,51,57,89.5,144,154,93.5,38,67,56.7,0,0.0,0.0,0.0,2,6,0,0,7
Salvador Agra,POR,"MF,DF",Boavista,32-360,1991,10.0,200,306,65.4,3246,976,106,129,82.2,70,98,71.4,19,59,32.2,0,1.4,1.2,-1.4,17,14,6,3,21
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-130,2003,2.3,60,90,66.7,969,289,31,39,79.5,19,27,70.4,6,16,37.5,0,0.2,0.3,-0.2,3,6,1,0,5
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-305,2000,4.3,67,85,78.8,1070,169,37,47,78.7,20,23,87.0,6,7,85.7,0,0.2,0.3,-0.2,5,4,2,1,7
Babatunde Akinsola,NGA,"FW,MF",AVS Futebol,21-240,2003,2.7,26,43,60.5,455,97,12,19,63.2,9,13,69.2,3,6,50.0,1,0.1,0.1,+0.9,3,2,2,0,6
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-015,1998,3.8,105,146,71.9,1398,351,68,83,81.9,31,40,77.5,2,4,50.0,3,1.2,1.3,+1.8,10,7,8,0,15
Léo Alaba,BRA,DF,AVS Futebol,25-127,1999,3.7,125,190,65.8,2411,995,36,46,78.3,71,102,69.6,15,31,48.4,0,0.0,0.1,0.0,0,6,1,0,12
Alan,BRA,MF,Moreirense,24-242,2000,7.6,291,347,83.9,4826,1659,134,147,91.2,121,131,92.4,23,42,54.8,2,1.9,1.5,+0.1,21,36,8,0,52
Gonçalo Almeida,POR,"DF,MF",Boavista,21-183,2003,2.2,63,86,73.3,1187,347,26,34,76.5,27,34,79.4,8,13,61.5,0,0.1,0.1,-0.1,3,2,1,0,6
Pedro Álvaro,POR,DF,Estoril,24-248,2000,10.0,415,489,84.9,8320,3228,124,134,92.5,246,266,92.5,43,80,53.8,1,0.3,0.4,+0.7,1,21,0,0,16
Pedro Amaral,POR,DF,Estoril,27-072,1997,9.1,330,438,75.3,6089,2217,139,153,90.8,153,192,79.7,34,65,52.3,2,1.6,1.6,+0.4,12,14,12,8,32
Zeki Amdouni,SUI,"MF,FW",Benfica,23-337,2000,1.2,26,30,86.7,363,93,18,20,90.0,5,6,83.3,2,3,66.7,0,0.1,0.0,-0.1,2,3,0,0,3
Artur Jorge Marques Amorim,POR,DF,Farense,30-083,1994,6.5,175,222,78.8,4004,1471,26,33,78.8,114,122,93.4,34,62,54.8,0,0.0,0.0,0.0,0,11,0,0,9
Andrew,BRA,GK,Gil Vicente FC,23-127,2001,10.0,324,392,82.7,8549,4668,53,54,98.1,151,155,97.4,120,181,66.3,0,0.0,0.0,0.0,0,2,0,0,0
Jeremy Antonisse,CUW,"FW,MF",Moreirense,22-221,2002,3.2,61,82,74.4,919,231,30,36,83.3,22,24,91.7,4,10,40.0,0,0.8,0.7,-0.8,4,3,2,1,5
Arvin Appiah,ENG,"FW,MF",Nacional,23-305,2001,4.6,60,89,67.4,826,184,36,51,70.6,22,29,75.9,1,4,25.0,0,0.3,0.3,-0.3,3,8,2,2,7
Óscar Aranda,ESP,FW,Famalicão,22-190,2002,8.9,169,226,74.8,2891,889,76,90,84.4,66,83,79.5,18,30,60.0,1,1.1,0.9,-0.1,8,22,11,1,48
