Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
James Abankwah,IRL,DF,Udinese,Serie A,20-275,2004,0.0,1,1,100.0,17,15,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-195,2006,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-019,1987,5.0,204,229,89.1,3740,1298,69,74,93.2,121,128,94.5,12,23,52.2,0,0.0,0.0,0.0,1,14,0,0,10
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-335,1999,6.9,331,411,80.5,4693,1365,187,207,90.3,118,138,85.5,12,41,29.3,0,1.0,0.8,-1.0,12,39,12,0,47
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-259,1999,1.8,62,74,83.8,1004,368,27,30,90.0,32,38,84.2,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,6
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30-302,1993,2.5,66,91,72.5,920,330,38,47,80.9,22,29,75.9,2,7,28.6,0,0.5,0.0,-0.5,2,4,0,0,4
Abel,ESP,DF,Osasuna,La Liga,24-057,2000,6.8,205,296,69.3,3582,1639,104,117,88.9,76,109,69.7,20,53,37.7,0,0.3,0.4,-0.3,4,21,4,4,29
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-055,2002,2.6,31,51,60.8,588,229,12,20,60.0,9,14,64.3,7,11,63.6,0,0.0,0.1,0.0,1,7,2,0,6
Oliver Abildgaard,DEN,MF,Como,Serie A,28-129,1996,0.1,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-203,2003,6.2,69,98,70.4,1084,167,32,41,78.0,29,39,74.4,4,6,66.7,0,0.6,0.5,-0.6,5,6,4,0,17
Abner,BRA,DF,Lyon,Ligue 1,24-143,2000,5.2,220,277,79.4,3118,1459,130,145,89.7,64,81,79.0,15,26,57.7,0,0.4,1.4,-0.4,7,17,4,1,20
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24-242,2000,5.3,57,90,63.3,705,176,38,48,79.2,16,29,55.2,0,3,0.0,0,0.1,0.4,-0.1,1,3,1,0,6
Abdel Abqar,MAR,DF,Alavés,La Liga,25-221,1999,7.5,141,212,66.5,3261,1325,39,46,84.8,76,89,85.4,25,67,37.3,0,0.1,0.1,-0.1,2,14,0,0,20
