Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Tammy Abraham,ENG,FW,Milan,27-015,1997,2,83,42,46.1,0.9,1,61,0,1,22,0,0.00,0,1,-1,-1.08,+0.77,1.1,2.0,-0.9,-1.03,+1.13
Francesco Acerbi,ITA,DF,Inter,36-250,1988,2,117,59,65.0,1.3,1,90,1,1,27,0,2.00,2,0,+2,+1.54,-1.32,1.9,2.4,-0.5,-0.37,-2.01
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-141,1991,2,75,38,41.7,0.8,1,62,0,1,13,0,0.50,1,2,-1,-1.20,+3.94,0.9,1.3,-0.4,-0.45,+4.43
Karim Adeyemi,GER,FW,Dortmund,22-273,2002,2,133,67,73.9,1.5,2,67,0,0,,0,3.00,7,1,+6,+4.06,-1.68,3.1,2.0,+1.1,+0.75,+0.76
Amine Adli,MAR,MF,Leverkusen,24-160,2000,2,100,50,55.6,1.1,1,81,0,1,19,0,3.00,1,0,+1,+0.90,-3.60,1.9,0.7,+1.2,+1.12,+0.53
Vasilije Adžić,MNE,MF,Juventus,18-158,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Michel Aebischer,SUI,MF,Bologna,27-285,1997,1,29,29,16.1,0.3,0,,0,1,29,1,0.00,0,1,-1,-3.10,-2.51,0.2,0.2,+0.1,+0.17,+0.40
Emanuel Aiwum,AUT,DF,Sturm Graz,23-297,2000,2,180,90,100.0,2.0,2,90,2,0,,0,0.00,1,3,-2,-1.00,,0.9,2.7,-1.9,-0.94,
Ludovic Ajorque,FRA,FW,Brest,30-235,1994,2,174,87,96.7,1.9,2,87,1,0,,0,3.00,6,1,+5,+2.59,+2.59,4.0,2.1,+1.9,+0.98,-0.38
Manuel Akanji,SUI,DF,Manchester City,29-090,1995,2,149,75,82.8,1.7,2,75,1,0,,0,2.00,3,0,+3,+1.81,-1.09,5.2,0.8,+4.4,+2.62,+0.13
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-235,2002,2,180,90,100.0,2.0,2,90,2,0,,0,2.00,4,3,+1,+0.50,,3.2,1.4,+1.8,+0.91,
Kerem Aktürkoğlu,TUR,FW,Benfica,25-362,1998,2,160,80,88.9,1.8,2,80,1,0,,0,3.00,4,1,+3,+1.69,-7.31,4.1,1.3,+2.8,+1.60,-5.44
Trent Alexander-Arnold,ENG,DF,Liverpool,26-010,1998,2,162,81,90.0,1.8,2,81,0,0,,0,3.00,5,1,+4,+2.22,+2.22,4.1,0.5,+3.6,+1.99,+4.48
