Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Tammy Abraham,ENG,FW,Milan,27-036,1997,1.2,29,3,6,13,11,4,29,3,1,33.3,0,0.0,18,131,93,5,3,1,2,1,20,4
Francesco Acerbi,ITA,DF,Inter,36-271,1988,1.3,66,20,46,18,2,1,66,0,0,,0,,35,145,73,0,0,0,0,0,42,1
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-162,1991,1.8,79,3,14,41,24,11,79,3,2,66.7,1,33.3,42,206,90,2,1,1,7,1,52,5
Karim Adeyemi,GER,FW,Dortmund,22-294,2002,1.5,78,1,6,29,44,10,78,7,3,42.9,3,42.9,56,390,276,10,7,3,0,1,64,11
Amine Adli,MAR,MF,Leverkusen,24-181,2000,1.3,65,2,11,24,30,5,65,3,2,66.7,1,33.3,33,158,87,3,1,1,3,3,50,10
Vasilije Adžić,MNE,FW,Juventus,18-179,2006,0.3,11,0,0,8,3,1,11,0,0,,0,,7,39,11,0,0,0,1,0,8,1
Michel Aebischer,SUI,MF,Bologna,27-306,1997,0.3,14,0,1,10,3,1,14,0,0,,0,,10,27,0,0,0,0,2,0,11,1
Emanuel Aiwum,AUT,DF,Sturm Graz,23-318,2000,4.0,195,28,128,62,5,1,195,0,0,,0,,111,412,182,0,0,0,1,0,119,1
Ludovic Ajorque,FRA,FW,Brest,30-256,1994,3.7,109,0,2,44,63,21,109,2,2,100.0,0,0.0,42,178,50,2,1,0,5,0,75,20
Manuel Akanji,SUI,DF,Manchester City,29-111,1995,3.7,359,7,70,207,83,5,359,2,1,50.0,1,50.0,248,1237,762,6,13,0,2,0,275,1
Nathan Aké,NED,DF,Manchester City,29-263,1995,0.8,96,5,15,32,49,1,96,0,0,,0,,77,290,134,0,5,0,0,0,82,1
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-256,2002,4.0,241,2,14,102,128,14,241,16,4,25.0,9,56.3,128,888,584,17,15,4,8,5,182,29
Kerem Aktürkoğlu,TUR,FW,Benfica,26-017,1998,3.4,126,3,23,65,40,9,126,4,0,0.0,4,100.0,86,327,155,5,4,2,10,2,81,11
Trent Alexander-Arnold,ENG,DF,Liverpool,26-031,1998,3.5,239,5,61,122,58,1,239,1,1,100.0,0,0.0,148,622,380,3,6,0,5,3,160,15
Alisson,BRA,GK,Liverpool,32-036,1992,2.0,91,67,90,1,0,0,91,0,0,,0,,57,207,144,0,0,0,0,0,59,0
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-281,2000,3.1,105,0,10,41,57,12,105,4,1,25.0,3,75.0,64,361,181,4,7,0,5,3,74,16
Mohamed Aly Camara,GUI,DF,Young Boys,27-071,1997,2.0,100,31,67,30,4,1,100,0,0,,0,,52,285,198,2,2,0,2,0,57,0
Jordan Amavi,FRA,DF,Brest,30-243,1994,0.9,64,2,15,29,20,1,64,0,0,,0,,33,149,76,1,0,1,1,1,33,5
Zeki Amdouni,SUI,FW,Benfica,23-339,2000,1.2,36,0,7,16,13,8,36,4,1,25.0,2,50.0,22,128,53,3,1,3,3,2,27,5
Benjamin André,FRA,MF,Lille,34-096,1990,4.0,248,14,58,157,35,1,248,3,2,66.7,1,33.3,152,690,237,2,3,0,9,6,171,6
Robert Andrich,GER,MF,Leverkusen,30-046,1994,1.4,79,11,36,31,12,0,79,0,0,,0,,22,82,26,0,1,0,0,0,40,0
Waldemar Anton,GER,DF,Dortmund,28-110,1996,1.8,149,21,78,69,4,1,149,3,3,100.0,0,0.0,105,503,225,1,2,0,0,0,117,0
Maximiliano Araújo,URU,"DF,MF",Sporting CP,24-266,2000,1.9,85,4,28,31,29,4,85,6,4,66.7,2,33.3,43,258,152,3,1,0,4,3,51,15
Tomás Araújo,POR,DF,Benfica,22-175,2002,3.0,222,29,118,98,8,0,222,1,1,100.0,0,0.0,144,620,342,1,1,0,3,4,157,2
Marko Arnautović,AUT,FW,Inter,35-202,1989,1.4,50,1,6,16,29,5,49,2,2,100.0,0,0.0,31,111,46,1,1,0,1,3,38,10
Marco Asensio,ESP,FW,Paris S-G,28-291,1996,1.4,48,0,3,20,25,5,48,1,1,100.0,0,0.0,19,99,40,2,1,0,1,1,32,6
Kristjan Asllani,ALB,MF,Inter,22-243,2002,0.5,33,2,15,17,1,0,33,0,0,,0,,21,102,53,0,0,0,0,1,19,0
Yaser Asprilla,COL,"FW,MF",Girona,20-354,2003,0.5,29,0,1,19,9,0,29,4,2,50.0,1,25.0,19,99,56,1,0,0,1,5,20,6
Zachary Athekame,SUI,DF,Young Boys,19-330,2004,2.4,122,11,50,45,28,4,122,2,1,50.0,1,50.0,53,295,110,2,3,2,3,3,61,9
Carlos Augusto,BRA,DF,Inter,25-305,1999,2.6,116,9,49,34,34,4,116,2,1,50.0,1,50.0,77,329,150,3,4,0,5,2,85,16
Yann Aurel Bisseck,GER,DF,Inter,23-344,2000,3.0,193,39,116,59,19,5,193,2,1,50.0,1,50.0,122,612,278,4,3,1,2,0,130,6
Fredrik Aursnes,NOR,MF,Benfica,28-333,1995,3.4,195,11,59,101,39,3,195,6,5,83.3,1,16.7,121,746,351,11,3,0,1,2,136,7
Ayman Azhil,MAR,MF,Dortmund,23-211,2001,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Isaac Babadi,NED,"FW,MF",PSV Eindhoven,19-215,2005,0.2,14,1,2,10,2,0,14,0,0,,0,,9,40,10,0,0,0,0,1,9,0
Alexander Bah,DEN,DF,Benfica,26-334,1997,2.3,174,7,44,82,48,7,174,5,3,60.0,0,0.0,88,375,187,4,2,1,3,0,107,14
Samson Baidoo,AUT,DF,RB Salzburg,20-221,2004,2.8,207,21,100,103,5,3,207,2,2,100.0,0,0.0,124,594,300,3,1,0,0,0,134,1
Leon Bailey,JAM,FW,Aston Villa,27-090,1997,2.1,75,0,9,31,36,6,75,3,1,33.3,2,66.7,41,318,167,5,3,1,3,6,52,10
Stefan Bajcetic,ESP,MF,RB Salzburg,20-016,2004,1.4,121,4,21,79,22,1,121,5,3,60.0,1,20.0,96,527,232,1,2,0,1,1,92,4
Kenan Bajrić,SVN,DF,Slovan Bratislava,29-323,1994,4.0,181,40,107,69,6,3,181,2,2,100.0,0,0.0,106,548,258,4,1,0,1,2,114,1
Johan Bakayoko,BEL,FW,PSV Eindhoven,21-201,2003,3.9,194,1,21,71,106,15,194,15,8,53.3,6,40.0,134,1057,614,23,12,6,6,3,149,49
Mitchel Bakker,NED,"DF,FW",Lille,24-140,2000,2.0,92,2,19,48,26,0,92,1,0,0.0,1,100.0,50,262,146,4,4,0,1,1,57,10
