Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Mohamed Abdelmoneim,EGY,DF,Nice,25-278,1999,1.0,68,4,26,36,6,1,68,2,1,50.0,1,50.0,43,185,107,2,0,0,0,0,42,1
Ali Abdi,TUN,"MF,DF",Nice,30-321,1993,0.5,38,0,5,15,18,0,38,2,1,50.0,1,50.0,26,139,78,2,2,0,1,0,27,5
Taha Abdi Ali,SWE,FW,Malmö,26-127,1998,1.0,72,0,16,20,38,7,72,11,4,36.4,7,63.6,48,318,106,5,7,2,6,3,60,13
Jalal Abdulai,GHA,FW,Elfsborg,19-305,2005,0.9,27,2,4,9,16,3,27,5,0,0.0,5,100.0,20,185,99,2,2,1,2,0,18,5
Saud Abdulhamid,KSA,DF,Roma,25-110,1999,0.9,75,3,14,24,37,1,75,2,2,100.0,0,0.0,53,249,92,3,0,0,2,0,50,6
Mohammad Abu Fani,ISR,MF,Ferencváros,26-192,1998,2.7,180,6,56,76,50,3,180,8,5,62.5,3,37.5,121,598,267,3,5,2,4,8,119,4
Emmanuel Addai,GHA,"MF,FW",Qarabağ,23-096,2001,0.5,45,0,2,11,32,7,45,4,1,25.0,3,75.0,32,200,60,3,4,1,5,1,38,6
Jayden Addai,NED,FW,AZ Alkmaar,19-071,2005,0.4,21,0,5,8,10,2,21,2,0,0.0,2,100.0,12,70,38,3,1,1,4,0,15,6
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-188,2003,0.7,21,0,0,9,12,0,21,2,0,0.0,2,100.0,17,62,26,0,0,0,2,1,19,9
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-043,2003,2.6,87,1,4,32,55,10,87,17,11,64.7,6,35.3,51,369,175,8,5,3,5,11,64,17
