Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Rodrigo Abascal,URU,DF,Boavista,30-296,1994,8.0,438,57,252,143,48,6,438,5,3,60.0,2,40.0,207,890,429,5,2,0,3,0,215,8
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-289,2003,0.1,6,1,1,1,4,1,6,0,0,,0,,4,13,5,0,0,0,0,0,4,1
Giorgi Aburjania,GEO,MF,AVS Futebol,29-308,1995,3.2,150,6,28,97,27,3,150,2,1,50.0,0,0.0,61,255,169,3,3,0,2,1,88,4
Adriano,BRA,MF,Santa Clara,25-001,1999,8.0,398,17,96,249,57,3,398,12,3,25.0,9,75.0,229,1260,626,12,9,1,7,6,274,10
Lucas Áfrico,BRA,DF,Farense,29-274,1995,7.8,374,70,253,100,23,13,374,2,0,0.0,1,50.0,178,809,402,2,1,0,3,0,233,2
Salvador Agra,POR,"MF,DF",Boavista,32-360,1991,10.0,395,0,50,161,189,19,395,15,6,40.0,8,53.3,224,1347,637,20,21,6,23,15,237,57
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-130,2003,2.3,127,1,24,62,42,6,127,7,2,28.6,5,71.4,74,330,165,4,2,1,13,3,76,10
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-305,2000,4.3,138,3,9,72,57,16,138,21,7,33.3,14,66.7,78,399,114,4,4,3,12,8,106,17
Babatunde Akinsola,NGA,"FW,MF",AVS Futebol,21-240,2003,2.7,86,2,16,26,47,6,86,14,4,28.6,9,64.3,50,295,131,3,4,1,10,8,54,19
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-015,1998,3.8,191,0,13,66,114,37,191,14,6,42.9,8,57.1,140,636,326,12,9,5,9,6,140,40
Léo Alaba,BRA,DF,AVS Futebol,25-127,1999,3.7,241,13,81,96,67,1,241,6,1,16.7,5,83.3,102,490,252,2,3,0,10,4,115,20
Alan,BRA,MF,Moreirense,24-242,2000,7.6,402,0,33,253,120,11,401,8,7,87.5,1,12.5,264,1068,491,8,10,0,18,16,306,22
Gonçalo Almeida,POR,"DF,MF",Boavista,21-183,2003,2.2,118,4,32,53,34,3,118,2,1,50.0,1,50.0,63,291,150,3,4,1,7,0,61,9
Pedro Álvaro,POR,DF,Estoril,24-248,2000,10.0,604,103,414,176,16,10,604,2,0,0.0,2,100.0,342,1374,722,3,2,0,6,3,393,1
Pedro Amaral,POR,DF,Estoril,27-072,1997,9.1,515,30,175,213,131,9,515,9,1,11.1,8,88.9,264,1139,562,14,15,1,11,6,307,40
Zeki Amdouni,SUI,"MF,FW",Benfica,23-337,2000,1.2,54,0,5,22,27,7,54,1,0,0.0,1,100.0,31,149,67,1,2,1,3,4,40,9
Artur Jorge Marques Amorim,POR,DF,Farense,30-083,1994,6.5,300,49,205,84,13,7,300,0,0,,0,,122,538,239,1,1,0,4,0,163,0
Andrew,BRA,GK,Gil Vicente FC,23-127,2001,10.0,409,355,409,0,0,0,409,0,0,,0,,227,1047,546,0,0,0,0,0,208,0
Jeremy Antonisse,CUW,"FW,MF",Moreirense,22-221,2002,3.2,136,6,29,62,48,14,136,11,4,36.4,6,54.5,80,606,249,11,7,3,9,2,88,19
Arvin Appiah,ENG,"FW,MF",Nacional,23-305,2001,4.6,148,4,20,67,62,16,148,15,6,40.0,5,33.3,95,678,345,13,8,6,13,4,98,29
Óscar Aranda,ESP,FW,Famalicão,22-190,2002,8.9,348,6,36,159,162,15,348,66,31,47.0,32,48.5,239,1447,706,28,18,6,29,18,271,45
Henrique Araújo,POR,FW,Arouca,22-291,2002,3.9,80,1,1,40,39,19,80,6,4,66.7,2,33.3,50,210,94,4,1,5,11,5,68,18
Maximiliano Araújo,URU,"MF,DF",Sporting CP,24-264,2000,3.1,169,3,31,40,101,20,169,15,7,46.7,7,46.7,94,410,212,4,5,2,4,4,100,25
Tomás Araújo,POR,DF,Benfica,22-173,2002,6.9,504,18,167,292,47,6,504,9,6,66.7,3,33.3,304,1642,1047,11,9,1,2,3,339,10
Telmo Arcanjo,CPV,FW,Vitória,23-137,2001,2.0,100,0,7,33,62,9,100,5,2,40.0,2,40.0,65,448,202,6,4,1,1,2,76,21
Bright Arrey-Mbi,GER,DF,Braga,21-224,2003,4.6,323,24,141,177,10,5,323,3,2,66.7,1,33.3,201,853,343,2,1,0,3,1,240,0
Gustavo Assuncao,POR,MF,AVS Futebol,24-220,2000,5.2,303,7,87,189,32,3,302,8,2,25.0,6,75.0,130,489,249,1,1,0,10,2,191,2
Otavio Ataide,BRA,DF,Porto,22-198,2002,5.0,384,20,125,217,44,7,384,3,2,66.7,1,33.3,260,1150,692,4,4,0,2,0,302,5
João Aurélio,POR,MF,Nacional,36-080,1988,0.0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Fredrik Aursnes,NOR,"MF,FW",Benfica,28-331,1995,6.0,399,8,62,171,169,21,399,11,4,36.4,7,63.6,244,1231,597,17,15,3,5,4,294,47
Miguel Baeza,ESP,"MF,FW",Nacional,24-223,2000,2.3,72,1,11,37,25,2,72,2,1,50.0,1,50.0,35,180,105,2,1,0,1,1,45,4
Alexander Bah,DEN,DF,Benfica,26-332,1997,6.4,540,4,91,217,235,20,540,19,9,47.4,10,52.6,252,1131,608,22,11,4,9,8,319,58
Elves Baldé,GNB,"MF,FW",Farense,25-034,1999,3.0,110,4,17,41,57,8,110,10,5,50.0,4,40.0,52,439,247,4,10,1,11,7,64,6
Robson Bambu,BRA,DF,Braga,26-359,1997,2.0,177,10,62,109,7,1,177,0,0,,0,,117,683,433,2,4,1,1,1,137,1
Simon Banza,COD,FW,Braga,28-084,1996,0.2,5,0,0,2,3,1,5,0,0,,0,,5,7,5,0,0,0,2,1,6,1
Rafael Barbosa,POR,"MF,FW",Farense,28-221,1996,3.7,176,0,22,75,84,11,176,9,3,33.3,6,66.7,93,494,208,5,3,4,2,7,108,19
Leandro Barreiro Martins,LUX,MF,Benfica,24-307,2000,3.7,250,5,40,150,61,8,250,6,5,83.3,1,16.7,146,692,295,1,4,0,2,4,184,10
Gil Bastião Dias,POR,FW,Famalicão,28-038,1996,4.5,221,8,36,87,103,18,221,16,8,50.0,8,50.0,139,1047,499,18,12,9,12,8,140,38
Gabriel Batista,BRA,GK,Santa Clara,26-155,1998,10.0,296,257,294,2,0,0,296,0,0,,0,,148,651,399,0,0,0,0,0,96,0
Ricardo Batista,POR,GK,Casa Pia,37-352,1986,1.0,38,30,38,0,0,0,38,0,0,,0,,23,116,62,0,0,0,0,0,19,0
Yanis Begraoui,MAR,FW,Estoril,23-124,2001,6.3,184,3,18,109,60,15,183,21,7,33.3,14,66.7,109,580,208,8,5,1,13,4,138,25
Gui Beleza,POR,MF,Gil Vicente FC,17-332,2006,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Bachir Belloumi,ALG,FW,Farense,22-157,2002,3.0,127,5,17,46,67,3,127,11,3,27.3,8,72.7,70,475,273,8,8,1,11,3,71,20
Fahem Benaissa Yahia,FRA,DF,Casa Pia,22-190,2002,0.0,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Beni,ANG,MF,Casa Pia,22-168,2002,4.2,248,6,70,156,26,0,248,13,7,53.8,5,38.5,140,559,195,4,4,0,9,4,165,3
Álex Bermejo,ESP,"MF,FW",Farense,25-330,1998,4.1,145,2,13,68,65,10,145,14,4,28.6,10,71.4,82,521,256,8,7,1,12,3,92,25
Simão Bertelli,BRA,GK,AVS Futebol,31-156,1993,4.0,137,126,135,2,0,0,137,0,0,,0,,72,241,133,0,0,0,0,0,54,0
Jan-Niklas Beste,GER,"FW,DF",Benfica,25-306,1999,2.6,166,2,17,51,99,8,166,6,2,33.3,4,66.7,107,575,300,13,6,1,5,1,121,36
José Bica,POR,"MF,FW",Vitória,21-142,2003,0.0,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Raúl Blanco,ESP,FW,Casa Pia,23-097,2001,2.8,96,2,7,47,44,4,96,3,1,33.3,2,66.7,56,298,118,2,5,0,5,2,68,14
Kévin Boma,TOG,DF,Estoril,21-351,2002,6.0,288,66,192,87,9,5,288,2,0,0.0,2,100.0,156,503,252,0,1,0,4,2,182,0
Kiko Bondoso,POR,"FW,MF",Rio Ave,28-354,1995,6.2,211,0,21,126,70,16,211,13,3,23.1,8,61.5,133,778,457,16,12,3,8,11,158,42
Toni Borevkovic,CRO,DF,Vitória,27-140,1997,9.0,566,70,289,268,10,6,566,2,1,50.0,1,50.0,335,1501,816,3,2,0,0,1,398,0
Gonçalo Borges,POR,FW,Porto,23-221,2001,1.5,75,0,1,13,62,11,75,6,2,33.3,4,66.7,53,382,206,11,4,4,5,4,57,25
Róbert Boženík,SVK,FW,Boavista,24-353,1999,9.9,265,11,19,123,124,30,265,10,3,30.0,7,70.0,164,698,158,5,4,3,41,6,189,49
Daniel Bragança,POR,MF,Sporting CP,25-162,1999,7.1,517,7,71,287,162,26,517,11,8,72.7,2,18.2,327,1290,665,6,17,1,6,5,415,17
Bruno Brigido,BRA,GK,Estrela,33-241,1991,10.0,330,293,330,0,0,0,330,0,0,,0,,146,739,403,0,0,0,2,0,108,0
Rafael Brito,POR,MF,Casa Pia,22-291,2002,2.8,119,8,39,57,25,1,119,4,2,50.0,2,50.0,44,151,81,1,3,0,1,2,54,2
