Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ahmed Abdullahi,NGA,MF,Gent,20-136,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francis Abu,GHA,MF,Cercle Brugge,23-189,2001,7.8,0,6,0,0.0,0.77,0.00,0.00,,23.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Desmond Acquah,BEL,"MF,FW",Dender,22-102,2002,1.5,0,1,1,100.0,0.65,0.65,0.00,0.00,17.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Noah Adedeji,BEL,"FW,MF",Genk,19-136,2005,0.3,1,1,1,100.0,3.21,3.21,1.00,1.00,8.0,0,0,0,0.8,0.8,0.77,+0.2,+0.2
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-345,2003,7.2,0,9,2,22.2,1.26,0.28,0.00,0.00,23.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Takahiro Akimoto,JPN,DF,OH Leuven,26-276,1998,10.5,0,9,2,22.2,0.86,0.19,0.00,0.00,10.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Ali Akman,TUR,"MF,DF",Dender,22-198,2002,0.4,1,1,1,100.0,2.73,2.73,1.00,1.00,2.3,0,0,0,0.1,0.1,0.08,+0.9,+0.9
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-118,2004,6.8,1,10,5,50.0,1.46,0.73,0.10,0.20,17.7,0,0,0,1.3,1.3,0.14,-0.3,-0.3
Toby Alderweireld,BEL,DF,Antwerp,35-245,1989,12.0,2,10,3,30.0,0.83,0.25,0.20,0.67,10.2,0,0,0,0.5,0.5,0.05,+1.5,+1.5
Ryan Alebiosu,ENG,DF,Kortrijk,22-321,2001,4.3,0,2,0,0.0,0.47,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
