Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Abner,BRA,DF,Juventude,20-181,2004,3,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luiz Adriano,BRA,FW,Vitória,37-188,1987,8,1,202,2.2,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,1,4,9,0.00,0.45,0.45,0.00,0.45,0.06,0.04,0.09,0.06,0.09
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adson,BRA,FW,Vasco da Gama,24-011,2000,20,14,"1,224",13.6,2,1,3,2,0,0,2,0,1.5,1.5,2.6,4.1,42,72,80,0.15,0.07,0.22,0.15,0.22,0.11,0.19,0.30,0.11,0.30
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,15,6,638,7.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,0,7,22,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.29,0.27,0.29
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,6,2,205,2.3,1,0,1,1,0,0,0,0,1.6,1.6,0.1,1.6,6,3,5,0.44,0.00,0.44,0.44,0.44,0.69,0.03,0.72,0.69,0.72
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,22,18,"1,659",18.4,7,3,10,5,2,2,5,1,5.6,4.0,1.7,5.7,32,22,128,0.38,0.16,0.54,0.27,0.43,0.30,0.09,0.39,0.22,0.31
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,4,2,214,2.4,1,1,2,0,1,1,0,1,1.1,0.3,0.1,0.4,8,11,12,0.42,0.42,0.84,0.00,0.42,0.45,0.06,0.51,0.12,0.18
Alerrandro,BRA,FW,Vitória,24-279,2000,26,24,"1,700",18.9,7,4,11,4,3,3,3,0,6.1,3.7,2.2,5.9,10,34,62,0.37,0.21,0.58,0.21,0.42,0.32,0.11,0.44,0.20,0.31
Caio Alexandre,BRA,MF,Bahia,25-236,1999,28,27,"2,252",25.0,2,0,2,2,0,0,6,0,0.9,0.9,1.9,2.8,65,181,38,0.08,0.00,0.08,0.08,0.08,0.04,0.07,0.11,0.04,0.11
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,22,21,"1,734",19.3,0,0,0,0,0,0,6,0,0.2,0.2,0.4,0.6,19,69,51,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Alexsander,BRA,MF,Fluminense,21-009,2003,15,7,791,8.8,0,1,1,0,0,0,4,0,0.4,0.4,0.9,1.3,15,36,24,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.15,0.04,0.15
Alisson,BRA,GK,Criciúma,29-131,1995,4,3,296,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alisson,BRA,"DF,FW",Atlético Mineiro,19-026,2005,12,5,558,6.2,0,0,0,0,0,0,0,0,1.2,1.2,0.4,1.6,24,25,65,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.26,0.19,0.26
Alisson,BRA,MF,São Paulo,31-114,1993,16,16,"1,353",15.0,1,2,3,1,0,0,4,0,0.5,0.5,0.5,1.0,16,87,20,0.07,0.13,0.20,0.07,0.20,0.04,0.03,0.07,0.04,0.07
Allan,BRA,MF,Flamengo,27-228,1997,21,14,"1,217",13.5,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,14,66,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Allan,BRA,MF,Botafogo (RJ),33-283,1991,9,2,276,3.1,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,2,12,4,0.00,0.33,0.33,0.00,0.33,0.01,0.05,0.06,0.01,0.06
Allano,BRA,"FW,MF",Criciúma,29-176,1995,20,11,"1,058",11.8,0,2,2,0,0,0,9,2,1.7,1.7,1.8,3.5,55,51,118,0.00,0.17,0.17,0.00,0.17,0.15,0.15,0.30,0.15,0.30
Thiago Almada,ARG,"FW,MF",Botafogo (RJ),23-174,2001,8,7,586,6.5,1,0,1,1,0,1,0,0,1.8,1.0,0.8,1.8,25,53,43,0.15,0.00,0.15,0.15,0.15,0.27,0.12,0.40,0.15,0.27
Júnior Alonso,PAR,DF,Atlético Mineiro,31-251,1993,9,9,776,8.6,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,15,42,5,0.12,0.00,0.12,0.12,0.12,0.03,0.00,0.03,0.03,0.03
Anderson,BRA,GK,Cruzeiro,26-226,1998,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Felipe Anderson,BRA,"FW,MF",Palmeiras,31-185,1993,12,8,763,8.5,2,1,3,2,0,0,0,0,1.5,1.5,2.3,3.8,34,30,76,0.24,0.12,0.35,0.24,0.35,0.17,0.28,0.45,0.17,0.45
Kervin Andrade,VEN,MF,Fortaleza,19-187,2005,10,4,415,4.6,1,1,2,1,0,0,2,0,1.0,1.0,1.0,2.1,4,12,36,0.22,0.22,0.43,0.22,0.43,0.22,0.23,0.45,0.22,0.45
Rodrigo Andrade,BRA,"MF,FW",Vitória,27-135,1997,6,4,385,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,15,12,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11
André,BRA,MF,Fluminense,23-093,2001,12,12,"1,072",11.9,0,1,1,0,0,0,5,0,0.1,0.1,0.1,0.2,9,64,7,0.00,0.08,0.08,0.00,0.08,0.01,0.01,0.02,0.01,0.02
José Andrés Martínez,VEN,MF,Corinthians,30-071,1994,5,5,381,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,4,22,3,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Wilker Ángel,VEN,DF,Criciúma,31-213,1993,11,10,879,9.8,1,0,1,1,0,0,2,0,0.5,0.5,0.0,0.5,1,15,3,0.10,0.00,0.10,0.10,0.10,0.05,0.00,0.05,0.05,0.05
Anthoni,BRA,GK,Internacional,22-268,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Antônio,BRA,MF,São Paulo,24-126,2000,6,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,6,23,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Guilherme Arana,BRA,DF,Atlético Mineiro,27-186,1997,14,11,"1,122",12.5,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.5,40,84,106,0.08,0.08,0.16,0.08,0.16,0.04,0.07,0.12,0.04,0.12
Charles Aránguiz,CHI,MF,Internacional,35-183,1989,7,2,287,3.2,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,1,9,10,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16
Luiz Araújo,BRA,"FW,MF",Flamengo,28-137,1996,23,15,"1,505",16.7,3,5,8,3,0,0,3,0,2.1,2.1,4.6,6.7,52,70,119,0.18,0.30,0.48,0.18,0.48,0.13,0.27,0.40,0.13,0.40
Matheus Araújo,BRA,MF,Corinthians,22-148,2002,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
