Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Abner,BRA,DF,Juventude,20-181,2004,1.2,2,0,2,0,0,2,4,50.0,2,1,1,0,3,5,10,1
Luiz Adriano,BRA,FW,Vitória,37-188,1987,2.2,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,0.8,1,1,1,0,0,0,0,,0,1,0,1,1,2,6,0
Adson,BRA,FW,Vasco da Gama,24-011,2000,13.6,25,20,11,9,5,5,18,27.8,13,15,2,13,6,31,9,0
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,7.1,5,1,1,2,2,0,5,0.0,5,2,0,2,1,6,14,0
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,2.3,3,2,2,1,0,1,2,50.0,1,3,1,2,0,3,2,0
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,18.4,7,3,0,3,4,3,8,37.5,5,8,1,7,6,13,10,0
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,2.4,10,5,5,4,1,4,10,40.0,6,5,1,4,0,10,2,0
Alerrandro,BRA,FW,Vitória,24-279,2000,18.9,16,11,4,11,1,6,19,31.6,13,20,5,15,8,24,17,0
Caio Alexandre,BRA,MF,Bahia,25-236,1999,25.0,52,26,22,28,2,26,61,42.6,35,19,1,18,9,61,17,1
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,19.3,41,27,28,11,2,31,50,62.0,19,28,3,25,29,70,49,0
Alexsander,BRA,MF,Fluminense,21-009,2003,8.8,24,12,9,9,6,11,29,37.9,18,13,3,10,9,33,9,0
Alisson,BRA,GK,Criciúma,29-131,1995,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Alisson,BRA,"DF,FW",Atlético Mineiro,19-026,2005,6.2,12,10,5,2,5,3,8,37.5,5,3,0,3,4,16,4,0
Alisson,BRA,MF,São Paulo,31-114,1993,15.0,25,16,12,11,2,15,29,51.7,14,13,3,10,13,38,13,0
Allan,BRA,MF,Flamengo,27-228,1997,13.5,26,13,9,15,2,14,23,60.9,9,13,4,9,17,43,18,1
Allan,BRA,MF,Botafogo (RJ),33-283,1991,3.1,15,7,7,6,2,8,13,61.5,5,5,2,3,5,20,5,0
Allano,BRA,"FW,MF",Criciúma,29-176,1995,11.8,26,17,12,12,2,13,26,50.0,13,16,1,15,2,28,6,0
Thiago Almada,ARG,"FW,MF",Botafogo (RJ),23-174,2001,6.5,1,0,1,0,0,0,15,0.0,15,4,0,4,3,4,1,0
Júnior Alonso,PAR,DF,Atlético Mineiro,31-251,1993,8.6,14,8,6,8,0,9,17,52.9,8,4,3,1,12,26,28,0
Anderson,BRA,GK,Cruzeiro,26-226,1998,15.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,3
Felipe Anderson,BRA,"FW,MF",Palmeiras,31-185,1993,8.5,21,13,8,9,4,9,22,40.9,13,17,3,14,7,28,11,0
Kervin Andrade,VEN,MF,Fortaleza,19-187,2005,4.6,2,1,1,1,0,2,5,40.0,3,6,0,6,4,6,2,0
Rodrigo Andrade,BRA,"MF,FW",Vitória,27-135,1997,4.3,6,5,4,1,1,4,5,80.0,1,8,3,5,3,9,3,0
André,BRA,MF,Fluminense,23-093,2001,11.9,24,16,5,17,2,8,14,57.1,6,16,8,8,15,39,14,0
José Andrés Martínez,VEN,MF,Corinthians,30-071,1994,4.2,11,5,6,3,2,6,10,60.0,4,5,2,3,6,17,6,0
Wilker Ángel,VEN,DF,Criciúma,31-213,1993,9.8,9,5,6,3,0,6,10,60.0,4,24,14,10,12,21,61,1
Anthoni,BRA,GK,Internacional,22-268,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Marcos Antônio,BRA,MF,São Paulo,24-126,2000,5.0,6,4,3,3,0,3,10,30.0,7,8,2,6,2,8,12,0
Guilherme Arana,BRA,DF,Atlético Mineiro,27-186,1997,12.5,21,15,11,6,4,10,19,52.6,9,12,3,9,13,34,14,0
Charles Aránguiz,CHI,MF,Internacional,35-183,1989,3.2,6,5,0,5,1,3,8,37.5,5,4,1,3,1,7,4,0
Luiz Araújo,BRA,"FW,MF",Flamengo,28-137,1996,16.7,36,24,14,15,7,12,27,44.4,15,24,3,21,20,56,14,0
Matheus Araújo,BRA,MF,Corinthians,22-148,2002,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Michel Araujo,URU,"DF,FW",São Paulo,28-019,1996,9.1,27,18,14,11,2,10,29,34.5,19,10,0,10,6,33,15,0
Alexander Aravena,CHI,"FW,MF",Grêmio,22-041,2002,3.5,4,4,2,2,0,1,3,33.3,2,1,0,1,3,7,4,0
Robert Arboleda,ECU,DF,São Paulo,32-361,1991,22.7,30,18,17,13,0,14,22,63.6,8,21,12,9,21,51,87,2
Lucas Arcanjo,BRA,GK,Vitória,26-070,1998,28.0,1,0,1,0,0,1,4,25.0,3,0,0,0,1,2,7,3
Matias Arezo,URU,"FW,MF",Grêmio,21-331,2002,0.8,2,1,1,0,1,1,2,50.0,1,1,0,1,0,2,1,0
Jhon Arias,COL,FW,Fluminense,27-026,1997,17.9,32,18,10,10,12,15,30,50.0,15,22,1,21,9,41,9,0
Santiago Arias,COL,DF,Bahia,32-278,1992,17.2,35,25,20,12,3,16,28,57.1,12,13,5,8,14,49,40,1
Arthur,BRA,FW,Cruzeiro,26-106,1998,14.1,16,10,6,5,5,5,13,38.5,8,8,1,7,3,19,6,0
Arthur,BRA,FW,Criciúma,32-124,1992,15.1,4,2,0,3,1,1,3,33.3,2,11,1,10,1,5,17,0
Arthur,BRA,FW,Corinthians,21-219,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Arthur,BRA,"FW,MF",Red Bull Bragantino,21-219,2003,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Filipe Augusto,BRA,MF,Cuiabá,31-066,1993,4.3,5,2,4,0,1,2,6,33.3,4,5,0,5,4,9,9,0
Renato Augusto,BRA,"MF,FW",Fluminense,36-252,1988,3.5,8,5,3,1,4,5,9,55.6,4,0,0,0,5,13,3,0
Yarlen Augusto,BRA,MF,Botafogo (RJ),18-240,2006,0.9,2,1,0,1,1,0,2,0.0,2,2,0,2,1,3,0,0
Pablo Baianinho,BRA,"MF,DF",Vitória,21-075,2003,0.3,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Gabriel Baralhas,BRA,MF,Atl Goianiense,26-007,1998,19.6,45,23,14,27,4,15,40,37.5,25,27,5,22,27,72,25,2
Danilo Barbosa,BRA,MF,Botafogo (RJ),28-232,1996,12.7,29,22,17,11,1,14,19,73.7,5,15,8,7,25,54,35,0
Diogo Barbosa,BRA,DF,Fluminense,32-061,1992,12.6,22,16,14,5,3,14,25,56.0,11,6,1,5,8,30,27,0
Gabriel Barbosa,BRA,"FW,MF",Flamengo,28-048,1996,5.3,4,2,2,2,0,2,6,33.3,4,2,0,2,0,4,0,0
Lucas Barbosa,BRA,FW,Juventude,23-238,2001,20.9,54,32,16,24,14,25,57,43.9,32,46,2,44,16,70,17,1
Alexander Barboza,ARG,DF,Botafogo (RJ),29-215,1995,15.6,17,10,11,5,1,9,13,69.2,4,22,16,6,19,36,87,0
Mateo Barcia,URU,"MF,FW",Criciúma,23-241,2001,0.3,4,3,1,3,0,3,5,60.0,2,0,0,0,1,5,1,0
Álvaro Barreal,ARG,"MF,FW",Cruzeiro,24-061,2000,13.1,31,19,11,13,7,11,27,40.7,16,36,4,32,4,35,16,1
Barreto,BRA,MF,Criciúma,28-312,1995,19.5,37,25,21,12,4,20,44,45.5,24,38,9,29,13,50,28,0
Gabriel Barros,BRA,"FW,MF",Atl Goianiense,22-358,2001,0.9,2,1,2,0,0,2,5,40.0,3,1,0,1,0,2,0,0
Bastos,ANG,DF,Botafogo (RJ),33-204,1991,25.1,29,24,16,10,3,16,27,59.3,11,24,17,7,26,55,102,1
Rodrigo Battaglia,ARG,"DF,MF",Atlético Mineiro,33-097,1991,20.4,32,20,19,12,1,19,31,61.3,12,23,13,10,10,42,79,2
