Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Alisson,BRA,GK,Criciúma,29-131,1995,4,3,296,3.3,4,1.22,13,9,69.2,1,2,0,0,0.0,0,0,0,0,
Anderson,BRA,GK,Cruzeiro,26-226,1998,15,15,"1,350",15.0,17,1.13,58,42,72.4,8,2,5,6,40.0,1,1,0,0,0.0
Anthoni,BRA,GK,Internacional,22-268,2002,2,2,180,2.0,1,0.50,5,3,80.0,1,1,0,1,50.0,1,0,1,0,100.0
Lucas Arcanjo,BRA,GK,Vitória,26-070,1998,28,28,"2,520",28.0,44,1.57,128,84,68.0,7,5,16,5,17.9,4,3,0,1,0.0
Muriel Becker,BRA,GK,Vitória,37-246,1987,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Bento,BRA,GK,Ath Paranaense,25-129,1999,7,7,630,7.0,4,0.57,25,20,84.0,4,1,2,4,57.1,1,0,1,0,100.0
Rafael Cabral,BRA,GK,Grêmio,34-150,1990,6,5,457,5.1,8,1.58,23,15,69.6,1,0,4,1,20.0,1,1,0,0,0.0
Caíque,BRA,GK,Grêmio,27-078,1997,4,4,353,3.9,6,1.53,18,13,66.7,2,0,2,0,0.0,0,0,0,0,
Cássio,BRA,GK,Corinthians,37-133,1987,3,3,270,3.0,3,1.00,14,11,78.6,0,1,2,1,33.3,0,0,0,0,
Cássio,BRA,GK,Cruzeiro,37-133,1987,14,14,"1,260",14.0,12,0.86,64,52,82.8,4,5,5,5,35.7,1,1,0,0,0.0
Mateus Claus,BRA,GK,Juventude,30-075,1994,4,3,316,3.5,5,1.42,26,21,80.8,2,1,0,0,0.0,0,0,0,0,
Matheus Cunha,BRA,GK,Flamengo,23-146,2001,2,2,180,2.0,3,1.50,6,3,50.0,1,0,1,1,50.0,0,0,0,0,
Matheus Donelli,BRA,GK,Corinthians,22-153,2002,7,7,630,7.0,12,1.71,40,27,72.5,1,2,4,0,0.0,2,1,1,0,50.0
Éverson,BRA,GK,Atlético Mineiro,34-087,1990,18,18,"1,612",17.9,23,1.28,61,38,67.2,5,9,4,5,27.8,3,3,0,0,0.0
Fábio,BRA,GK,Fluminense,44-017,1980,28,28,"2,520",28.0,30,1.07,137,107,79.6,8,6,14,8,28.6,2,2,0,0,0.0
Fabrício,BRA,GK,Red Bull Bragantino,24-124,2000,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,
Fabrício,BRA,GK,Internacional,38-284,1986,8,8,720,8.0,8,1.00,34,26,79.4,2,3,3,3,37.5,1,1,0,0,0.0
Marcos Felipe,BRA,GK,Bahia,28-187,1996,29,29,"2,610",29.0,33,1.14,126,92,74.6,13,6,10,9,31.0,2,1,1,0,50.0
Gatito Fernández,PAR,GK,Botafogo (RJ),36-202,1988,3,3,270,3.0,4,1.33,9,5,55.6,2,0,1,1,33.3,0,0,0,0,
Gabriel,BRA,GK,Juventude,32-020,1992,26,26,"2,294",25.5,34,1.33,127,91,78.7,6,9,11,6,23.1,9,7,2,0,22.2
Gustavo,BRA,GK,Criciúma,31-221,1993,26,26,"2,312",25.7,38,1.48,126,87,72.2,8,6,12,5,19.2,5,3,2,0,40.0
Jandrei,BRA,GK,São Paulo,31-230,1993,12,12,"1,080",12.0,14,1.17,49,36,73.5,7,2,3,4,33.3,1,1,0,0,0.0
Léo Jardim,BRA,GK,Vasco da Gama,29-211,1995,29,29,"2,610",29.0,41,1.41,153,112,73.2,10,7,12,6,20.7,0,0,0,0,
John,BRA,GK,Botafogo (RJ),28-247,1996,26,26,"2,340",26.0,21,0.81,99,77,83.8,16,6,4,12,46.2,6,5,1,0,16.7
Leonardo Linck,BRA,GK,Ath Paranaense,23-228,2001,14,14,"1,223",13.6,21,1.55,65,44,67.7,3,4,7,1,7.1,0,0,0,0,
Marcelo Lomba,BRA,GK,Palmeiras,37-304,1986,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
Lucão,BRA,GK,Red Bull Bragantino,23-234,2001,7,5,541,6.0,8,1.33,29,21,72.4,1,2,2,1,20.0,0,0,0,0,
Agustín Marchesín,ARG,GK,Grêmio,36-215,1988,20,20,"1,800",20.0,23,1.15,89,67,80.9,7,5,8,7,35.0,6,6,0,0,0.0
Matheus Mendes,BRA,GK,Atlético Mineiro,25-221,1999,12,11,997,11.1,19,1.72,60,40,70.0,5,2,4,1,9.1,2,1,1,0,50.0
Carlos Miguel,BRA,GK,Corinthians,26-008,1998,6,6,540,6.0,7,1.17,29,24,79.3,1,3,2,2,33.3,1,1,0,0,0.0
Mycael,BRA,GK,Ath Paranaense,20-219,2004,8,6,575,6.4,6,0.94,31,25,80.6,1,2,3,1,16.7,0,0,0,0,
Mateus Pasinato,BRA,GK,Cuiabá,32-111,1992,1,1,90,1.0,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
Rafael Pires,BRA,GK,São Paulo,35-116,1989,18,18,"1,620",18.0,18,1.00,58,41,72.4,8,3,7,7,38.9,2,2,0,0,0.0
Pedro Rangel,BRA,GK,Atl Goianiense,24-110,2000,6,6,540,6.0,12,2.00,34,22,70.6,0,1,5,1,16.7,2,2,0,0,0.0
João Ricardo Riedi,BRA,GK,Fortaleza,36-041,1988,30,30,"2,700",30.0,30,1.00,155,125,82.6,16,8,6,9,30.0,3,3,0,0,0.0
Sergio Rochet,URU,GK,Internacional,31-208,1993,18,18,"1,620",18.0,17,0.94,64,47,75.0,9,6,3,4,22.2,1,1,0,0,0.0
Ronaldo,BRA,GK,Atl Goianiense,28-056,1996,23,23,"2,069",23.0,34,1.48,98,65,68.4,5,5,13,3,13.0,4,3,1,0,25.0
Agustín Rossi,ARG,GK,Flamengo,29-057,1995,26,26,"2,340",26.0,29,1.12,88,59,69.3,14,6,6,5,19.2,4,2,1,1,33.3
Cleiton Schwengber,BRA,GK,Red Bull Bragantino,27-059,1997,23,23,"1,979",22.0,28,1.27,113,84,75.2,7,8,8,3,13.0,2,0,2,0,100.0
Hugo Souza,BRA,GK,Corinthians,25-260,1999,13,13,"1,170",13.0,16,1.23,65,49,81.5,4,5,4,3,23.1,4,4,0,0,0.0
Walter,BRA,GK,Cuiabá,36-334,1987,27,27,"2,430",27.0,39,1.44,136,97,75.0,6,7,14,6,22.2,5,5,0,0,0.0
Wéverton,BRA,GK,Palmeiras,36-309,1987,28,28,"2,520",28.0,18,0.64,114,97,85.1,17,6,5,14,50.0,2,1,0,1,0.0
