Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Alisson,BRA,GK,,29-131,1995,3.3,4,0,0,1,0,3.2,0.25,-0.8,-0.25,18,55,32.7,64,15,48.4,37.4,40,60.0,46.0,66,3,4.5,1,0.30,10.0
Anderson,BRA,GK,,26-226,1998,15.0,17,1,0,2,1,19.0,0.31,+3.0,+0.20,26,79,32.9,280,68,21.4,28.7,110,17.3,24.6,212,9,4.2,9,0.60,12.2
Anthoni,BRA,GK,,22-268,2002,2.0,1,0,0,0,0,1.8,0.18,+0.8,+0.41,14,45,31.1,46,5,52.2,38.6,26,80.8,56.2,47,1,2.1,0,0.00,9.4
Lucas Arcanjo,BRA,GK,,26-070,1998,28.0,44,3,1,8,0,36.4,0.27,-7.6,-0.27,88,325,27.1,641,80,35.3,33.1,200,49.5,42.4,476,20,4.2,12,0.43,10.7
Muriel Becker,BRA,GK,,37-246,1987,1.0,0,0,0,0,0,0.6,0.32,+0.6,+0.64,11,21,52.4,20,2,60.0,42.9,10,90.0,60.0,19,1,5.3,0,0.00,12.0
Bento,BRA,GK,Paranaense,25-129,1999,7.0,4,0,0,1,0,6.5,0.24,+2.5,+0.36,45,86,52.3,123,18,39.8,34.8,47,78.7,55.7,86,6,7.0,2,0.29,11.3
Rafael Cabral,BRA,GK,,34-150,1990,5.1,8,1,0,0,0,8.4,0.32,+0.4,+0.08,25,73,34.2,106,20,44.3,36.7,47,55.3,40.7,71,5,7.0,2,0.39,13.2
Caíque,BRA,GK,,27-078,1997,3.9,6,0,0,1,1,5.1,0.28,+0.1,+0.02,13,45,28.9,56,17,55.4,40.8,24,58.3,45.5,50,3,6.0,1,0.25,12.4
Cássio,BRA,GK,,37-133,1987,3.0,3,0,0,0,0,3.7,0.27,+0.7,+0.24,11,25,44.0,68,16,26.5,31.6,19,36.8,38.0,29,3,10.3,1,0.33,12.4
Cássio,BRA,GK,,37-133,1987,14.0,12,1,0,2,0,17.2,0.27,+5.2,+0.37,30,78,38.5,282,67,21.6,30.4,93,18.3,23.0,208,6,2.9,8,0.57,12.8
Mateus Claus,BRA,GK,,30-075,1994,3.5,5,0,0,1,0,5.9,0.23,+0.9,+0.24,15,60,25.0,98,19,30.6,31.0,35,85.7,52.2,89,2,2.2,2,0.57,9.8
Matheus Cunha,BRA,GK,,23-146,2001,2.0,3,0,0,0,0,1.9,0.31,-1.1,-0.56,11,22,50.0,68,6,25.0,29.0,9,55.6,35.7,19,2,10.5,2,1.00,15.0
Matheus Donelli,BRA,GK,,22-153,2002,7.0,12,1,1,2,0,10.2,0.21,-1.8,-0.26,20,66,30.3,145,29,31.7,31.3,53,37.7,33.3,113,1,0.9,1,0.14,12.1
Éverson,BRA,GK,Mineiro,34-087,1990,16.9,22,3,0,3,0,18.9,0.28,-3.1,-0.19,67,142,47.2,429,64,27.3,30.0,90,27.8,30.6,177,9,5.1,21,1.24,16.8
Fábio,BRA,GK,,44-017,1980,28.0,30,2,0,5,0,40.8,0.29,+10.8,+0.38,64,216,29.6,491,119,31.4,29.9,214,29.0,23.1,410,19,4.6,20,0.71,11.7
