Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Abner,BRA,DF,Juventude,20-181,2004,1.2,1,0,0,1,1,0,0,3,0,0,0,0,3,3,3,50.0
Luiz Adriano,BRA,FW,Vitória,37-188,1987,2.2,1,0,0,4,5,2,0,0,0,0,0,0,3,9,13,40.9
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,0.8,0,0,0,0,0,0,0,1,1,0,0,0,1,4,1,80.0
Adson,BRA,FW,Vasco da Gama,24-011,2000,13.6,2,0,0,7,18,0,22,6,20,0,0,0,73,9,12,42.9
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,7.1,4,0,0,22,6,9,2,1,1,0,1,0,13,15,40,27.3
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,2.3,0,0,0,3,2,0,2,0,2,0,0,0,5,3,5,37.5
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,18.4,5,1,0,24,33,12,5,6,3,0,0,0,55,29,55,34.5
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,2.4,0,1,0,4,4,0,5,0,5,0,0,0,13,1,0,100.0
Alerrandro,BRA,FW,Vitória,24-279,2000,18.9,3,0,0,20,36,3,5,8,11,0,1,0,63,29,64,31.2
Caio Alexandre,BRA,MF,Bahia,25-236,1999,25.0,6,0,0,38,41,3,19,9,26,0,1,0,119,6,9,40.0
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,19.3,6,0,0,24,8,0,37,29,27,0,1,0,70,36,21,63.2
Alexsander,BRA,MF,Fluminense,21-009,2003,8.8,4,0,0,21,19,0,7,9,12,0,0,0,50,6,10,37.5
Alisson,BRA,GK,Criciúma,29-131,1995,3.3,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
Alisson,BRA,"DF,FW",Atlético Mineiro,19-026,2005,6.2,0,0,0,10,18,1,27,4,10,0,0,0,37,4,8,33.3
Alisson,BRA,MF,São Paulo,31-114,1993,15.0,4,0,0,22,27,0,13,13,16,0,0,0,84,7,6,53.8
Allan,BRA,MF,Flamengo,27-228,1997,13.5,5,0,0,26,11,0,4,17,13,0,1,0,55,16,11,59.3
Allan,BRA,MF,Botafogo (RJ),33-283,1991,3.1,2,0,0,8,6,0,1,5,7,0,0,0,17,2,4,33.3
Allano,BRA,"FW,MF",Criciúma,29-176,1995,11.8,9,2,2,32,36,4,19,2,17,0,0,0,59,14,19,42.4
Thiago Almada,ARG,"FW,MF",Botafogo (RJ),23-174,2001,6.5,0,0,0,3,7,0,24,3,0,0,0,0,35,2,2,50.0
Júnior Alonso,PAR,DF,Atlético Mineiro,31-251,1993,8.6,2,0,0,13,1,0,6,12,8,0,0,0,35,35,14,71.4
Anderson,BRA,GK,Cruzeiro,26-226,1998,15.0,1,0,0,0,2,0,0,0,0,0,0,0,16,3,0,100.0
Felipe Anderson,BRA,"FW,MF",Palmeiras,31-185,1993,8.5,0,0,0,7,6,1,25,7,13,0,0,0,40,7,6,53.8
Kervin Andrade,VEN,MF,Fortaleza,19-187,2005,4.6,2,0,0,6,8,0,16,4,1,0,0,0,28,1,8,11.1
Rodrigo Andrade,BRA,"MF,FW",Vitória,27-135,1997,4.3,0,0,0,7,4,0,4,3,5,0,0,0,34,4,4,50.0
André,BRA,MF,Fluminense,23-093,2001,11.9,5,0,0,17,26,0,0,15,16,0,0,0,87,4,5,44.4
José Andrés Martínez,VEN,MF,Corinthians,30-071,1994,4.2,2,0,0,10,4,0,1,6,5,0,1,0,28,6,3,66.7
Wilker Ángel,VEN,DF,Criciúma,31-213,1993,9.8,2,0,0,17,4,2,0,12,5,0,0,0,13,25,11,69.4
Anthoni,BRA,GK,Internacional,22-268,2002,2.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Marcos Antônio,BRA,MF,São Paulo,24-126,2000,5.0,0,0,0,4,6,0,1,2,4,0,0,0,26,5,4,55.6
Guilherme Arana,BRA,DF,Atlético Mineiro,27-186,1997,12.5,4,0,0,11,9,2,63,13,15,0,0,0,64,12,13,48.0
Charles Aránguiz,CHI,MF,Internacional,35-183,1989,3.2,2,0,0,12,3,0,2,1,5,0,0,0,12,1,5,16.7
Luiz Araújo,BRA,"FW,MF",Flamengo,28-137,1996,16.7,3,0,0,23,29,2,86,20,24,0,0,0,77,5,18,21.7
Matheus Araújo,BRA,MF,Corinthians,22-148,2002,0.5,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,100.0
Michel Araujo,URU,"DF,FW",São Paulo,28-019,1996,9.1,4,0,0,15,14,0,23,6,18,0,0,0,59,13,12,52.0
Alexander Aravena,CHI,"FW,MF",Grêmio,22-041,2002,3.5,0,0,0,1,5,2,6,3,4,0,0,0,17,6,4,60.0
Robert Arboleda,ECU,DF,São Paulo,32-361,1991,22.7,3,0,0,16,11,2,0,21,18,0,0,0,78,57,27,67.9
Lucas Arcanjo,BRA,GK,Vitória,26-070,1998,28.0,3,0,0,0,7,0,0,1,0,0,0,0,27,9,0,100.0
Matias Arezo,URU,"FW,MF",Grêmio,21-331,2002,0.8,0,0,0,3,2,1,0,0,1,1,0,0,4,4,11,26.7
Jhon Arias,COL,FW,Fluminense,27-026,1997,17.9,4,0,0,22,49,2,74,9,18,0,0,0,89,12,23,34.3
Santiago Arias,COL,DF,Bahia,32-278,1992,17.2,2,1,0,24,22,4,55,14,25,0,1,0,73,14,17,45.2
Arthur,BRA,FW,Cruzeiro,26-106,1998,14.1,1,0,0,23,16,12,35,3,10,0,0,0,41,5,16,23.8
Arthur,BRA,FW,Criciúma,32-124,1992,15.1,3,0,0,24,25,13,3,1,2,0,0,0,36,40,45,47.1
Arthur,BRA,FW,Corinthians,21-219,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100.0
Arthur,BRA,"FW,MF",Red Bull Bragantino,21-219,2003,1.1,1,0,0,2,1,0,0,0,0,0,0,0,0,5,7,41.7
Filipe Augusto,BRA,MF,Cuiabá,31-066,1993,4.3,4,0,0,13,3,0,0,4,2,0,0,0,16,4,6,40.0
Renato Augusto,BRA,"MF,FW",Fluminense,36-252,1988,3.5,0,0,0,4,2,4,3,5,5,0,0,0,11,2,4,33.3
Yarlen Augusto,BRA,MF,Botafogo (RJ),18-240,2006,0.9,1,0,0,2,0,0,0,1,1,0,0,0,1,1,4,20.0
Pablo Baianinho,BRA,"MF,DF",Vitória,21-075,2003,0.3,1,0,0,2,1,0,3,0,0,0,0,0,1,0,0,
Gabriel Baralhas,BRA,MF,Atl Goianiense,26-007,1998,19.6,6,0,0,21,27,2,10,27,23,0,0,0,94,24,25,49.0
Danilo Barbosa,BRA,MF,Botafogo (RJ),28-232,1996,12.7,4,0,0,19,17,0,0,25,22,1,0,0,69,18,17,51.4
Diogo Barbosa,BRA,DF,Fluminense,32-061,1992,12.6,6,0,0,16,13,0,24,8,16,0,0,0,55,12,5,70.6
Gabriel Barbosa,BRA,"FW,MF",Flamengo,28-048,1996,5.3,2,0,0,1,5,7,6,0,2,0,0,0,9,1,3,25.0
Lucas Barbosa,BRA,FW,Juventude,23-238,2001,20.9,9,1,0,48,30,5,43,16,32,0,0,0,79,45,52,46.4
Alexander Barboza,ARG,DF,Botafogo (RJ),29-215,1995,15.6,6,1,0,26,3,1,2,19,10,0,1,0,71,50,24,67.6
