Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Abner,BRA,DF,Juventude,20-181,2004,3,108,36,4.1,1.2,1,90,1,2,9,20,1.33,2,1,+1,+0.83,+1.09,1.3,2.5,-1.3,-1.07,-0.53
Luiz Adriano,BRA,FW,Vitória,37-188,1987,8,202,25,7.7,2.2,1,60,0,7,20,2,0.75,3,3,0,0.00,+0.45,2.5,3.9,-1.3,-0.60,-0.48
Adriel,BRA,GK,Bahia,23-277,2001,0,,,,,0,,0,0,,15,,,,,,,,,,,
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,1,74,74,2.8,0.8,1,74,0,0,,3,3.00,0,0,0,0.00,-0.78,0.5,0.3,+0.2,+0.24,-0.12
Adson,BRA,FW,Vasco da Gama,24-011,2000,20,"1,224",61,46.9,13.6,14,77,4,6,25,1,1.55,18,15,+3,+0.22,+1.00,14.4,14.9,-0.4,-0.03,+0.67
Braian Aguirre,ARG,"DF,MF",Internacional,24-081,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Ainoã,BRA,DF,Flamengo,19-259,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,15,638,43,25.3,7.1,6,71,1,9,24,10,1.47,12,8,+4,+0.56,+0.23,12.2,6.5,+5.7,+0.80,+0.16
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,6,205,34,7.9,2.3,2,81,1,4,11,5,1.83,7,4,+3,+1.32,+0.61,4.9,3.5,+1.3,+0.58,+0.24
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,22,"1,659",75,63.6,18.4,18,81,10,4,49,0,0.95,19,26,-7,-0.38,-0.19,19.0,22.3,-3.3,-0.18,-0.27
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,4,214,54,8.5,2.4,2,73,0,2,35,0,1.50,2,4,-2,-0.84,-1.43,2.7,2.9,-0.2,-0.09,-0.39
Alerrandro,BRA,FW,Vitória,24-279,2000,26,"1,700",65,65.1,18.9,24,69,4,2,20,1,1.00,22,27,-5,-0.26,+0.43,20.8,20.5,+0.3,+0.02,+0.49
Caio Alexandre,BRA,MF,Bahia,25-236,1999,28,"2,252",80,86.3,25.0,27,83,9,1,15,0,1.57,32,27,+5,+0.20,-0.05,31.0,24.3,+6.7,+0.27,+0.26
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,22,"1,734",79,68.8,19.3,21,80,15,1,45,1,0.86,18,21,-3,-0.16,+1.10,16.9,21.8,-4.9,-0.25,+0.26
Alexsander,BRA,MF,Fluminense,21-009,2003,15,791,53,31.4,8.8,7,81,3,8,28,3,0.73,7,12,-5,-0.57,-0.41,8.8,11.3,-2.4,-0.28,+0.09
Alisson,BRA,GK,Criciúma,29-131,1995,4,296,74,11.3,3.3,3,90,3,1,26,22,1.20,5,6,-1,-0.30,-0.11,2.9,2.5,+0.4,+0.12,+0.43
Alisson,BRA,"DF,FW",Atlético Mineiro,19-026,2005,12,558,47,21.4,6.2,5,75,1,7,26,1,1.25,8,12,-4,-0.65,-0.78,8.0,6.9,+1.1,+0.18,+0.10
Alisson,BRA,MF,São Paulo,31-114,1993,16,"1,353",85,50.1,15.0,16,85,11,0,,0,1.88,24,11,+13,+0.86,+1.13,17.9,9.7,+8.1,+0.54,+0.50
Allan,BRA,MF,Flamengo,27-228,1997,21,"1,217",58,48.3,13.5,14,74,4,7,27,4,1.62,22,21,+1,+0.07,-0.75,17.7,18.9,-1.2,-0.09,-0.70
Allan,BRA,MF,Botafogo (RJ),33-283,1991,9,276,31,10.6,3.1,2,60,0,7,22,3,1.89,4,5,-1,-0.33,-1.21,4.4,4.4,0.0,+0.01,-0.39
