Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Abner,BRA,DF,Juventude,20-181,2004,1.2,46,14,29,14,3,0,46,0,0,,0,,21,80,22,0,0,0,0,1,18,0
Luiz Adriano,BRA,FW,Vitória,37-188,1987,2.2,58,1,5,36,17,7,58,2,0,0.0,2,100.0,25,117,29,1,2,1,1,3,44,9
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,0.8,80,7,42,36,2,2,80,0,0,,0,,50,187,90,2,0,0,0,0,64,0
Adson,BRA,FW,Vasco da Gama,24-011,2000,13.6,793,8,105,383,318,39,793,50,25,50.0,24,48.0,478,2848,1434,42,37,7,30,16,575,80
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,7.1,185,13,27,86,73,25,185,10,6,60.0,3,30.0,72,227,56,0,2,1,18,9,121,22
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,2.3,48,2,8,15,28,14,48,6,4,66.7,2,33.3,23,235,168,6,4,3,6,0,25,5
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,18.4,515,11,29,217,279,89,513,41,15,36.6,23,56.1,296,1596,703,32,15,16,46,26,370,128
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,2.4,166,5,27,96,49,3,165,9,3,33.3,4,44.4,101,507,281,8,10,0,4,1,114,12
Alerrandro,BRA,FW,Vitória,24-279,2000,18.9,530,19,54,287,194,61,527,17,7,41.2,8,47.1,259,972,448,10,4,2,36,22,329,62
Caio Alexandre,BRA,MF,Bahia,25-236,1999,25.0,2113,28,430,1398,299,13,2113,25,15,60.0,8,32.0,1431,7699,4436,65,54,5,33,22,1725,38
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,19.3,1113,46,390,532,197,14,1113,17,7,41.2,9,52.9,511,2493,1238,19,11,3,24,14,600,51
Alexsander,BRA,MF,Fluminense,21-009,2003,8.8,598,32,140,326,136,16,598,40,18,45.0,20,50.0,335,1635,893,15,8,4,23,17,430,24
Alisson,BRA,GK,Criciúma,29-131,1995,3.3,110,101,110,0,0,0,110,0,0,,0,,42,184,137,0,0,0,0,0,32,0
Alisson,BRA,"DF,FW",Atlético Mineiro,19-026,2005,6.2,330,8,43,137,155,25,330,40,17,42.5,18,45.0,226,1833,781,24,17,7,16,5,247,65
Alisson,BRA,MF,São Paulo,31-114,1993,15.0,1196,55,255,766,179,2,1196,26,16,61.5,7,26.9,742,3373,1719,16,23,0,12,12,931,20
Allan,BRA,MF,Flamengo,27-228,1997,13.5,861,31,185,551,127,1,861,12,2,16.7,8,66.7,515,3223,1494,14,16,0,14,4,601,10
Allan,BRA,MF,Botafogo (RJ),33-283,1991,3.1,209,9,56,138,16,0,209,2,0,0.0,1,50.0,134,694,348,2,0,0,4,2,141,4
Allano,BRA,"FW,MF",Criciúma,29-176,1995,11.8,606,7,58,259,302,52,606,60,27,45.0,25,41.7,387,2849,1439,55,31,18,42,32,465,118
Thiago Almada,ARG,"FW,MF",Botafogo (RJ),23-174,2001,6.5,442,1,41,232,176,20,441,23,12,52.2,10,43.5,277,1524,756,25,18,7,11,11,341,43
Júnior Alonso,PAR,DF,Atlético Mineiro,31-251,1993,8.6,695,48,279,355,64,8,695,4,2,50.0,2,50.0,401,2034,1305,15,13,0,5,1,509,5
Anderson,BRA,GK,Cruzeiro,26-226,1998,15.0,418,366,418,0,0,0,418,0,0,,0,,206,845,514,0,0,0,0,0,172,0
Felipe Anderson,BRA,"FW,MF",Palmeiras,31-185,1993,8.5,507,13,83,207,225,30,507,28,16,57.1,11,39.3,249,1622,949,34,18,11,18,10,337,76
Kervin Andrade,VEN,MF,Fortaleza,19-187,2005,4.6,191,1,18,81,96,10,191,14,2,14.3,7,50.0,106,451,198,4,5,0,13,11,124,36
Rodrigo Andrade,BRA,"MF,FW",Vitória,27-135,1997,4.3,221,11,62,127,36,6,221,6,1,16.7,3,50.0,132,858,451,6,6,1,5,9,136,12
André,BRA,MF,Fluminense,23-093,2001,11.9,847,57,238,555,63,0,847,28,11,39.3,14,50.0,516,2317,1144,9,8,0,11,12,619,7
