Player,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Brenden Aaronson,FW,United States,23,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luis Abram,DF,Peru,27,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Acuña,DF,Argentina,32,1991,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Tyler Adams,MF,United States,24,1999,3,3,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luis Advíncula,DF,Peru,33,1990,1,1,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brandon Aguilera,MF,Costa Rica,20,2003,3,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ali Ahmed,"FW,DF",Canada,23,2000,3,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,4,10,14,0.00,0.00,0.00,0.00,0.00,0.02,0.69,0.71,0.02,0.71
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,2,1,92,1.0,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.98,0.00,0.98,0.98,0.98,0.02,0.00,0.02,0.02,0.02
Omar Alderete,DF,Paraguay,27,1996,3,3,270,3.0,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.2,6,16,0,0.33,0.00,0.33,0.33,0.33,0.02,0.06,0.08,0.02,0.08
Carmelo Algarañaz,FW,Bolivia,28,1996,3,2,195,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,0,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Alisson,GK,Brazil,31,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Almirón,FW,Paraguay,29,1994,3,3,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,5,4,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
Roberto Alvarado,FW,Mexico,25,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Edson Álvarez,MF,Mexico,26,1997,1,1,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Julián Álvarez,FW,Argentina,24,2000,5,4,346,3.8,2,0,2,2,0,0,0,0,2.0,2.0,0.0,2.0,2,6,15,0.52,0.00,0.52,0.52,0.52,0.52,0.00,0.52,0.52,0.52
Michael Amir Murillo,DF,Panama,27,1996,4,4,315,3.5,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,5,15,18,0.29,0.00,0.29,0.29,0.29,0.08,0.01,0.09,0.08,0.09
Karoy Anderson,MF,Jamaica,19,2004,2,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Kervin Andrade,MF,Venezuela,18,2005,1,0,17,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,2,0,0.00,5.29,5.29,0.00,5.29,0.00,2.84,2.84,0.00,2.84
José Andrés Martínez,MF,Venezuela,29,1994,4,4,359,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,2,23,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06
Wilker Ángel,DF,Venezuela,30,1993,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michail Antonio,FW,Jamaica,33,1990,3,3,235,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.5,6,3,6,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17
