Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Brenden Aaronson,FW,United States,23,2000,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Luis Abram,DF,Peru,27,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marcos Acuña,DF,Argentina,32,1991,1.1,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0
Tyler Adams,MF,United States,24,1999,2.0,3,2,0,1,2,0,1,0.0,1,7,2,5,1,4,3,0
Luis Advíncula,DF,Peru,33,1990,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Brandon Aguilera,MF,Costa Rica,20,2003,2.0,3,2,3,0,0,2,4,50.0,2,1,0,1,0,3,2,0
Ali Ahmed,"FW,DF",Canada,23,2000,1.5,3,2,0,0,3,2,5,40.0,3,1,0,1,3,6,1,0
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,1.0,4,3,1,1,2,1,2,50.0,1,3,0,3,0,4,0,0
Omar Alderete,DF,Paraguay,27,1996,3.0,7,3,5,2,0,5,6,83.3,1,0,0,0,4,11,12,1
Carmelo Algarañaz,FW,Bolivia,28,1996,2.2,2,1,2,0,0,0,0,,0,1,0,1,0,2,2,0
Alisson,GK,Brazil,31,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Miguel Almirón,FW,Paraguay,29,1994,2.0,4,3,1,1,2,2,4,50.0,2,2,0,2,2,6,1,0
Roberto Alvarado,FW,Mexico,25,1998,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0
Edson Álvarez,MF,Mexico,26,1997,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Julián Álvarez,FW,Argentina,24,2000,3.8,3,3,2,1,0,2,8,25.0,6,4,0,4,1,4,1,0
Michael Amir Murillo,DF,Panama,27,1996,3.5,2,1,0,1,1,0,0,,0,2,1,1,1,3,12,0
Karoy Anderson,MF,Jamaica,19,2004,0.3,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,2,0
Kervin Andrade,MF,Venezuela,18,2005,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
