Player,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Alisson,GK,Brazil,31,1992,4.0,2,0,0,0,0,1.7,0.14,-0.3,-0.06,7,17,41.2,110,21,12.7,24.8,24,12.5,24.5,41,0,0.0,3,0.75,17.9
Gabriel Arias,GK,Chile,36,1987,1.0,0,0,0,0,0,0.5,0.16,+0.5,+0.49,6,21,28.6,36,2,47.2,43.6,8,50.0,43.1,14,0,0.0,1,1.00,12.3
Claudio Bravo,GK,Chile,40,1983,2.0,1,0,0,1,0,4.0,0.36,+3.0,+1.49,14,40,35.0,63,10,47.6,40.9,17,58.8,46.6,23,2,8.7,1,0.50,11.9
Maxime Crépeau,GK,Canada,29,1994,5.0,5,0,0,0,0,6.4,0.29,+1.4,+0.27,18,54,33.3,106,25,31.1,33.2,42,50.0,44.2,49,3,6.1,17,3.40,23.9
Alexander Domínguez,GK,Ecuador,36,1987,4.0,4,0,0,2,0,3.8,0.27,-0.2,-0.06,11,49,22.4,79,9,45.6,40.3,26,50.0,43.2,55,4,7.3,1,0.25,10.4
Pedro Gallese,GK,Peru,33,1990,3.0,3,0,0,0,0,2.3,0.26,-0.7,-0.23,24,55,43.6,56,11,73.2,46.8,21,66.7,46.8,23,5,21.7,2,0.67,15.4
Ethan Horvath,GK,United States,28,1995,0.5,1,0,0,0,0,0.6,0.19,-0.4,-0.88,0,17,0.0,15,0,73.3,52.1,6,100.0,75.5,7,0,0.0,1,2.00,33.0
Julio José González,GK,Mexico,32,1991,3.0,1,1,0,0,0,1.9,0.10,+0.9,+0.29,6,20,30.0,86,9,16.3,26.6,18,33.3,32.5,22,1,4.5,11,3.67,21.0
Emiliano Martínez,GK,Argentina,31,1992,6.3,1,0,0,0,0,2.9,0.21,+1.9,+0.31,23,59,39.0,186,30,23.7,30.7,35,42.9,41.9,56,12,21.4,0,0.00,10.3
Rodrigo Morínigo,GK,Paraguay,25,1998,3.0,8,1,0,1,0,5.1,0.37,-2.9,-0.98,12,28,42.9,59,10,28.8,30.6,13,84.6,56.6,27,1,3.7,3,1.00,16.6
Orlando Mosquera,GK,Panama,29,1994,4.0,10,2,0,1,0,7.7,0.32,-2.3,-0.56,16,50,32.0,108,20,42.6,38.6,8,50.0,39.6,47,2,4.3,6,1.50,18.4
Sergio Rochet,GK,Uruguay,30,1993,6.0,4,0,0,2,0,4.2,0.24,+0.2,+0.04,15,45,33.3,101,27,32.7,33.1,35,34.3,33.4,57,9,15.8,1,0.17,12.6
Rafael Romo,GK,Venezuela,33,1990,4.0,2,0,0,0,0,5.3,0.29,+3.3,+0.82,22,51,43.1,86,17,36.0,35.0,40,50.0,45.7,53,3,5.7,13,3.25,19.6
Patrick Sequeira,GK,Costa Rica,24,1999,3.0,4,1,0,1,0,4.6,0.26,+0.6,+0.21,14,52,26.9,42,10,66.7,48.3,34,70.6,55.0,52,5,9.6,4,1.33,12.9
Dayne St. Clair,GK,Canada,26,1997,1.0,2,0,0,1,0,2.2,0.45,+0.2,+0.25,1,11,9.1,24,5,37.5,31.2,2,100.0,67.0,14,1,7.1,3,3.00,24.5
Matt Turner,GK,United States,29,1994,2.5,2,0,0,0,0,1.8,0.22,-0.2,-0.06,6,39,15.4,66,11,42.4,39.1,21,52.4,46.6,33,1,3.0,4,1.60,20.1
Camilo Vargas,GK,Colombia,34,1989,6.3,3,0,1,0,0,3.6,0.22,+0.6,+0.10,30,92,32.6,155,16,36.8,36.2,60,58.3,46.7,61,2,3.3,3,0.50,13.6
Guillermo Vizcarra,GK,Bolivia,30,1993,3.0,10,0,0,1,0,8.7,0.41,-1.3,-0.43,10,40,25.0,47,6,53.2,42.8,27,55.6,44.3,51,1,2.0,1,0.33,6.1
Jahmali Waite,GK,Jamaica,25,1998,3.0,7,1,0,1,0,6.4,0.34,-0.6,-0.18,17,40,42.5,78,24,32.1,31.3,31,48.4,44.9,52,3,5.8,5,1.67,14.8
