Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Brenden Aaronson,FW,United States,23,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luis Abram,DF,Peru,27,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña,DF,Argentina,32,1991,1.1,2,1.87,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Tyler Adams,MF,United States,24,1999,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luis Advíncula,DF,Peru,33,1990,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Brandon Aguilera,MF,Costa Rica,20,2003,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Ahmed,"FW,DF",Canada,23,2000,1.5,7,4.81,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,1.0,1,0.98,0,0,1,0,0,0,1,0.98,0,0,1,0,0,0
Omar Alderete,DF,Paraguay,27,1996,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Carmelo Algarañaz,FW,Bolivia,28,1996,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alisson,GK,Brazil,31,1992,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Miguel Almirón,FW,Paraguay,29,1994,2.0,7,3.50,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Roberto Alvarado,FW,Mexico,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edson Álvarez,MF,Mexico,26,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julián Álvarez,FW,Argentina,24,2000,3.8,6,1.57,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Michael Amir Murillo,DF,Panama,27,1996,3.5,9,2.57,6,0,2,0,1,0,1,0.29,0,0,1,0,0,0
Karoy Anderson,MF,Jamaica,19,2004,0.3,1,2.90,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kervin Andrade,MF,Venezuela,18,2005,0.2,1,5.29,1,0,0,0,0,0,1,5.29,1,0,0,0,0,0
José Andrés Martínez,MF,Venezuela,29,1994,4.0,10,2.51,8,0,1,0,0,1,1,0.25,1,0,0,0,0,0
Wilker Ángel,DF,Venezuela,30,1993,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michail Antonio,FW,Jamaica,33,1990,2.6,6,2.30,2,0,2,1,1,0,0,0.00,0,0,0,0,0,0
Uriel Antuna,"FW,MF",Mexico,26,1997,1.9,5,2.60,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jon Aramburu,DF,Venezuela,21,2002,2.9,4,1.38,3,0,0,0,1,0,3,1.04,2,0,0,0,1,0
Guilherme Arana,DF,Brazil,26,1997,2.0,2,1.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,5.0,16,3.23,9,0,2,2,3,0,3,0.61,1,0,0,1,1,0
Miguel Araujo,DF,Peru,29,1994,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ronald Araújo,DF,Uruguay,24,1999,2.9,3,1.05,2,0,0,1,0,0,2,0.70,1,0,0,1,0,0
Alex Arce,FW,Paraguay,28,1995,1.7,4,2.40,3,0,0,0,1,0,1,0.60,1,0,0,0,0,0
Gabriel Arias,GK,Chile,36,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jhon Arias,MF,Colombia,26,1997,5.4,11,2.05,6,2,0,0,3,0,3,0.56,1,1,0,0,1,0
Santiago Arias,DF,Colombia,32,1992,2.0,7,4.12,5,1,0,0,1,0,1,0.59,0,0,0,0,1,0
Gerardo Arteaga,DF,Mexico,25,1998,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Yaser Asprilla,FW,Colombia,20,2003,0.2,2,9.47,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Abdiel Ayarza,MF,Panama,31,1992,0.7,4,5.71,2,0,1,1,0,0,2,2.86,1,0,1,0,0,0
Theo Bair,FW,Canada,24,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabián Balbuena,DF,Paraguay,32,1991,3.0,3,1.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Folarin Balogun,FW,United States,22,2001,1.9,3,1.54,1,0,0,1,1,0,1,0.51,1,0,0,0,0,0
Adam Bareiro,FW,Paraguay,27,1996,0.8,1,1.20,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Jon Bell,DF,Jamaica,26,1997,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eduard Bello,"FW,MF",Venezuela,28,1995,3.2,6,1.87,5,1,0,0,0,0,1,0.31,0,1,0,0,0,0
Rodrigo Bentancur,MF,Uruguay,26,1997,1.9,1,0.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Di'Shon Bernard,DF,Jamaica,23,2000,1.2,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
César Blackman,"MF,DF",Panama,25,1998,2.2,8,3.71,4,0,2,2,0,0,2,0.93,0,0,1,1,0,0
Damián Bobadilla,"MF,FW",Paraguay,22,2001,2.2,7,3.20,6,0,0,0,1,0,1,0.46,1,0,0,0,0,0
Marcos Bolados,"FW,MF",Chile,27,1996,1.1,2,1.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Moïse Bombito,DF,Canada,23,2000,6.0,4,0.67,3,0,0,1,0,0,1,0.17,0,0,0,1,0,0
Miguel Borja,FW,Colombia,31,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rafael Borré,FW,Colombia,28,1995,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Bran,MF,Costa Rica,22,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Claudio Bravo,GK,Chile,40,1983,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jefferson Brenes,MF,Costa Rica,26,1997,1.8,1,0.55,1,0,0,0,0,0,1,0.55,1,0,0,0,0,0
Ben Brereton,FW,Chile,24,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tajon Buchanan,"MF,FW",Canada,24,1999,1.1,2,1.84,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hernesto Caballero,MF,Paraguay,32,1991,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sebastián Cáceres,DF,Uruguay,24,1999,2.9,3,1.05,1,0,0,2,0,0,1,0.35,0,0,0,1,0,0
Jhonder Cádiz,FW,Venezuela,28,1995,0.9,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordy Caicedo,"FW,MF",Ecuador,26,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Moisés Caicedo,MF,Ecuador,22,2001,4.0,15,3.75,9,4,0,1,0,1,2,0.50,2,0,0,0,0,0
Alexander Callens,DF,Peru,31,1992,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francisco Calvo,DF,Costa Rica,31,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joel Campbell,"MF,FW",Costa Rica,31,1992,1.5,1,0.68,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Agustín Canobbio,MF,Uruguay,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
