Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Brenden Aaronson,FW,United States,23,2000,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Luis Abram,DF,Peru,27,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marcos Acuña,DF,Argentina,32,1991,1.1,0,0,0,2,1,0,1,0,1,0,0,0,5,1,0,100.0
Tyler Adams,MF,United States,24,1999,2.0,1,0,0,5,2,0,0,1,2,0,0,0,13,3,1,75.0
Luis Advíncula,DF,Peru,33,1990,0.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0
Brandon Aguilera,MF,Costa Rica,20,2003,2.0,0,0,0,1,2,0,0,0,2,0,0,0,11,1,1,50.0
Ali Ahmed,"FW,DF",Canada,23,2000,1.5,0,0,0,3,4,0,6,3,2,0,0,0,10,0,1,0.0
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,1.0,1,0,0,4,1,0,0,0,3,0,0,0,0,0,4,0.0
Omar Alderete,DF,Paraguay,27,1996,3.0,1,0,0,6,2,0,0,4,3,0,0,0,11,5,2,71.4
Carmelo Algarañaz,FW,Bolivia,28,1996,2.2,0,0,0,6,1,2,0,0,1,0,0,0,7,2,13,13.3
Alisson,GK,Brazil,31,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Miguel Almirón,FW,Paraguay,29,1994,2.0,1,0,0,4,2,0,3,2,3,0,0,0,6,0,1,0.0
Roberto Alvarado,FW,Mexico,25,1998,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Edson Álvarez,MF,Mexico,26,1997,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,33.3
Julián Álvarez,FW,Argentina,24,2000,3.8,0,0,0,5,2,0,2,1,3,0,0,0,10,0,3,0.0
Michael Amir Murillo,DF,Panama,27,1996,3.5,1,0,0,4,4,0,12,1,1,0,0,0,12,8,3,72.7
Karoy Anderson,MF,Jamaica,19,2004,0.3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,
Kervin Andrade,MF,Venezuela,18,2005,0.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
José Andrés Martínez,MF,Venezuela,29,1994,4.0,0,0,0,6,6,0,3,4,11,0,0,0,23,3,7,30.0
Wilker Ángel,DF,Venezuela,30,1993,1.1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,
Michail Antonio,FW,Jamaica,33,1990,2.6,0,0,0,3,6,1,6,1,2,0,0,0,6,7,9,43.8
Uriel Antuna,"FW,MF",Mexico,26,1997,1.9,1,0,0,1,0,2,10,3,3,0,0,0,4,2,4,33.3
Jon Aramburu,DF,Venezuela,21,2002,2.9,1,0,0,6,3,0,4,4,18,1,0,0,15,2,1,66.7
Guilherme Arana,DF,Brazil,26,1997,2.0,0,0,0,1,3,0,6,1,2,0,0,0,6,4,3,57.1
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,5.0,0,0,0,10,11,3,11,0,3,0,0,0,18,5,6,45.5
Miguel Araujo,DF,Peru,29,1994,1.6,0,1,0,1,0,0,1,1,3,0,0,0,3,7,5,58.3
Ronald Araújo,DF,Uruguay,24,1999,2.9,0,0,0,1,1,2,0,6,4,0,0,0,12,17,7,70.8
Alex Arce,FW,Paraguay,28,1995,1.7,0,0,0,1,1,0,2,0,0,0,0,0,5,8,11,42.1
Gabriel Arias,GK,Chile,36,1987,1.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
