Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Brenden Aaronson,FW,United States,23,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Luis Abram,DF,Peru,27,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Marcos Acuña,DF,Argentina,32,1991,1.1,64,52,12,0,0,0,1,12,0,0,0,0,50,0,1
Tyler Adams,MF,United States,24,1999,2.0,86,82,4,3,0,0,0,1,0,0,0,0,68,0,0
Luis Advíncula,DF,Peru,33,1990,0.4,14,5,9,0,0,0,0,9,0,0,0,0,9,0,0
Brandon Aguilera,MF,Costa Rica,20,2003,2.0,65,63,2,1,0,1,0,0,0,0,0,0,48,0,2
Ali Ahmed,"FW,DF",Canada,23,2000,1.5,52,50,2,0,1,1,6,2,0,0,0,0,41,0,1
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,1.0,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
Omar Alderete,DF,Paraguay,27,1996,3.0,129,120,9,4,0,1,0,2,0,0,0,0,109,0,2
Carmelo Algarañaz,FW,Bolivia,28,1996,2.2,22,16,6,0,0,0,0,0,0,0,0,0,18,0,0
Alisson,GK,Brazil,31,1992,4.0,134,103,31,7,0,0,0,0,0,0,0,0,121,0,1
Miguel Almirón,FW,Paraguay,29,1994,2.0,47,42,5,1,0,0,3,0,4,0,2,0,43,0,1
Roberto Alvarado,FW,Mexico,25,1998,0.1,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0
Edson Álvarez,MF,Mexico,26,1997,0.3,23,23,0,0,0,0,0,0,0,0,0,0,19,0,0
Julián Álvarez,FW,Argentina,24,2000,3.8,63,61,2,0,0,0,2,0,0,0,0,0,54,0,3
Michael Amir Murillo,DF,Panama,27,1996,3.5,160,134,26,1,1,1,12,25,0,0,0,0,120,0,8
Karoy Anderson,MF,Jamaica,19,2004,0.3,20,18,2,1,0,0,0,1,0,0,0,0,17,0,0
Kervin Andrade,MF,Venezuela,18,2005,0.2,10,10,0,0,1,0,1,0,0,0,0,0,7,0,0
José Andrés Martínez,MF,Venezuela,29,1994,4.0,175,168,6,3,1,3,3,3,0,0,0,0,144,1,4
Wilker Ángel,DF,Venezuela,30,1993,1.1,40,39,1,1,0,0,0,0,0,0,0,0,36,0,0
Michail Antonio,FW,Jamaica,33,1990,2.6,56,49,7,0,0,2,6,0,0,0,0,0,36,0,3
Uriel Antuna,"FW,MF",Mexico,26,1997,1.9,84,79,5,0,0,1,10,3,2,0,0,0,57,0,3
Jon Aramburu,DF,Venezuela,21,2002,2.9,118,90,27,3,0,1,4,24,0,0,0,0,91,1,2
Guilherme Arana,DF,Brazil,26,1997,2.0,146,124,22,3,0,0,6,19,0,0,0,0,122,0,4
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,5.0,104,102,1,1,1,1,11,0,0,0,0,0,71,1,4
Miguel Araujo,DF,Peru,29,1994,1.6,69,61,8,5,0,1,1,3,0,0,0,0,42,0,1
Ronald Araújo,DF,Uruguay,24,1999,2.9,165,155,10,8,2,3,0,2,0,0,0,0,132,0,0
Alex Arce,FW,Paraguay,28,1995,1.7,34,31,3,0,0,0,2,0,0,0,0,0,18,0,1
Gabriel Arias,GK,Chile,36,1987,1.0,44,29,15,7,0,0,0,0,0,0,0,0,29,0,0
Jhon Arias,MF,Colombia,26,1997,5.4,225,217,8,4,1,0,4,2,2,1,1,0,204,0,2
Santiago Arias,DF,Colombia,32,1992,2.0,63,47,15,0,0,0,3,15,0,0,0,0,48,1,4
