Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Brenden Aaronson,FW,United States,23,2000,0.1,3,4,75.0,34,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Luis Abram,DF,Peru,27,1996,0.1,2,3,66.7,59,56,1,1,100.0,0,0,,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Marcos Acuña,DF,Argentina,32,1991,1.1,50,64,78.1,776,173,28,33,84.8,21,29,72.4,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
Tyler Adams,MF,United States,24,1999,2.0,68,86,79.1,1290,453,26,29,89.7,34,44,77.3,8,11,72.7,0,0.0,0.1,0.0,0,8,2,0,11
Luis Advíncula,DF,Peru,33,1990,0.4,9,14,64.3,148,102,4,5,80.0,5,8,62.5,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0
Brandon Aguilera,MF,Costa Rica,20,2003,2.0,48,65,73.8,818,172,22,26,84.6,20,25,80.0,4,10,40.0,0,0.0,0.0,0.0,0,4,0,0,5
Ali Ahmed,"FW,DF",Canada,23,2000,1.5,41,52,78.8,600,218,24,28,85.7,15,19,78.9,2,4,50.0,0,1.0,0.7,-1.0,6,1,7,1,10
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,1.0,6,8,75.0,93,25,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Omar Alderete,DF,Paraguay,27,1996,3.0,109,129,84.5,2271,1124,35,38,92.1,61,64,95.3,13,25,52.0,0,0.2,0.4,-0.2,1,15,1,0,16
Carmelo Algarañaz,FW,Bolivia,28,1996,2.2,18,22,81.8,241,7,14,15,93.3,4,7,57.1,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
