Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Brenden Aaronson,FW,United States,23,2000,0.1,5,0,1,0,4,0,5,0,0,,0,,2,8,1,0,0,0,0,0,3,1
Luis Abram,DF,Peru,27,1996,0.1,5,1,3,2,0,0,5,0,0,,0,,3,13,11,0,0,0,0,0,3,0
Marcos Acuña,DF,Argentina,32,1991,1.1,76,2,20,41,16,3,76,5,1,20.0,3,60.0,40,214,120,4,0,1,1,1,51,7
Tyler Adams,MF,United States,24,1999,2.0,108,5,37,63,10,0,108,2,1,50.0,1,50.0,38,173,115,2,3,0,2,0,52,1
Luis Advíncula,DF,Peru,33,1990,0.4,17,1,2,6,10,0,17,2,0,0.0,1,50.0,5,23,9,0,1,0,0,1,6,1
Brandon Aguilera,MF,Costa Rica,20,2003,2.0,76,5,25,47,7,0,76,3,2,66.7,1,33.3,43,174,74,0,2,0,2,4,42,2
Ali Ahmed,"FW,DF",Canada,23,2000,1.5,68,2,10,22,37,5,68,5,4,80.0,1,20.0,42,281,122,4,3,1,3,2,50,14
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,1.0,26,0,2,16,9,0,26,5,1,20.0,4,80.0,11,74,40,1,1,0,2,3,16,1
Omar Alderete,DF,Paraguay,27,1996,3.0,158,19,70,79,9,2,158,5,4,80.0,1,20.0,91,587,425,6,1,0,1,2,100,0
Carmelo Algarañaz,FW,Bolivia,28,1996,2.2,50,2,7,30,13,2,50,3,2,66.7,1,33.3,24,82,13,0,0,0,12,8,29,5
Alisson,GK,Brazil,31,1992,4.0,137,115,135,2,0,0,137,0,0,,0,,79,299,156,0,0,0,0,0,76,0
Miguel Almirón,FW,Paraguay,29,1994,2.0,69,2,11,26,32,4,69,5,1,20.0,3,60.0,43,300,128,3,3,1,5,2,41,4
Roberto Alvarado,FW,Mexico,25,1998,0.1,7,0,3,0,4,0,7,0,0,,0,,0,0,0,0,0,0,0,0,3,0
Edson Álvarez,MF,Mexico,26,1997,0.3,26,1,2,21,3,0,26,0,0,,0,,14,87,63,0,0,0,1,0,16,0
Julián Álvarez,FW,Argentina,24,2000,3.8,93,0,9,50,37,8,93,5,3,60.0,1,20.0,56,243,114,2,4,0,4,4,68,15
Michael Amir Murillo,DF,Panama,27,1996,3.5,194,12,44,90,61,6,194,9,6,66.7,2,22.2,97,596,338,5,5,0,2,8,121,18
Karoy Anderson,MF,Jamaica,19,2004,0.3,28,3,7,9,12,2,28,0,0,,0,,12,41,32,0,0,0,2,0,21,1
Kervin Andrade,MF,Venezuela,18,2005,0.2,11,0,0,3,8,1,11,0,0,,0,,7,63,51,1,1,1,0,0,10,0
José Andrés Martínez,MF,Venezuela,29,1994,4.0,228,14,51,152,30,4,228,13,8,61.5,5,38.5,119,576,252,2,3,1,6,4,128,3
Wilker Ángel,DF,Venezuela,30,1993,1.1,46,8,30,15,1,0,46,0,0,,0,,21,103,49,0,0,0,0,0,33,0
Michail Antonio,FW,Jamaica,33,1990,2.6,84,2,11,47,27,2,84,8,4,50.0,3,37.5,44,235,133,6,1,1,9,4,56,6
Uriel Antuna,"FW,MF",Mexico,26,1997,1.9,103,0,5,47,55,6,103,2,1,50.0,1,50.0,49,249,132,4,4,0,3,0,64,24
Jon Aramburu,DF,Venezuela,21,2002,2.9,169,14,64,79,31,2,169,2,1,50.0,1,50.0,58,306,157,4,2,0,2,2,71,6
Guilherme Arana,DF,Brazil,26,1997,2.0,160,2,28,97,36,1,160,3,3,100.0,0,0.0,88,332,179,2,3,0,4,0,108,15
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,5.0,154,1,18,55,84,21,154,13,6,46.2,6,46.2,101,510,291,11,5,4,9,5,105,41
Miguel Araujo,DF,Peru,29,1994,1.6,85,10,43,40,2,1,85,0,0,,0,,37,114,48,0,0,0,1,0,41,0
Ronald Araújo,DF,Uruguay,24,1999,2.9,202,15,77,118,8,5,202,1,0,0.0,1,100.0,108,793,582,3,1,0,0,2,118,0
Alex Arce,FW,Paraguay,28,1995,1.7,53,1,4,23,26,4,53,2,1,50.0,1,50.0,19,128,9,1,3,0,1,6,28,5
Gabriel Arias,GK,Chile,36,1987,1.0,48,39,48,0,0,0,48,0,0,,0,,25,92,75,0,0,0,0,0,22,0
Jhon Arias,MF,Colombia,26,1997,5.4,289,4,31,182,77,6,289,10,5,50.0,4,40.0,139,729,323,8,4,2,7,9,201,20
Santiago Arias,DF,Colombia,32,1992,2.0,77,4,24,36,17,4,77,0,0,,0,,34,131,59,0,0,0,0,2,40,5
Gerardo Arteaga,DF,Mexico,25,1998,3.0,169,4,43,82,45,7,169,8,1,12.5,7,87.5,93,385,178,3,6,0,2,4,105,9
Yaser Asprilla,FW,Colombia,20,2003,0.2,16,0,0,10,6,0,16,2,1,50.0,1,50.0,10,65,29,1,2,0,0,1,15,5
Abdiel Ayarza,MF,Panama,31,1992,0.7,18,0,0,12,6,4,18,2,1,50.0,0,0.0,7,33,15,0,1,0,0,1,12,2
Theo Bair,FW,Canada,24,1999,0.2,5,1,2,1,2,0,5,0,0,,0,,2,14,9,1,0,0,1,0,3,0
Fabián Balbuena,DF,Paraguay,32,1991,3.0,145,17,69,72,5,4,145,0,0,,0,,66,224,143,1,0,0,1,0,78,0
Folarin Balogun,FW,United States,22,2001,1.9,51,0,3,24,24,8,51,6,3,50.0,3,50.0,27,156,75,4,1,3,9,2,37,11
Adam Bareiro,FW,Paraguay,27,1996,0.8,27,2,3,16,8,1,27,3,2,66.7,1,33.3,11,42,14,0,0,0,2,0,16,3
Jon Bell,DF,Jamaica,26,1997,1.0,41,2,23,13,5,1,41,2,1,50.0,1,50.0,14,67,8,1,1,0,2,1,18,1
Eduard Bello,"FW,MF",Venezuela,28,1995,3.2,118,4,14,40,66,18,118,3,1,33.3,2,66.7,54,264,80,4,1,1,4,2,64,26
Rodrigo Bentancur,MF,Uruguay,26,1997,1.9,96,4,26,65,11,4,96,9,3,33.3,6,66.7,48,343,129,2,1,0,3,5,50,2
Di'Shon Bernard,DF,Jamaica,23,2000,1.2,56,13,41,14,1,1,56,0,0,,0,,21,89,58,0,0,0,0,0,29,0
César Blackman,"MF,DF",Panama,25,1998,2.2,83,1,8,37,38,3,83,5,5,100.0,0,0.0,45,252,158,6,1,1,2,1,56,20
Damián Bobadilla,"MF,FW",Paraguay,22,2001,2.2,103,1,12,65,27,1,103,3,1,33.3,1,33.3,64,241,79,0,0,0,3,4,70,9
Marcos Bolados,"FW,MF",Chile,27,1996,1.1,42,0,6,14,23,4,42,10,4,40.0,6,60.0,21,128,34,1,3,1,7,4,27,9
Moïse Bombito,DF,Canada,23,2000,6.0,349,45,197,142,11,4,349,2,1,50.0,1,50.0,202,1069,619,3,2,0,3,3,206,1
Miguel Borja,FW,Colombia,31,1993,0.3,9,0,0,2,7,5,8,2,0,0.0,2,100.0,5,36,1,0,0,0,1,1,5,2
Rafael Borré,FW,Colombia,28,1995,1.4,34,1,4,15,15,5,34,0,0,,0,,10,18,3,0,0,0,1,0,18,4
Alejandro Bran,MF,Costa Rica,22,2001,0.4,23,3,7,15,1,0,23,0,0,,0,,12,47,25,0,0,0,2,1,16,1
Claudio Bravo,GK,Chile,40,1983,2.0,86,66,85,1,0,0,86,0,0,,0,,52,255,163,0,0,0,0,0,33,0
Jefferson Brenes,MF,Costa Rica,26,1997,1.8,86,0,33,48,7,1,86,2,0,0.0,1,50.0,47,192,76,0,0,0,0,2,47,1
