Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Brenden Aaronson,FW,United States,23,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Abram,DF,Peru,27,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcos Acuña,DF,Argentina,32,1991,1.1,0,1,0,0.0,0.94,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Tyler Adams,MF,United States,24,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Advíncula,DF,Peru,33,1990,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Brandon Aguilera,MF,Costa Rica,20,2003,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Ahmed,"FW,DF",Canada,23,2000,1.5,0,1,0,0.0,0.69,0.00,0.00,,16.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,1.0,1,1,1,100.0,0.98,0.98,1.00,1.00,31.9,0,0,0,0.0,0.0,0.02,+1.0,+1.0
Omar Alderete,DF,Paraguay,27,1996,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,30.7,0,0,0,0.1,0.1,0.02,+0.9,+0.9
Carmelo Algarañaz,FW,Bolivia,28,1996,2.2,0,2,1,50.0,0.92,0.46,0.00,0.00,40.3,0,0,0,0.0,0.0,0.01,0.0,0.0
Alisson,GK,Brazil,31,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Miguel Almirón,FW,Paraguay,29,1994,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Roberto Alvarado,FW,Mexico,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Edson Álvarez,MF,Mexico,26,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Julián Álvarez,FW,Argentina,24,2000,3.8,2,9,5,55.6,2.34,1.30,0.22,0.40,20.5,0,0,0,2.0,2.0,0.22,0.0,0.0
Michael Amir Murillo,DF,Panama,27,1996,3.5,1,4,3,75.0,1.14,0.86,0.25,0.33,19.6,1,0,0,0.3,0.3,0.07,+0.7,+0.7
Karoy Anderson,MF,Jamaica,19,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kervin Andrade,MF,Venezuela,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Andrés Martínez,MF,Venezuela,29,1994,4.0,0,4,0,0.0,1.00,0.00,0.00,,23.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Wilker Ángel,DF,Venezuela,30,1993,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michail Antonio,FW,Jamaica,33,1990,2.6,1,4,1,25.0,1.53,0.38,0.25,1.00,20.8,0,0,0,0.3,0.3,0.09,+0.7,+0.7
Uriel Antuna,"FW,MF",Mexico,26,1997,1.9,0,2,0,0.0,1.04,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Jon Aramburu,DF,Venezuela,21,2002,2.9,0,1,0,0.0,0.35,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Guilherme Arana,DF,Brazil,26,1997,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,20.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,5.0,2,11,7,63.6,2.22,1.41,0.18,0.29,16.1,0,0,0,0.7,0.7,0.07,+1.3,+1.3
Miguel Araujo,DF,Peru,29,1994,1.6,0,1,1,100.0,0.61,0.61,0.00,0.00,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ronald Araújo,DF,Uruguay,24,1999,2.9,0,3,1,33.3,1.05,0.35,0.00,0.00,20.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Alex Arce,FW,Paraguay,28,1995,1.7,0,5,0,0.0,3.00,0.00,0.00,,31.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Gabriel Arias,GK,Chile,36,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jhon Arias,MF,Colombia,26,1997,5.4,0,7,0,0.0,1.30,0.00,0.00,,23.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Santiago Arias,DF,Colombia,32,1992,2.0,0,1,0,0.0,0.49,0.00,0.00,,17.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Gerardo Arteaga,DF,Mexico,25,1998,3.0,1,3,2,66.7,1.00,0.67,0.33,0.50,20.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Yaser Asprilla,FW,Colombia,20,2003,0.2,0,2,0,0.0,9.47,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Abdiel Ayarza,MF,Panama,31,1992,0.7,0,3,0,0.0,4.29,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Theo Bair,FW,Canada,24,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabián Balbuena,DF,Paraguay,32,1991,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Folarin Balogun,FW,United States,22,2001,1.9,2,5,2,40.0,2.57,1.03,0.40,1.00,14.9,0,0,0,0.3,0.3,0.07,+1.7,+1.7
Adam Bareiro,FW,Paraguay,27,1996,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jon Bell,DF,Jamaica,26,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Eduard Bello,"FW,MF",Venezuela,28,1995,3.2,2,4,3,75.0,1.25,0.94,0.50,0.67,12.5,0,0,0,0.8,0.8,0.20,+1.2,+1.2
Rodrigo Bentancur,MF,Uruguay,26,1997,1.9,2,2,2,100.0,1.06,1.06,1.00,1.00,4.5,0,0,0,0.5,0.5,0.25,+1.5,+1.5
Di'Shon Bernard,DF,Jamaica,23,2000,1.2,0,1,0,0.0,0.80,0.00,0.00,,11.6,0,0,0,0.0,0.0,0.03,0.0,0.0
César Blackman,"MF,DF",Panama,25,1998,2.2,1,4,1,25.0,1.86,0.46,0.25,1.00,20.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9
Damián Bobadilla,"MF,FW",Paraguay,22,2001,2.2,0,4,3,75.0,1.83,1.37,0.00,0.00,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Marcos Bolados,"FW,MF",Chile,27,1996,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Moïse Bombito,DF,Canada,23,2000,6.0,0,3,0,0.0,0.50,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Miguel Borja,FW,Colombia,31,1993,0.3,1,1,0,0.0,3.21,0.00,0.00,,27.4,0,1,1,0.9,0.1,0.07,+0.1,-0.1
Rafael Borré,FW,Colombia,28,1995,1.4,0,1,0,0.0,0.70,0.00,0.00,,8.1,0,0,0,0.4,0.4,0.40,-0.4,-0.4
Alejandro Bran,MF,Costa Rica,22,2001,0.4,0,1,0,0.0,2.25,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.01,0.0,0.0
Claudio Bravo,GK,Chile,40,1983,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jefferson Brenes,MF,Costa Rica,26,1997,1.8,0,1,0,0.0,0.55,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.03,0.0,0.0
