Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Che Adams,FW,Scotland,27,1996,2.3,2,0.86,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Michel Aebischer,DF,Switzerland,27,1997,5.3,9,1.70,9,0,0,0,0,0,2,0.38,2,0,0,0,0,0
Arlind Ajeti,DF,Albania,30,1993,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Manuel Akanji,DF,Switzerland,28,1995,5.3,7,1.40,7,0,0,0,0,0,2,0.40,2,0,0,0,0,0
Samet Akaydın,DF,Türkiye,29,1994,3.7,4,1.07,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nathan Aké,DF,Netherlands,28,1995,5.2,5,0.96,4,0,0,0,0,1,1,0.19,1,0,0,0,0,0
Yunus Akgün,FW,Türkiye,23,2000,0.8,3,3.91,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,1.2,5,4.29,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Trent Alexander-Arnold,"MF,DF",England,25,1998,1.5,3,2.11,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Denis Alibec,FW,Romania,33,1991,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Barış Alper Yılmaz,FW,Türkiye,23,2000,5.0,11,2.20,8,0,2,0,1,0,1,0.20,1,0,0,0,0,0
Sandro Altunashvili,MF,Georgia,26,1997,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zeki Amdouni,"MF,FW",Switzerland,23,2000,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joachim Andersen,DF,Denmark,27,1996,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Robert Andrich,MF,Germany,29,1994,3.5,9,2.82,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Waldemar Anton,DF,Germany,27,1996,0.4,2,60.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stuart Armstrong,MF,Scotland,31,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Arnautović,FW,Austria,34,1989,3.1,4,1.29,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jasir Asani,FW,Albania,28,1995,2.3,6,2.57,4,0,0,1,1,0,1,0.43,1,0,0,0,0,0
Kristjan Asllani,MF,Albania,21,2002,3.0,14,4.67,8,4,1,0,0,1,1,0.33,1,0,0,0,0,0
