Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Che Adams,FW,Scotland,27,1996,2.3,0,0,0,6,3,1,1,1,1,0,0,0,2,3,8,27.3
Michel Aebischer,DF,Switzerland,27,1997,5.3,0,0,0,2,7,1,3,2,3,0,0,0,20,4,6,40.0
Arlind Ajeti,DF,Albania,30,1993,3.0,0,0,0,1,0,0,0,6,0,0,0,0,5,4,9,30.8
Manuel Akanji,DF,Switzerland,28,1995,5.3,0,0,0,2,2,0,0,4,2,0,0,0,24,7,6,53.8
Samet Akaydın,DF,Türkiye,29,1994,3.7,2,0,0,3,1,0,0,7,4,0,0,1,9,10,6,62.5
Nathan Aké,DF,Netherlands,28,1995,5.2,1,0,0,3,1,0,1,6,5,0,0,0,11,3,4,42.9
Yunus Akgün,FW,Türkiye,23,2000,0.8,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,
Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,1.2,0,0,0,2,0,1,3,1,1,0,0,0,6,0,2,0.0
Trent Alexander-Arnold,"MF,DF",England,25,1998,1.5,0,0,0,1,3,0,5,2,0,0,0,0,3,1,0,100.0
Denis Alibec,FW,Romania,33,1991,0.3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,
Barış Alper Yılmaz,FW,Türkiye,23,2000,5.0,0,0,0,3,11,2,8,0,0,0,0,0,14,5,10,33.3
Sandro Altunashvili,MF,Georgia,26,1997,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,
Zeki Amdouni,"MF,FW",Switzerland,23,2000,0.6,0,0,0,1,2,0,0,0,0,0,0,0,4,1,1,50.0
Joachim Andersen,DF,Denmark,27,1996,4.0,1,0,0,8,0,0,5,2,1,0,1,0,9,18,4,81.8
Robert Andrich,MF,Germany,29,1994,3.5,2,0,0,11,3,0,1,2,8,0,0,0,15,6,8,42.9
Waldemar Anton,DF,Germany,27,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Stuart Armstrong,MF,Scotland,31,1992,0.2,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1,50.0
Marko Arnautović,FW,Austria,34,1989,3.1,1,0,0,6,6,3,2,0,1,0,0,0,4,4,7,36.4
Jasir Asani,FW,Albania,28,1995,2.3,0,0,0,2,5,1,4,4,1,0,0,0,8,0,2,0.0
Kristjan Asllani,MF,Albania,21,2002,3.0,0,0,0,2,4,1,13,3,1,0,0,0,8,0,2,0.0
Kaan Ayhan,"MF,DF",Türkiye,29,1994,4.0,1,0,0,3,4,0,1,2,3,0,0,0,6,7,3,70.0
Alex Baena,"MF,FW",Spain,22,2001,0.3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
Alexander Bah,"DF,MF",Denmark,26,1997,3.1,0,0,0,3,2,0,6,5,4,0,0,0,9,7,3,70.0
Nedim Bajrami,"FW,MF",Albania,24,1999,2.7,1,0,0,2,0,2,4,0,1,0,0,0,10,1,1,50.0
Johan Bakayoko,"FW,DF",Belgium,20,2003,0.5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
Jure Balkovec,DF,Slovenia,29,1994,1.3,1,0,0,1,0,0,1,2,3,0,0,0,1,1,2,33.3
Iván Balliu,DF,Albania,32,1992,1.0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,
Nicușor Bancu,DF,Romania,31,1992,3.0,2,0,0,4,2,0,5,0,2,0,0,0,10,1,1,50.0
Antonín Barák,MF,Czechia,29,1994,0.5,2,1,1,3,1,0,1,0,1,0,0,0,4,0,2,0.0
Bradley Barcola,"FW,MF",France,21,2002,1.1,0,0,0,1,3,0,1,0,4,0,0,0,4,0,0,
Abdülkerim Bardakcı,DF,Türkiye,29,1994,4.0,2,0,0,3,1,0,1,2,2,0,0,0,17,7,7,50.0
